"ｺｰﾄﾞ","勘定科目名"," 2年  9月"," 2年 10月"," 2年 11月"," 2年 12月"," 3年  1月"," 3年  2月"," 3年  3月"," 3年  4月"," 3年  5月"," 3年  6月"," 3年  7月"," 3年  8月"
"4111","売上高","5,387,828","5,592,211","5,567,984","5,044,470","5,298,818","4,158,730","5,346,660","5,392,959","6,074,822","5,383,560","4,915,746","5,273,901"
"4112","会員券売上高","280,365","179,821","318,181","310,094","188,911","162,001","273,637","141,637","179,728","149,003","210,367","295,642"
"4113","ゴルフ用品・雑貨売上高","123,937","65,087","54,584","65,124","53,078","36,253","39,414","56,716","67,090","67,347","79,142","52,029"
"4114","手数料収入","167,877","111,496","130,708","123,727","87,305","191,077","101,151","158,014","112,055","171,820","146,738","113,744"
"4115","ポイント値引・入会金返金(△)","832,972","808,016","914,265","871,008","842,789","701,623","954,674","768,507","890,105","943,152","828,499","822,997"
,"純売上高","5,127,035","5,140,599","5,157,192","4,672,407","4,785,323","3,846,438","4,806,188","4,980,819","5,543,590","4,828,578","4,523,494","4,912,319"
"5111","期首棚卸高","0","0","0","0","0","331,818","0","0","0","0","0","0"
"5211","商品仕入高","72,257","60,801","9,701","16,995","50,893","5,803","75,932","32,382","57,645","39,930","59,765","28,950"
"5212",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","0","0","0","0","0","301,996","0","0","0","0","0","0"
,"当期売上原価","72,257","60,801","9,701","16,995","50,893","35,625","75,932","32,382","57,645","39,930","59,765","28,950"
,"売上総利益","5,054,778","5,079,798","5,147,491","4,655,412","4,734,430","3,810,813","4,730,256","4,948,437","5,485,945","4,788,648","4,463,729","4,883,369"
"6111","プロ報酬","7,273","7,273","7,273","5,454","909","0","0","0","0","0","0","0"
"6311","雑給","774,143","767,642","740,463","810,217","694,936","512,566","625,024","599,294","624,770","611,226","615,266","676,861"
"6112","旅費交通費","29,256","31,650","31,684","34,521","33,104","25,925","30,307","35,347","30,730","29,856","34,083","34,084"
"6113","広告宣伝費","713,593","240,382","226,700","412,100","165,200","169,500","270,245","196,200","171,000","171,000","261,000","169,700"
"6114","教育訓練費","0","0","0","0","0","0","0","0","0","0","0","0"
"6115","接客サービス費","182,345","148,435","181,984","181,696","133,440","294,001","121,422","131,632","195,829","254,084","262,815","271,626"
"6116","コンペ参加諸費","54,714","12,573","21,554","19,587","27,234","23,515","15,828","33,873","4,468","37,568","3,614","3,882"
"6117","プレイ器具費","125,454","0","373,594","0","42,460","0","16,220","8,930","0","142,630","0","22,497"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","165,000","165,000","165,000","165,000","165,000","165,000","165,000","165,000","165,000","165,000","165,000","165,000"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","社員給与","945,064","1,040,891","987,805","989,973","967,114","927,977","953,327","949,259","1,029,605","1,016,314","1,055,450","957,645"
"6213","従業員賞与","25,000","25,000","25,000","55,000","25,000","25,000","25,000","25,000","25,000","350,000","89,000","89,000"
"6312","法定福利費","127,170","132,927","130,098","278,828","179,077","182,236","179,084","179,100","153,695","93,344","153,665","153,722"
"6226","厚生費","41,333","41,162","25,485","43,791","7,359","4,541","20,995","620","10,197","3,680","15,330","4,282"
"6119","退職手当等","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","295,000","295,000","295,000","295,000","295,000","373,214","286,000","286,000","286,000","433,000","433,000","433,000"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃・リース料","0","0","0","0","0","61,183","0","0","897,669","0","0","21,820"
"6216","修繕費","100,000","165,175","2,718","727,200","83,000","352,850","58,800","15,000","157,099","110,830","30,130","55,000"
"6217","事務用消耗品費","23,438","1,610","18,855","2,475","23,599","0","20,403","24,222","3,736","1,635","32,989","10,355"
"6218","通信交通費","12,764","22,047","12,763","18,707","12,654","12,550","15,305","19,029","15,545","12,657","18,700","13,902"
"6219","水道光熱費","175,456","127,517","166,052","111,127","173,121","184,454","233,023","127,678","168,002","121,064","141,499","115,698"
"6221","租税公課","0","0","0","132,000","0","132,000","132,000","116,900","0","0","0","114,000"
"6222","会議費","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","1,091","5,593","1,081","0","2,909","0","9,812","22,481","0","0","0","0"
"6224","保険料","0","373,220","15,080","0","0","44,310","0","0","6,000","6,000","6,000","-18,000"
"6225","備品消耗品費","131,169","39,945","51,999","71,719","74,962","80,716","36,401","49,224","48,154","23,053","13,386","105,721"
"6227","管理諸費","90,800","46,800","46,800","46,800","243,170","46,800","46,800","440,300","90,800","46,800","46,800","215,735"
"6228","寄附金","20,000","0","0","0","0","0","0","0","0","0","0","0"
"6229","その他の一般管理費","16,500","0","33,000","0","16,500","16,500","33,000","16,500","16,500","16,500","0","33,000"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","1,251","0","0","0","0","0","0"
"6231","雑費","19,484","15,550","7,165","9,555","9,919","31,852","14,123","29,142","10,809","8,761","20,397","31,786"
,"販売費及び一般管理費計","4,076,047","3,705,392","3,567,153","4,410,750","3,375,667","3,667,941","3,308,119","3,470,731","4,110,608","3,655,002","3,398,124","3,680,316"
,"営業利益（損失）","978,731","1,374,406","1,580,338","244,662","1,358,763","142,872","1,422,137","1,477,706","1,375,337","1,133,646","1,065,605","1,203,053"
"7111","受取利息","129","0","0","0","0","43","159","0","0","0","0","0"
"7112","受入家賃","0","0","0","0","0","0","0","0","0","0","0","0"
"7113",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","680","0","1,301,185","0","0","0","0","0","0"
,"営業外収益計","129","0","0","680","0","1,301,228","159","0","0","0","0","0"
"7511","支払利息割引料","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7513",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7514",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","6,640","0","0","0","0","0","0"
,"営業外費用計","0","0","0","0","0","6,640","0","0","0","0","0","0"
,"経常利益（損失）","978,860","1,374,406","1,580,338","245,342","1,358,763","1,437,460","1,422,296","1,477,706","1,375,337","1,133,646","1,065,605","1,203,053"
