"ｺｰﾄﾞ","勘定科目名"," 2年 10月"," 2年 11月"," 2年 12月"," 3年  1月"," 3年  2月"," 3年  3月"," 3年  4月"," 3年  5月"," 3年  6月"," 3年  7月"," 3年  8月"," 3年  9月"
"4111","売上高","5,592,211","5,567,984","5,044,470","5,298,818","4,158,730","5,346,660","5,392,959","6,074,822","5,383,560","4,915,746","5,273,901","5,427,687"
"4112","会員券売上高","179,821","318,181","310,094","188,911","162,001","273,637","141,637","179,728","149,003","210,367","295,642","360,003"
"4113","ゴルフ用品・雑貨売上高","65,087","54,584","65,124","53,078","36,253","39,414","56,716","67,090","67,347","79,142","52,029","52,978"
"4114","手数料収入","111,496","130,708","123,727","87,305","191,077","101,151","158,014","112,055","171,820","146,738","113,744","169,493"
"4115","ポイント値引・入会金返金(△)","808,016","914,265","871,008","842,789","701,623","954,674","768,507","890,105","943,152","828,499","822,997","882,745"
,"純売上高","5,140,599","5,157,192","4,672,407","4,785,323","3,846,438","4,806,188","4,980,819","5,543,590","4,828,578","4,523,494","4,912,319","5,127,416"
"5111","期首棚卸高","0","0","0","0","331,818","0","0","0","0","0","0","0"
"5211","商品仕入高","60,801","9,701","16,995","50,893","5,803","75,932","32,382","57,645","39,930","59,765","28,950","41,876"
"5212",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","0","0","0","0","301,996","0","0","0","0","0","0","0"
,"当期売上原価","60,801","9,701","16,995","50,893","35,625","75,932","32,382","57,645","39,930","59,765","28,950","41,876"
,"売上総利益","5,079,798","5,147,491","4,655,412","4,734,430","3,810,813","4,730,256","4,948,437","5,485,945","4,788,648","4,463,729","4,883,369","5,085,540"
"6111","プロ報酬","7,273","7,273","5,454","909","0","0","0","0","0","0","0","0"
"6311","雑給","767,642","740,463","810,217","694,936","512,566","625,024","599,294","624,770","611,226","615,266","676,861","633,280"
"6112","旅費交通費","31,650","31,684","34,521","33,104","25,925","30,307","35,347","30,730","29,856","34,083","34,084","31,628"
"6113","広告宣伝費","240,382","226,700","412,100","165,200","169,500","270,245","196,200","171,000","171,000","261,000","169,700","577,200"
"6114","教育訓練費","0","0","0","0","0","0","0","0","0","0","0","0"
"6115","接客サービス費","148,435","181,984","181,696","133,440","294,001","121,422","131,632","195,829","254,084","262,815","271,626","127,190"
"6116","コンペ参加諸費","12,573","21,554","19,587","27,234","23,515","15,828","33,873","4,468","37,568","3,614","3,882","20,205"
"6117","プレイ器具費","0","373,594","0","42,460","0","16,220","8,930","0","142,630","0","22,497","2,250,000"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","165,000","165,000","165,000","165,000","165,000","165,000","165,000","165,000","165,000","165,000","165,000","165,000"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","社員給与","1,040,891","987,805","989,973","967,114","927,977","953,327","949,259","1,029,605","1,016,314","1,055,450","957,645","996,868"
"6213","従業員賞与","25,000","25,000","55,000","25,000","25,000","25,000","25,000","25,000","350,000","89,000","89,000","88,000"
"6312","法定福利費","132,927","130,098","278,828","179,077","182,236","179,084","179,100","153,695","93,344","153,665","153,722","570,136"
"6226","厚生費","41,162","25,485","43,791","7,359","4,541","20,995","620","10,197","3,680","15,330","4,282","29,314"
"6119","退職手当等","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","295,000","295,000","295,000","295,000","373,214","286,000","286,000","286,000","433,000","433,000","433,000","433,000"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
