ｺｰﾄﾞ,勘定科目名, 3年 10月
4111,売上高,"5,654,676"
4112,会員券売上高,"236,548"
4113,ゴルフ用品・雑貨売上高,"57,767"
4114,手数料収入,"109,016"
4115,ポイント値引・入会金返金(△),"964,032"
,純売上高,"5,093,975"
5111,期首棚卸高,0
5211,商品仕入高,"49,641"
5212,,0
5215,,0
5216,,0
5213,仕入値引戻し高    (△),0
5273,他勘定振替高      (△),0
5311,期末棚卸高        (△),0
,当期売上原価,"49,641"
,売上総利益,"5,044,334"
6111,プロ報酬,0
6311,雑給,"623,390"
6112,旅費交通費,"30,903"
6113,広告宣伝費,"186,536"
6114,教育訓練費,0
6115,接客サービス費,"266,135"
6116,コンペ参加諸費,"13,622"
6117,プレイ器具費,"46,850"
6118,,0
6211,役員報酬,"283,500"
6232,,0
6212,社員給与,"952,114"
6213,従業員賞与,"89,000"
6312,法定福利費,"169,079"
6226,厚生費,"4,310"
6119,退職手当等,0
6214,減価償却費,"370,000"
6234,,0
6215,地代家賃・リース料,"5,455"
6216,修繕費,"45,730"
6217,事務用消耗品費,"40,272"
6218,通信交通費,"24,803"
6219,水道光熱費,"129,507"
6221,租税公課,"3,000"
6222,会議費,0
6223,接待交際費,0
6224,保険料,"60,700"
6225,備品消耗品費,"42,822"
6227,管理諸費,"74,300"
6228,寄附金,"4,545"
6229,その他の一般管理費,0
6313,,0
6233,,0
6314,貸倒償却,0
6231,雑費,"54,710"
,販売費及び一般管理費計,"3,521,283"
,営業利益（損失）,"1,523,051"
7111,受取利息,0
7112,受入家賃,0
7113,,0
7114,受取配当金,0
7118,雑収入,"2,000"
,営業外収益計,"2,000"
7511,支払利息割引料,0
7518,手形売却損,0
7512,,0
7513,,0
7514,,0
7515,繰延資産償却,0
7519,雑損失,0
,営業外費用計,0
,経常利益（損失）,"1,525,051"
