"ｺｰﾄﾞ","勘定科目名","30年 12月","31年  1月","31年  2月","31年  3月","31年  4月"," 1年  5月"," 1年  6月"," 1年  7月"," 1年  8月"," 1年  9月"," 1年 10月"," 1年 11月"
"4111","売上高","4,110,474","4,250,109","3,967,794","4,658,761","4,587,585","4,759,987","4,675,872","4,302,822","4,243,297","5,096,084","4,874,551","4,771,905"
"4112","会員券売上高","159,259","160,182","163,886","255,554","191,664","136,109","99,072","129,628","183,329","197,221","283,181","197,911"
"4113","ゴルフ用品・雑貨売上高","38,361","54,047","73,720","81,970","53,515","84,230","45,771","62,146","49,357","52,758","30,305","55,134"
"4114","手数料収入","182,763","113,036","100,202","170,126","109,793","80,908","129,989","155,664","125,482","209,042","99,230","129,680"
"4115","ポイント値引・入会金返金(△)","610,059","589,492","614,263","607,988","634,017","576,548","697,489","605,417","697,822","1,138,287","807,288","733,061"
,"純売上高","3,880,798","3,987,882","3,691,339","4,558,423","4,308,540","4,484,686","4,253,215","4,044,843","3,903,643","4,416,818","4,479,979","4,421,569"
"5111","期首棚卸高","0","0","266,045","0","0","0","0","0","0","0","0","0"
"5211","商品仕入高","2,889","52,449","1,889","45,603","6,252","105,033","8,143","23,860","25,747","38,468","11,587","16,975"
"5212",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","0","0","278,471","0","0","0","0","0","0","0","0","0"
,"当期売上原価","2,889","52,449","-10,537","45,603","6,252","105,033","8,143","23,860","25,747","38,468","11,587","16,975"
,"売上総利益","3,877,909","3,935,433","3,701,876","4,512,820","4,302,288","4,379,653","4,245,072","4,020,983","3,877,896","4,378,350","4,468,392","4,404,594"
"6111","プロ報酬","12,963","3,704","16,667","18,519","13,889","13,889","13,889","20,371","15,740","13,889","12,727","17,273"
"6311","雑給","1,000,210","960,333","816,770","1,015,332","868,598","854,446","718,946","669,389","688,700","770,561","679,116","657,324"
"6112","旅費交通費","49,433","48,049","42,006","40,688","36,791","36,162","37,255","33,340","34,481","33,795","28,994","38,325"
"6113","広告宣伝費","117,200","117,200","119,400","228,681","117,200","117,200","117,200","117,200","123,440","558,756","181,291","148,200"
"6114","教育訓練費","0","0","0","0","0","0","0","0","0","0","0","0"
"6115","接客サービス費","258,577","108,055","183,224","226,346","110,942","100,477","150,824","191,243","167,848","391,918","118,726","264,079"
"6116","コンペ参加諸費","15,866","14,238","14,303","15,770","12,605","0","26,534","28,701","9,887","40,243","4,336","9,228"
"6117","プレイ器具費","0","7,300","0","0","22,200","528,530","39,167","7,300","0","44,100","60,280","0"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","165,000","165,000","165,000","165,000","165,000","165,000","165,000","165,000","165,000","165,000","165,000","165,000"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","社員給与","610,769","624,898","657,944","689,932","813,656","768,741","877,356","860,005","917,245","978,173","870,050","860,677"
"6213","従業員賞与","75,000","25,000","25,000","25,000","25,000","25,000","60,000","25,000","25,000","25,000","25,000","25,000"
"6312","法定福利費","85,496","100,468","100,492","100,469","100,985","70,481","312,393","132,875","132,875","132,846","121,170","126,968"
"6226","厚生費","39,471","9,041","25,590","3,031","1,681","9,548","16,413","3,528","5,590","10,474","10,567","8,581"
"6119","退職手当等","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","450,000","450,000","502,971","418,000","418,000","418,000","418,000","418,000","418,000","418,000","418,000","418,000"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃・リース料","0","0","0","0","0","861,983","0","0","0","0","0","0"
"6216","修繕費","112,090","0","858,760","15,059","470,693","0","218,558","312,590","17,730","17,230","73,860","108,310"
"6217","事務用消耗品費","0","25,384","0","11,683","8,894","15,873","7,202","13,992","3,330","26,177","12,455","30,967"
"6218","通信交通費","22,122","13,795","37,885","15,670","21,204","23,952","13,220","15,231","13,045","16,671","19,516","12,829"
"6219","水道光熱費","25,914","510,215","283,203","337,186","190,180","342,132","123,215","182,004","136,407","73,135","135,529","174,001"
