ｺｰﾄﾞ,勘定科目名,29年 12月,30年  1月,30年  2月,30年  3月,30年  4月,30年  5月,30年  6月,30年  7月,30年  8月,30年  9月,30年 10月,30年 11月,30年 11月累計
4111,売上高,"3,945,440","4,269,159","3,390,551","4,316,401","4,608,814","4,919,444","4,591,027","4,053,331","3,846,490","5,214,260","4,774,529","4,660,239","40,984,535"
4112,会員券売上高,"113,886","196,293","80,553","183,331","216,665","180,555","141,665","125,925","106,480","199,072","153,702","159,258","1,466,653"
4113,ゴルフ用品・雑貨売上高,"32,985","94,199","214,869","50,238","78,337","65,554","44,276","69,257","50,046","64,598","42,508","62,803","527,617"
4114,手数料収入,"102,998","80,695","-64,771","72,212","119,355","89,522","122,216","141,597","173,826","141,898","91,730","130,038","1,082,394"
4115,ポイント値引・入会金返金(△),"524,507","496,215","545,795","646,206","583,432","626,572","546,979","570,808","547,351","1,192,777","619,346","615,968","5,949,439"
,純売上高,"3,670,802","4,144,131","3,075,407","3,975,976","4,439,739","4,628,503","4,352,205","3,819,302","3,629,491","4,427,051","4,443,123","4,396,370","38,111,760"
5111,期首棚卸高,0,0,"191,152",0,0,0,0,0,0,0,0,0,0
5211,商品仕入高,"105,435","15,115","53,163","35,980","9,743","79,476","6,431","55,509","9,178","84,951","4,444","128,892","414,604"
5212,,0,0,0,0,0,0,0,0,0,0,0,0,0
5215,,0,0,0,0,0,0,0,0,0,0,0,0,0
5216,,0,0,0,0,0,0,0,0,0,0,0,0,0
5213,仕入値引戻し高    (△),0,0,0,0,0,0,0,0,0,0,0,0,0
5273,他勘定振替高      (△),0,0,0,0,0,0,0,0,0,0,0,0,0
5311,期末棚卸高        (△),0,0,"266,045",0,0,0,0,0,0,0,0,0,0
,当期売上原価,"105,435","15,115","-21,730","35,980","9,743","79,476","6,431","55,509","9,178","84,951","4,444","128,892","414,604"
,売上総利益,"3,565,367","4,129,016","3,097,137","3,939,996","4,429,996","4,549,027","4,345,774","3,763,793","3,620,313","4,342,100","4,438,679","4,267,478","37,697,156"
6111,プロ報酬,0,0,0,0,0,0,0,0,"73,122","23,148","16,667","23,148","136,085"
6311,雑給,"1,002,023","935,577","836,778","875,676","1,027,670","1,043,158","1,024,031","1,042,962","1,015,781","980,981","983,956","963,766","8,957,981"
6112,旅費交通費,"49,154","44,097","40,518","49,859","41,829","49,198","46,221","48,206","47,687","48,159","45,410","46,662","423,231"
6113,広告宣伝費,"100,000","152,151","209,709","221,481","411,248","115,000","210,635","135,000","480,688","527,068","123,140","118,583","2,342,843"
6114,教育訓練費,0,0,0,0,0,0,0,0,0,0,0,0,0
6115,接客サービス費,"127,048","165,283","108,119","159,432","106,819","100,733","109,974","268,251","102,077","194,191","178,727","189,662","1,409,866"
6116,コンペ参加諸費,"32,173","14,914","15,525",0,"12,201",0,"31,428","17,581","17,248","21,179",0,"13,442","113,079"
6117,プレイ器具費,"31,500","330,000","13,250",0,0,"9,500","171,386","242,300",0,"17,500",0,"492,000","932,686"
6118,,0,0,0,0,0,0,0,0,0,0,0,0,0
6211,役員報酬,0,0,0,0,0,0,0,0,0,0,0,0,0
6232,,0,0,0,0,0,0,0,0,0,0,0,0,0
6212,社員給与,"729,083","662,396","622,178","656,639","625,742","693,819","714,491","664,727","694,144","690,167","659,852","716,334","6,115,915"
6213,従業員賞与,"150,000",0,"50,000","25,000","25,000","25,000","95,000","25,000","25,000","25,000","25,000","25,000","295,000"
6312,法定福利費,"115,331","100,394","235,002","100,457","100,023","100,471","79,438","319,657","142,355","100,450","100,468","100,377","1,143,696"
6226,厚生費,"19,028","12,927","5,511","7,270","7,862","39,517","2,177","5,725","2,797","11,294","109,917","31,965","218,524"
6119,退職手当等,0,0,0,0,0,0,0,0,0,0,0,0,0
6214,減価償却費,"450,000","450,000","-89,457","450,000","450,000","450,000","450,000","450,000","450,000","450,000","450,000","450,000","4,050,000"
6234,,0,0,0,0,0,0,0,0,0,0,0,0,0
6215,地代家賃・リース料,0,0,"61,184",0,0,"923,166",0,0,0,0,0,0,"923,166"
6216,修繕費,"237,614","50,444","167,315","2,090,510","75,005",0,"10,730",0,"259,730","264,000","296,489","267,800","3,264,264"
6217,事務用消耗品費,"16,066","10,832","9,920","21,657","22,103",0,"9,210","17,685",0,"16,719","14,430","24,975","126,779"
6218,通信交通費,"13,920","15,987","25,857","16,619","13,341","13,146","22,528","13,255","12,911","42,201","19,123","31,157","184,281"
6219,水道光熱費,"229,296","521,898","72,917","291,579","195,529","423,178","172,904","228,232","186,699","90,758","332,185","258,576","2,179,640"
6221,租税公課,"151,000",0,"151,000",0,0,"137,600",0,"137,000",0,0,0,0,"274,600"
6222,会議費,0,0,0,0,0,0,0,0,0,0,0,0,0
6223,接待交際費,"5,728",0,0,0,"1,180",0,0,0,"1,111",0,0,"1,546","3,837"
6224,保険料,0,0,0,0,0,0,0,0,"28,716",0,"288,594",0,"317,310"
6225,備品消耗品費,"35,941","-205,315","38,183","20,792","19,640","15,292","20,649","16,066","26,840","13,386","55,448","86,130","274,243"
6227,管理諸費,"41,800","200,720","41,800","41,800","354,300","90,800","46,800","46,800","46,800","90,800","77,016","72,944","868,060"
6228,寄附金,0,0,0,0,0,0,"5,000","10,000","-5,000","20,000",0,0,"30,000"
6229,その他の一般管理費,0,"33,000","16,500",0,"16,500","33,000",0,"33,000","16,500",0,"33,000","16,500","148,500"
6313,,0,0,0,0,0,0,0,0,0,0,0,0,0
