"ｺｰﾄﾞ","勘定科目名"," 4年  7月"," 4年  8月"," 4年  9月"," 4年 10月"," 4年 11月"," 4年 12月"," 5年  1月"," 5年  2月"," 5年  3月"," 5年  4月"," 5年  5月"," 5年  6月"
"4111","入館売上高","4,429,325","6,259,057","5,112,021","5,195,299","4,733,709","5,946,024","7,290,924","5,623,903","6,067,420","5,348,699","6,777,225","4,590,991"
"4112","飲食売上高","2,312,134","3,218,229","2,547,667","2,728,397","2,532,526","2,884,756","3,468,349","2,548,673","2,871,537","2,597,520","2,715,594","1,844,932"
"4113","物販売上高","138,269","167,720","134,465","140,561","110,742","114,571","254,306","117,520","135,476","122,648","121,610","104,091"
"4114","その他売上高","1,378,617","1,533,283","1,241,458","1,527,327","1,456,479","3,014,468","1,318,259","1,305,446","1,265,431","1,365,708","1,923,811","1,575,320"
"4115","売上値引戻り高    (△)","107,472","165,637","173,733","175,963","158,059","195,497","227,030","70,762","104,777","240,870","293,489","202,782"
,"純売上高","8,150,873","11,012,652","8,861,878","9,415,621","8,675,397","11,764,322","12,104,808","9,524,780","10,235,087","9,193,705","11,244,751","7,912,552"
"5111","期首棚卸高","753,024","910,135","711,575","786,630","674,528","754,685","1,024,847","868,698","780,562","877,014","955,306","953,272"
"5211","仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5212","飲食商品仕入高","1,037,547","1,024,216","1,024,581","928,951","1,051,765","1,425,353","1,156,752","1,058,397","1,189,951","1,187,104","1,098,285","807,843"
"5215","物販商品仕入高","222,265","50,476","41,410","47,506","54,538","54,227","63,254","62,254","108,273","73,598","64,748","42,451"
"5216","手数料商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期製品製造原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","910,135","711,575","786,630","674,528","754,685","1,024,847","868,698","780,562","877,014","955,306","953,272","929,609"
,"当期売上原価","1,102,701","1,273,252","990,936","1,088,559","1,026,146","1,209,418","1,376,155","1,208,787","1,201,772","1,182,410","1,165,067","873,957"
,"売上総利益","7,048,172","9,739,400","7,870,942","8,327,062","7,649,251","10,554,904","10,728,653","8,315,993","9,033,315","8,011,295","10,079,684","7,038,595"
"6111","販売員給与","0","0","0","0","0","0","0","0","0","29,618","53,924","0"
"6311","雑給","1,554,709","1,637,798","1,424,625","1,724,148","1,893,336","1,852,381","1,870,446","1,661,829","2,065,131","1,992,354","2,435,795","2,069,244"
"6112","販売員旅費","0","0","0","0","0","0","0","0","0","0","0","0"
"6113","広告宣伝費","264,630","900,755","1,202,121","495,694","251,475","321,743","288,285","226,730","263,478","435,371","183,985","201,158"
"6114","容器包装費","0","0","0","0","0","0","0","0","0","0","0","0"
"6115","発送配達費","0","0","0","1,245","0","0","1,260","0","-1,260","0","0","0"
"6116",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6117","その他の販売費","0","0","0","0","0","0","0","0","0","0","0","0"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","450,000","450,000","450,000","450,000","450,000","450,000","450,000"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","708,500","689,513","712,545","688,220","568,453","475,350","555,589","554,888","622,406","550,500","482,850","655,000"
"6213","従業員賞与","0","0","0","0","0","0","0","0","0","0","0","0"
"6312","法定福利費","148,188","238,186","115,949","202,445","145,002","66,399","169,081","208,070","143,091","27,143","296,034","458,467"
"6226","厚生費","75,593","79,215","71,819","167,320","53,475","75,488","76,085","57,385","60,616","62,257","67,660","70,028"
"6119",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","93,000","93,000","93,000","2,759,565","365,000","365,000","365,000","365,000","1,150,000","1,150,000","1,130,000","1,130,000"
"6234","リース料","33,800","54,200","44,000","44,000","44,000","33,800","54,200","44,000","44,000","33,800","54,200","44,000"
"6215","地代家賃","281,818","461,818","281,818","281,818","281,818","281,818","281,818","281,818","281,818","281,818","281,818","281,818"
"6216","修繕費","45,700","39,000","301,000","699,340","23,000","23,000","267,995","215,000","108,136","779,215","386,035","23,000"
"6217","事務用消耗品費","11,527","8,599","10,202","5,298","5,033","8,437","6,356","5,629","4,802","4,896","5,373","5,150"
"6218","通信交通費","7,861","7,853","8,965","8,665","8,197","8,539","8,527","8,938","11,724","8,758","10,748","18,551"
"6219","水道光熱費","1,235,763","1,028,825","816,062","1,444,999","1,392,165","1,510,472","1,545,145","1,312,927","1,349,486","1,258,830","1,158,889","1,132,588"
"6221","租税公課","0","0","10,600","0","0","0","0","0","625,000","166,000","211,900","166,000"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","2,917","2,917","0","6,297","0","0","0","0","6,150","0","0","0"
"6224","保険料","16,260","16,260","23,850","22,480","18,880","16,090","16,090","16,090","16,090","22,750","22,750","22,750"
"6225","備品消耗品費","921,164","515,231","846,773","2,171,983","364,438","433,014","1,022,556","400,028","385,595","813,460","425,234","566,935"
"6227","管理諸費","113,550","181,876","151,550","191,100","110,100","433,838","124,980","233,990","523,803","106,530","280,130","124,002"
"6228","車両費","0","136,943","-27,573","101,746","54,546","63,637","76,088","132,146","72,087","54,546","138,837","114,735"
"6229","燃料費","1,291,144","1,300,430","1,360,205","1,580,131","1,698,755","1,693,612","2,042,901","1,960,957","1,837,372","1,797,664","1,545,337","1,325,788"
"6313","決済手数料","50,035","142,031","86,125","91,416","82,727","117,976","119,157","98,136","108,109","98,028","129,579","85,786"
"6233","衛生管理費","238,865","110,265","164,328","187,345","118,865","174,165","118,865","152,045","151,865","152,045","172,345","170,765"
"6314","貸倒償却","0","0","0","15,929","0","0","0","0","0","0","0","0"
"6231","雑費","15,273","19,715","18,473","15,028","40,180","16,233","27,731","36,467","47,082","42,443","53,277","33,409"
