"ｺｰﾄﾞ","勘定科目名"," 3年  9月"," 3年 10月"," 3年 11月"," 3年 12月"," 4年  1月"," 4年  2月"," 4年  3月"," 4年  4月"," 4年  5月"," 4年  6月"," 4年  7月"," 4年  8月"
"4111","入館売上高","2,259,427","2,588,038","3,297,069","3,568,575","3,669,725","1,360,797","40,265","548,459","5,184,995","3,639,911","4,429,325","6,259,057"
"4112","飲食売上高","384,846","752,582","982,056","1,253,306","1,123,405","260,883","0","318,627","2,889,523","2,075,393","2,312,134","3,218,229"
"4113","物販売上高","124,709","196,144","243,289","293,959","284,814","103,649","0","19,848","109,777","113,107","138,269","167,720"
"4114","その他売上高","176,583","254,443","244,506","385,432","348,797","211,732","50,369","1,331,119","2,724,310","1,621,917","1,378,617","1,533,283"
"4115","売上値引戻り高    (△)","85,375","55,219","234,163","114,571","111,291","30,408","0","0","356,611","114,663","107,472","165,637"
,"純売上高","2,860,190","3,735,988","4,532,757","5,386,701","5,315,450","1,906,653","90,634","2,218,053","10,551,994","7,335,665","8,150,873","11,012,652"
"5111","期首棚卸高","531,836","310,239","288,016","344,286","532,162","252,161","191,094","191,094","554,360","765,369","753,024","910,135"
"5211","仕入高","5,893","-20,693","0","0","0","0","0","0","0","0","0","0"
"5212","飲食商品仕入高","131,025","248,615","377,112","644,896","168,792","73,847","12,008","433,985","1,008,725","641,199","1,037,547","1,024,216"
"5215","物販商品仕入高","101,330","139,318","185,668","222,138","165,437","84,407","8,150","5,000","58,693","64,048","222,265","50,476"
"5216","手数料商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期製品製造原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","310,239","288,016","344,286","532,162","252,161","191,094","191,094","554,360","765,369","753,024","910,135","711,575"
,"当期売上原価","459,845","389,463","506,510","679,158","614,230","219,321","20,158","75,719","856,409","717,592","1,102,701","1,273,252"
,"売上総利益","2,400,345","3,346,525","4,026,247","4,707,543","4,701,220","1,687,332","70,476","2,142,334","9,695,585","6,618,073","7,048,172","9,739,400"
"6111","販売員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6311","雑給","670,966","934,886","903,510","1,165,904","1,213,328","947,194","899,720","1,046,554","1,403,579","1,427,637","1,554,709","1,637,798"
"6112","販売員旅費","0","0","0","0","0","0","0","0","0","0","0","0"
"6113","広告宣伝費","21,810","4,523","14,860","37,108","17,130","17,730","93,209","95,330","301,330","373,561","264,630","900,755"
"6114","容器包装費","0","0","0","0","0","0","0","0","0","0","0","0"
"6115","発送配達費","0","2,359","364","950","0","0","2,553","0","1,869","0","0","0"
"6116",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6117","その他の販売費","0","0","0","0","0","0","0","0","0","0","0","0"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","260,000","260,000","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","396,000","403,563","719,080","786,820","726,600","778,540","56,709","703,000","-131,143","-1,270,549","708,500","689,513"
"6213","従業員賞与","0","0","0","0","0","0","0","0","0","0","0","0"
"6312","法定福利費","141,885","1,308,742","75,894","148,182","147,662","42,269","121,258","63,811","92,280","91,403","148,188","238,186"
"6226","厚生費","37,793","94,484","53,936","69,012","65,997","35,443","0","14,669","73,114","81,861","75,593","79,215"
"6119",,"0","-44,336","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","50,000","102,024","50,000","136,000","93,000","93,000","93,000","93,000","93,000","93,000","93,000","93,000"
"6234","リース料","45,000","34,800","55,200","34,582","54,982","45,436","45,000","34,800","55,200","55,000","33,800","54,200"
"6215","地代家賃","386,623","-728,818","306,518","306,518","281,818","281,818","281,818","281,818","281,818","281,818","281,818","461,818"
"6216","修繕費","152,674","-8,829","263,844","352,500","36,500","200,800","23,000","36,500","350,750","155,364","45,700","39,000"
"6217","事務用消耗品費","11,620","11,473","9,701","15,300","9,665","10,395","8,988","8,527","9,175","12,669","11,527","8,599"
"6218","通信交通費","8,786","3,472","8,325","7,607","9,504","10,434","8,183","7,455","10,310","7,008","7,861","7,853"
"6219","水道光熱費","682,655","461,341","705,758","637,482","670,752","566,992","396,334","500,188","987,564","1,027,056","1,235,763","1,028,825"
"6221","租税公課","220,000","1,320,000","190,700","203,500","220,000","221,800","220,000","1,549,555","6,000","0","0","0"
"6222","寄付金","0","0","0","0","0","0","0","20,000","0","0","0","0"
"6223","接待交際費","0","0","0","25,400","15,100","16,700","0","0","0","0","2,917","2,917"
"6224","保険料","22,950","25,840","16,260","16,260","16,260","16,260","16,260","16,260","16,260","16,260","16,260","16,260"
"6225","備品消耗品費","162,783","170,725","256,858","171,952","1,648,858","84,969","378,945","4,516,507","1,177,715","653,139","921,164","515,231"
"6227","管理諸費","78,280","2,026,980","148,580","393,489","77,380","226,150","36,100","54,800","86,400","67,918","113,550","181,876"
"6228","車両費","0","3,636","0","5,091","4,429","8,000","0","0","0","0","0","136,943"
"6229","燃料費","594,450","806,525","1,100,950","1,028,573","1,282,757","1,379,027","1,279","862","1,129,130","1,709,144","1,291,144","1,300,430"
"6313","決済手数料","4,084","5,645","9,422","16,881","15,468","7,098","0","28,174","107,598","61,524","50,035","142,031"
