"ｺｰﾄﾞ","勘定科目名"," 1年 11月"," 1年 12月"," 2年  1月"," 2年  2月"," 2年  3月"," 2年  4月"," 2年  5月"," 2年  6月"," 2年  7月"," 2年  8月"," 2年  9月"," 2年 10月"
"4111","プレイ売上高","4,505,970","4,251,316","4,614,664","4,354,998","5,153,707","4,574,815","5,067,947","5,228,175","5,845,904","5,067,487","5,604,745","5,597,682"
"4112","会員券売上高","132,184","271,096","261,636","199,367","321,368","245,730","245,726","235,548","405,819","182,545","261,638","293,274"
"4113","ゴルフ用品・雑貨売上高","118,884","45,378","77,508","118,527","114,767","72,967","85,577","84,568","65,556","94,885","80,259","67,240"
"4114","手数料収入","158,390","159,620","149,351","159,019","124,307","65,353","57,781","82,873","196,141","180,470","207,533","558,718"
"4115","ポイント値引・入会金返金(△)","647,338","790,417","870,102","772,433","888,517","579,501","682,836","753,216","793,393","725,628","925,670","748,371"
,"純売上高","4,268,090","3,936,993","4,233,057","4,059,478","4,825,632","4,379,364","4,774,195","4,877,948","5,720,027","4,799,759","5,228,505","5,768,543"
"5111","期首棚卸高","0","0","0","0","0","0","0","0","0","0","248,274","0"
"5211","商品仕入高","72,838","23,335","7,183","102,078","84,294","3,949","50,636","68,103","23,735","112,949","79,097","8,898"
"5212",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期製品製造原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","0","0","0","0","0","0","0","0","0","0","303,628","0"
,"当期売上原価","72,838","23,335","7,183","102,078","84,294","3,949","50,636","68,103","23,735","112,949","23,743","8,898"
,"売上総利益","4,195,252","3,913,658","4,225,874","3,957,400","4,741,338","4,375,415","4,723,559","4,809,845","5,696,292","4,686,810","5,204,762","5,759,645"
"6111","プロ報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6311","雑給","626,481","656,406","604,862","542,128","624,753","559,418","576,668","576,359","568,963","580,391","692,399","807,004"
"6112","旅費交通費","0","0","0","273","0","0","0","0","527","1,619","364","0"
"6113","広告宣伝費","234,000","478,500","109,200","287,173","527,200","109,200","124,200","119,200","124,200","83,500","113,045","98,500"
"6114","教育訓練費","0","0","0","0","0","0","0","0","0","0","0","0"
"6115","接客サービス費","506,202","166,399","184,395","385,465","161,166","258,990","150,670","111,037","290,062","162,809","166,220","496,992"
"6116","コンペ参加諸費","13,445","27,293","20,384","19,144","39,688","0","0","12,527","58,772","26,354","32,868","7,000"
"6117","プレイ器具費","31,300","2,819,000","76,750","27,000","25,000","25,000","25,000","25,000","112,725","27,800","25,000","25,000"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","252,000","252,000","252,000","252,000","252,000","252,000","252,000","252,000","252,000","252,000","252,000","252,000"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","社員給与","984,778","1,073,189","1,039,167","949,188","973,847","1,036,483","1,090,097","1,076,801","1,175,695","1,067,031","1,127,601","1,110,694"
"6213","従業員賞与","50,000","57,565","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","-250,000","50,000"
"6312","法定福利費","203,349","159,851","203,129","390,552","203,257","203,511","203,691","203,658","203,687","375,282","205,735","206,542"
"6226","厚生費","9,282","15,021","39,951","6,555","6,555","38,555","6,555","6,555","5,700","15,111","12,518","17,769"
"6119","退職手当等","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","170,000","170,000","170,000","170,000","170,000","170,000","170,000","170,000","170,000","170,000","182,766","147,000"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃・リース料","677,306","1,854,427","677,306","677,306","677,306","677,306","677,306","677,306","677,306","677,306","677,306","677,306"
"6216","修繕費","9,551","40,000","0","55,000","0","58,000","0","0","0","0","8,600","336,855"
"6217","事務用消耗品費","7,539","21,840","13,154","18,590","14,054","6,905","5,584","21,413","20,685","19,350","0","27,052"
