"ｺｰﾄﾞ","勘定科目名"," 4年  2月"," 4年  3月"," 4年  4月"," 4年  5月"," 4年  6月"," 4年  7月"," 4年  8月"," 4年  9月"," 4年 10月"," 4年 11月"," 4年 12月"," 5年  1月"
"4111","売上高","5,144,523","5,894,265","5,757,953","6,235,101","5,075,903","5,110,842","4,894,871","2,960,882","5,652,893","5,429,271","4,828,768","5,029,099"
"4112","会員券売上高","248,638","309,187","417,274","287,638","271,003","265,458","202,092","238,458","571,183","318,185","234,638","167,730"
"4113","ゴルフ用品・雑貨売上高","54,490","98,449","72,124","63,090","66,075","97,540","56,495","25,005","67,878","102,985","70,984","79,010"
"4114","手数料収入","133,837","165,037","178,468","467,782","212,881","151,262","188,425","132,347","474,995","192,469","137,993","165,275"
"4115","ポイント値引・入会金返金(△)","719,254","807,348","726,001","672,178","604,182","646,851","574,401","439,627","766,572","735,102","624,230","696,381"
,"純売上高","4,862,234","5,659,590","5,699,818","6,381,433","5,021,680","4,978,251","4,767,482","2,917,065","6,000,377","5,307,808","4,648,153","4,744,733"
"5111","期首棚卸高","0","0","0","0","0","0","0","0","0","0","0","0"
"5211","商品仕入高","71,550","35,864","51,238","11,042","14,579","78,892","68,650","250,370","29,308","50,701","26,331","11,251"
"5212",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","0","0","0","0","0","0","0","246,818","0","0","0","0"
,"当期売上原価","71,550","35,864","51,238","11,042","14,579","78,892","68,650","3,552","29,308","50,701","26,331","11,251"
,"売上総利益","4,790,684","5,623,726","5,648,580","6,370,391","5,007,101","4,899,359","4,698,832","2,913,513","5,971,069","5,257,107","4,621,822","4,733,482"
"6111","プロ報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6311","雑給","628,410","675,563","647,740","698,325","672,815","778,630","542,205","497,741","541,743","593,729","577,774","521,787"
"6112","旅費交通費","41,779","47,992","47,457","46,344","45,623","50,269","46,488","49,281","46,200","55,212","49,522","44,997"
"6113","広告宣伝費","148,800","122,300","136,300","130,300","130,300","169,800","115,300","170,600","359,670","119,300","166,025","295,198"
"6114","教育訓練費","0","0","0","0","0","0","0","0","0","0","0","0"
"6115","接客サービス費","386,657","112,453","244,551","470,948","125,293","152,906","202,491","379,246","594,259","398,670","246,949","148,438"
"6116","コンペ参加諸費","20,453","30,763","36,688","9,409","52,592","24,254","24,887","33,463","0","66,927","25,477","40,012"
"6117","プレイ器具費","5,000","5,000","5,000","5,000","15,000","455,750","5,000","97,550","11,000","96,440","75,100","5,000"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","315,000","315,000","315,000","315,000","315,000","315,000","315,000","315,000","315,000","315,000","315,000","285,000"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","社員給与","1,133,545","1,178,045","1,161,591","1,215,273","1,105,847","1,138,031","1,184,295","1,150,273","1,094,880","1,079,857","1,149,522","1,055,930"
"6213","従業員賞与","99,000","99,000","99,000","99,000","-64,054","99,000","99,000","99,000","99,000","-404,000","99,000","99,000"
"6312","法定福利費","184,580","184,338","183,569","183,624","119,468","428,128","157,828","68,277","199,862","200,025","174,891","199,462"
"6226","厚生費","5,700","10,245","5,700","5,700","5,700","5,700","5,700","32,971","17,769","13,881","31,034","5,700"
"6119","退職手当等","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","130,000","130,000","130,000","130,000","130,000","130,000","130,000","222,361","224,000","224,000","224,000","285,000"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃・リース料","658,917","764,495","658,917","658,917","658,917","658,917","658,917","677,306","658,917","658,917","1,799,669","658,917"
"6216","修繕費","0","85,865","33,000","36,650","0","80,195","0","2,117,640","410,250","0","0","0"
"6217","事務用消耗品費","23,582","18,718","12,950","26,709","10,836","24,565","17,305","8,595","43,813","18,024","24,798","9,485"
"6218","通信交通費","16,622","16,021","15,987","9,637","8,757","9,800","8,755","10,002","15,099","6,649","7,606","6,645"
"6219","水道光熱費","168,529","199,859","140,515","144,278","118,145","119,965","203,008","201,335","141,832","148,576","167,466","225,395"
"6221","租税公課","71,000","17,800","400","71,500","0","0","40,000","-62,000","0","65,750","6,000","5,600"
"6222","会議費","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","2,446","0","5,957","0","0","0","2,514","14,358","0"
"6224","保険料","48,430","10,005","54,675","0","0","0","0","460,156","0","34,850","112,930","55,490"
"6225","備品消耗品費","51,682","36,351","34,771","33,487","711,316","235,529","89,416","317,315","8,530","76,994","51,729","57,703"
