"ｺｰﾄﾞ","勘定科目名"," 5年  4月"," 5年  5月"," 5年  6月"," 5年  7月"," 5年  8月"," 5年  9月"," 5年 10月"," 5年 11月"," 5年 12月"," 6年  1月"," 6年  2月"," 6年  3月"
"4111","売上高","5,292,479","5,601,546","5,164,198","4,727,712","4,539,214","4,968,109","5,548,638","5,436,680","4,354,261","4,910,965","4,872,502","5,314,321"
"4112","会員券売上高","272,730","246,819","542,819","250,369","371,456","254,000","303,000","270,000","223,000","179,000","254,000","536,000"
"4113","ゴルフ用品・雑貨売上高","52,594","59,032","62,058","78,076","59,829","47,630","65,841","65,386","52,553","63,304","40,540","69,231"
"4114","手数料収入","153,838","447,441","165,919","189,937","172,882","197,765","628,519","184,654","191,206","155,337","67,781","188,523"
"4115","ポイント値引・入会金返金(△)","674,636","628,294","702,163","569,363","582,626","571,556","638,301","627,498","471,463","574,123","530,374","629,065"
,"純売上高","5,097,005","5,726,544","5,232,831","4,676,731","4,560,755","4,895,948","5,907,697","5,329,222","4,349,557","4,734,483","4,704,449","5,479,010"
"5111","期首棚卸高","0","0","0","0","0","246,818","0","0","0","0","0","0"
"5211","商品仕入高","66,781","41,583","5,240","20,084","111,937","5,471","4,416","74,969","80,660","4,800","51,800","4,319"
"5212",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","0","0","0","0","0","175,957","0","0","0","0","0","0"
,"当期売上原価","66,781","41,583","5,240","20,084","111,937","76,332","4,416","74,969","80,660","4,800","51,800","4,319"
,"売上総利益","5,030,224","5,684,961","5,227,591","4,656,647","4,448,818","4,819,616","5,903,281","5,254,253","4,268,897","4,729,683","4,652,649","5,474,691"
"6111","プロ報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6311","雑給","474,109","563,340","591,809","701,750","654,188","504,153","632,103","579,147","536,686","624,601","507,644","597,175"
"6112","旅費交通費","44,299","47,823","44,201","54,108","46,282","43,718","56,721","46,194","47,115","48,011","43,792","48,550"
"6113","広告宣伝費","236,479","116,025","125,117","136,025","251,204","141,325","130,331","230,966","240,661","139,498","284,794","254,727"
"6114","教育訓練費","0","0","0","0","0","0","0","0","0","0","0","0"
"6115","接客サービス費","203,808","613,799","154,506","188,235","153,589","198,830","665,848","331,847","131,934","171,631","215,534","149,393"
"6116","コンペ参加諸費","18,033","9,350","12,000","79,727","10,673","93,557","0","15,000","32,858","81,094","0","20,713"
"6117","プレイ器具費","5,000","5,000","76,500","5,000","495,000","85,430","25,100","48,750","5,000","5,000","5,000","20,610"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","285,000","285,000","285,000","285,000","285,000","285,000","385,000","285,000","231,000","231,000","231,000","231,000"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","社員給与","1,171,329","1,133,667","1,103,055","1,145,456","1,155,562","1,170,021","1,114,578","1,088,465","1,052,374","1,057,655","1,157,425","1,156,451"
"6213","従業員賞与","99,000","-334,108","99,000","99,000","99,000","-97,000","99,000","110,345","99,000","99,000","99,000","99,000"
