"ｺｰﾄﾞ","勘定科目名"," 5年  5月"," 5年  6月"," 5年  7月"," 5年  8月"," 5年  9月"," 5年 10月"," 5年 11月"," 5年 12月"," 6年  1月"," 6年  2月"," 6年  3月"," 6年  4月"
"4111","売上高","5,601,546","5,164,198","4,727,712","4,539,214","4,968,109","5,548,638","5,436,680","4,354,261","4,910,965","4,872,502","5,314,321","5,438,135"
"4112","会員券売上高","246,819","542,819","250,369","371,456","254,000","303,000","270,000","223,000","179,000","254,000","536,000","374,000"
"4113","ゴルフ用品・雑貨売上高","59,032","62,058","78,076","59,829","47,630","65,841","65,386","52,553","63,304","40,540","69,231","66,859"
"4114","手数料収入","447,441","165,919","189,937","172,882","197,765","628,519","184,654","191,206","155,337","67,781","188,523","179,738"
"4115","ポイント値引・入会金返金(△)","628,294","702,163","569,363","582,626","571,556","638,301","627,498","471,463","574,123","530,374","629,065","611,606"
,"純売上高","5,726,544","5,232,831","4,676,731","4,560,755","4,895,948","5,907,697","5,329,222","4,349,557","4,734,483","4,704,449","5,479,010","5,447,126"
"5111","期首棚卸高","0","0","0","0","246,818","0","0","0","0","0","0","0"
"5211","商品仕入高","41,583","5,240","20,084","111,937","5,471","4,416","74,969","80,660","4,800","51,800","4,319","389"
"5212",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","0","0","0","0","175,957","0","0","0","0","0","0","0"
,"当期売上原価","41,583","5,240","20,084","111,937","76,332","4,416","74,969","80,660","4,800","51,800","4,319","389"
,"売上総利益","5,684,961","5,227,591","4,656,647","4,448,818","4,819,616","5,903,281","5,254,253","4,268,897","4,729,683","4,652,649","5,474,691","5,446,737"
"6111","プロ報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6311","雑給","563,340","591,809","701,750","654,188","504,153","632,103","579,147","536,686","624,601","507,644","597,175","636,771"
"6112","旅費交通費","47,823","44,201","54,108","46,282","43,718","56,721","46,194","47,115","48,011","43,792","48,550","47,946"
"6113","広告宣伝費","116,025","125,117","136,025","251,204","141,325","130,331","230,966","240,661","139,498","284,794","254,727","221,286"
"6114","教育訓練費","0","0","0","0","0","0","0","0","0","0","0","0"
"6115","接客サービス費","613,799","154,506","188,235","153,589","198,830","665,848","331,847","131,934","171,631","215,534","149,393","150,282"
"6116","コンペ参加諸費","9,350","12,000","79,727","10,673","93,557","0","15,000","32,858","81,094","0","20,713","18,491"
"6117","プレイ器具費","5,000","76,500","5,000","495,000","85,430","25,100","48,750","5,000","5,000","5,000","20,610","5,000"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","285,000","285,000","285,000","285,000","285,000","385,000","285,000","231,000","231,000","231,000","231,000","231,000"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","社員給与","1,133,667","1,103,055","1,145,456","1,155,562","1,170,021","1,114,578","1,088,465","1,052,374","1,057,655","1,157,425","1,156,451","1,129,034"
"6213","従業員賞与","-334,108","99,000","99,000","99,000","-97,000","99,000","110,345","99,000","99,000","99,000","99,000","99,000"
"6312","法定福利費","200,271","174,067","348,291","200,494","346,602","221,018","250,834","174,127","329,154","236,366","236,346","236,239"
"6226","厚生費","5,700","5,700","5,700","5,700","32,973","5,700","16,364","16,238","-5,700","0","0","0"
"6119","退職手当等","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","285,000","285,000","285,000","285,000","370,061","233,792","233,792","233,792","233,792","233,792","233,792","233,792"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃・リース料","678,615","660,433","660,433","660,433","660,433","755,496","755,496","755,496","755,496","755,496","755,496","755,496"
"6216","修繕費","24,364","110,300","0","111,879","20,000","0","273,760","40,000","72,727","5,100","44,000","0"
"6217","事務用消耗品費","18,003","18,778","24,366","32,180","4,509","32,336","17,696","14,080","23,800","14,583","26,813","0"
"6218","通信交通費","0","0","916","13,383","2,434","5,735","0","3,066","182","14,210","15,217","5,735"
"6219","水道光熱費","143,006","111,503","161,922","122,991","113,410","144,931","131,531","124,184","185,448","151,032","180,486","140,998"
"6221","租税公課","22,500","0","106,000","23,950","132,000","35,541","35,541","35,541","35,541","35,541","35,541","35,541"
"6222","会議費","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","19,626","0","6,185","0","0","2,287","28,609","6,075","46,018","26,736","21,273","7,170"
"6224","保険料","0","0","0","9,000","460,596","38,310","38,310","151,240","89,400","86,740","38,310","71,920"
"6225","備品消耗品費","24,617","22,521","42,351","36,232","29,635","33,085","71,363","59,174","21,837","37,742","29,781","48,770"
"6227","管理諸費","95,900","45,900","45,900","60,000","70,000","170,900","449,900","155,000","210,900","263,660","155,000","170,900"
"6228","寄附金","5,000","0","5,000","0","5,000","32,500","0","0","0","0","0","0"
"6229","その他の一般管理費","15,500","15,500","15,500","15,500","15,500","15,500","15,500","15,500","15,500","15,500","15,500","15,500"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","93,773","109,092","120,999","76,750","86,105","120,121","47,180","53,029","45,389","33,844","81,751","53,831"
,"販売費及び一般管理費計","4,071,771","4,049,982","4,522,864","4,803,990","4,774,292","4,955,933","5,101,590","4,213,170","4,516,974","4,454,531","4,446,925","4,314,702"
,"営業利益（損失）","1,613,190","1,177,609","133,783","-355,172","45,324","947,348","152,663","55,727","212,709","198,118","1,027,766","1,132,035"
"7111","受取利息","0","0","0","51","17","0","0","0","0","84","28","2"
"7112","受入家賃","0","0","0","0","0","0","0","0","0","0","0","0"
"7113",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","250,000","0","0","7,230","0","0","285,500","0","0","0","0"
,"営業外収益計","0","250,000","0","51","7,247","0","0","285,500","0","84","28","2"
"7511","支払利息割引料","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7513",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7514",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","400,000","0","0","0"
,"営業外費用計","0","0","0","0","0","0","0","0","400,000","0","0","0"
,"経常利益（損失）","1,613,190","1,427,609","133,783","-355,121","52,571","947,348","152,663","341,227","-187,291","198,202","1,027,794","1,132,037"
