"ｺｰﾄﾞ","勘定科目名"," 5年  9月"," 5年 10月"," 5年 11月"," 5年 12月"," 6年  1月"," 6年  2月"," 6年  3月"," 6年  4月"," 6年  5月"," 6年  6月"," 6年  7月"," 6年  8月"
"4111","売上高","4,968,109","5,548,638","5,436,680","4,354,261","4,910,965","4,872,502","5,314,321","5,438,135","5,666,589","5,187,684","4,283,137","4,118,366"
"4112","会員券売上高","254,000","303,000","270,000","223,000","179,000","254,000","536,000","374,000","314,000","285,000","283,000","269,000"
"4113","ゴルフ用品・雑貨売上高","47,630","65,841","65,386","52,553","63,304","40,540","69,231","66,859","57,029","40,240","44,164","43,200"
"4114","手数料収入","197,765","628,519","184,654","191,206","155,337","67,781","188,523","179,738","520,885","198,678","188,000","175,053"
"4115","ポイント値引・入会金返金(△)","571,556","638,301","627,498","471,463","574,123","530,374","629,065","611,606","584,520","547,927","476,144","426,212"
,"純売上高","4,895,948","5,907,697","5,329,222","4,349,557","4,734,483","4,704,449","5,479,010","5,447,126","5,973,983","5,163,675","4,322,157","4,179,407"
"5111","期首棚卸高","246,818","0","0","0","0","0","0","0","0","0","0","0"
"5211","商品仕入高","5,471","4,416","74,969","80,660","4,800","51,800","4,319","389","71,987","23,209","12,979","37,982"
"5212",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","175,957","0","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","76,332","4,416","74,969","80,660","4,800","51,800","4,319","389","71,987","23,209","12,979","37,982"
,"売上総利益","4,819,616","5,903,281","5,254,253","4,268,897","4,729,683","4,652,649","5,474,691","5,446,737","5,901,996","5,140,466","4,309,178","4,141,425"
"6111","プロ報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6311","雑給","504,153","632,103","579,147","536,686","624,601","507,644","597,175","636,771","558,840","558,088","575,193","571,952"
"6112","旅費交通費","43,718","56,721","46,194","47,115","48,011","43,792","48,550","47,946","48,695","46,503","46,801","43,868"
"6113","広告宣伝費","141,325","130,331","230,966","240,661","139,498","284,794","254,727","221,286","164,190","141,255","116,190","133,850"
"6114","教育訓練費","0","0","0","0","0","0","0","0","0","0","0","0"
"6115","接客サービス費","198,830","665,848","331,847","131,934","171,631","215,534","149,393","150,282","811,199","199,773","141,691","133,701"
"6116","コンペ参加諸費","93,557","0","15,000","32,858","81,094","0","20,713","18,491","0","17,877","25,677","17,526"
"6117","プレイ器具費","85,430","25,100","48,750","5,000","5,000","5,000","20,610","5,000","5,000","19,064","5,000","5,000"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","285,000","385,000","285,000","231,000","231,000","231,000","231,000","231,000","231,000","231,000","231,000","231,000"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","社員給与","1,170,021","1,114,578","1,088,465","1,052,374","1,057,655","1,157,425","1,156,451","1,129,034","1,114,701","1,114,792","1,084,297","1,058,405"
"6213","従業員賞与","-97,000","99,000","110,345","99,000","99,000","99,000","99,000","99,000","-12,913","99,000","99,000","99,000"
"6312","法定福利費","346,602","221,018","250,834","174,127","329,154","236,366","236,346","236,239","224,716","151,668","443,532","305,881"
"6226","厚生費","32,973","5,700","16,364","16,238","-5,700","0","0","0","0","0","0","1,970"
"6119","退職手当等","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","370,061","233,792","233,792","233,792","233,792","233,792","233,792","233,792","233,792","233,792","233,792","233,792"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃・リース料","660,433","755,496","755,496","755,496","755,496","755,496","755,496","755,496","755,496","755,496","755,496","755,496"
"6216","修繕費","20,000","0","273,760","40,000","72,727","5,100","44,000","0","0","0","17,000","40,000"
"6217","事務用消耗品費","4,509","32,336","17,696","14,080","23,800","14,583","26,813","0","24,344","36,557","48,649","29,006"
"6218","通信交通費","2,434","5,735","0","3,066","182","14,210","15,217","5,735","12,555","6,699","1,843","0"
"6219","水道光熱費","113,410","144,931","131,531","124,184","185,448","151,032","180,486","140,998","137,367","113,459","169,716","150,911"
"6221","租税公課","132,000","35,541","35,541","35,541","35,541","35,541","35,541","35,541","35,541","35,541","42,241","35,541"
"6222","会議費","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","2,287","28,609","6,075","46,018","26,736","21,273","7,170","15,645","0","6,400","0"
"6224","保険料","460,596","38,310","38,310","151,240","89,400","86,740","38,310","71,920","38,310","38,310","38,310","38,310"
"6225","備品消耗品費","29,635","33,085","71,363","59,174","21,837","37,742","29,781","48,770","14,700","103,906","23,810","25,020"
"6227","管理諸費","70,000","170,900","449,900","155,000","210,900","263,660","155,000","170,900","220,900","170,900","170,900","170,900"
"6228","寄附金","5,000","32,500","0","0","0","0","0","0","5,000","5,000","0","0"
"6229","その他の一般管理費","15,500","15,500","15,500","15,500","15,500","15,500","15,500","15,500","15,500","15,500","15,500","15,500"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","86,105","120,121","47,180","53,029","45,389","33,844","81,751","53,831","57,216","89,844","38,715","35,987"
,"販売費及び一般管理費計","4,774,292","4,955,933","5,101,590","4,213,170","4,516,974","4,454,531","4,446,925","4,314,702","4,711,794","4,184,024","4,330,753","4,132,616"
,"営業利益（損失）","45,324","947,348","152,663","55,727","212,709","198,118","1,027,766","1,132,035","1,190,202","956,442","-21,575","8,809"
"7111","受取利息","17","0","0","0","0","84","28","2","0","0","0","849"
"7112","受入家賃","0","0","0","0","0","0","0","0","0","0","0","0"
"7113",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","7,230","0","0","285,500","0","0","0","0","0","0","0","0"
,"営業外収益計","7,247","0","0","285,500","0","84","28","2","0","0","0","849"
