"ｺｰﾄﾞ","勘定科目名","31年  1月","31年  2月","31年  3月","31年  4月"," 1年  5月"," 1年  6月"," 1年  7月"," 1年  8月"," 1年  9月"," 1年 10月"," 1年 11月"," 1年 12月"
"4111","プレイ売上高","4,723,665","4,071,306","4,930,391","5,010,179","5,406,890","4,571,081","4,655,631","4,366,784","4,341,417","4,614,497","4,505,970","4,251,316"
"4112","会員券売上高","205,552","182,407","377,775","275,922","254,627","197,223","288,886","159,258","381,480","238,911","132,184","271,096"
"4113","ゴルフ用品・雑貨売上高","118,888","167,550","96,737","75,037","72,814","116,368","66,106","79,851","79,473","68,974","118,884","45,378"
"4114","手数料収入","157,867","152,514","163,077","141,762","657,066","206,406","166,833","143,738","165,243","712,573","158,390","159,620"
"4115","ポイント値引・入会金返金(△)","688,843","596,813","642,632","690,861","643,173","528,715","625,940","555,184","678,433","722,322","647,338","790,417"
,"純売上高","4,517,129","3,976,964","4,925,348","4,812,039","5,748,224","4,562,363","4,551,516","4,194,447","4,289,180","4,912,633","4,268,090","3,936,993"
"5111","期首棚卸高","0","0","0","0","0","0","0","0","215,255","0","0","0"
"5211","商品仕入高","52,131","117,872","64,314","45,844","28,374","36,933","157,558","27,221","65,323","15,018","72,838","23,335"
"5212",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期製品製造原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","0","0","0","0","0","0","0","0","248,274","0","0","0"
,"当期売上原価","52,131","117,872","64,314","45,844","28,374","36,933","157,558","27,221","32,304","15,018","72,838","23,335"
,"売上総利益","4,464,998","3,859,092","4,861,034","4,766,195","5,719,850","4,525,430","4,393,958","4,167,226","4,256,876","4,897,615","4,195,252","3,913,658"
"6111","プロ報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6311","雑給","541,935","530,760","624,465","634,685","614,185","675,685","687,205","653,705","632,360","622,378","626,481","656,406"
"6112","旅費交通費","0","0","10,881","7,861","0","0","9,158","0","0","0","0","0"
"6113","広告宣伝費","82,594","73,500","73,500","73,500","103,500","73,500","73,500","78,500","120,690","116,341","234,000","478,500"
"6114","教育訓練費","0","0","0","0","0","0","0","0","0","0","0","0"
"6115","接客サービス費","171,093","258,409","249,273","164,965","693,142","268,185","179,710","228,911","412,166","441,900","506,202","166,399"
"6116","コンペ参加諸費","13,683","13,868","12,156","12,349","0","27,315","11,988","30,136","13,691","0","13,445","27,293"
"6117","プレイ器具費","25,000","25,000","25,000","433,600","40,700","25,000","33,000","25,000","37,263","242,087","31,300","2,819,000"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","252,000","252,000","252,000","302,000","252,000","252,000","252,000","252,000","291,528","252,000","252,000","252,000"
