"ｺｰﾄﾞ","勘定科目名"," 1年  7月"," 1年  8月"," 1年  9月"," 1年 10月"," 1年 11月"," 1年 12月"," 2年  1月"," 2年  2月"," 2年  3月"," 2年  4月"," 2年  5月"," 2年  6月"
"4111","プレイ売上高","4,655,631","4,366,784","4,341,417","4,614,497","4,505,970","4,251,316","4,614,664","4,354,998","5,153,707","4,574,815","5,067,947","5,228,175"
"4112","会員券売上高","288,886","159,258","381,480","238,911","132,184","271,096","261,636","199,367","321,368","245,730","245,726","235,548"
"4113","ゴルフ用品・雑貨売上高","66,106","79,851","79,473","68,974","118,884","45,378","77,508","118,527","114,767","72,967","85,577","84,568"
"4114","手数料収入","166,833","143,738","165,243","712,573","158,390","159,620","149,351","159,019","124,307","65,353","57,781","82,873"
"4115","ポイント値引・入会金返金(△)","625,940","555,184","678,433","722,322","647,338","790,417","870,102","772,433","888,517","579,501","682,836","753,216"
,"純売上高","4,551,516","4,194,447","4,289,180","4,912,633","4,268,090","3,936,993","4,233,057","4,059,478","4,825,632","4,379,364","4,774,195","4,877,948"
"5111","期首棚卸高","0","0","215,255","0","0","0","0","0","0","0","0","0"
"5211","商品仕入高","157,558","27,221","65,323","15,018","72,838","23,335","7,183","102,078","84,294","3,949","50,636","68,103"
"5212",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期製品製造原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","0","0","248,274","0","0","0","0","0","0","0","0","0"
,"当期売上原価","157,558","27,221","32,304","15,018","72,838","23,335","7,183","102,078","84,294","3,949","50,636","68,103"
,"売上総利益","4,393,958","4,167,226","4,256,876","4,897,615","4,195,252","3,913,658","4,225,874","3,957,400","4,741,338","4,375,415","4,723,559","4,809,845"
