"ｺｰﾄﾞ","勘定科目名"," 1年 10月"," 1年 11月"," 1年 12月"," 2年  1月"," 2年  2月"," 2年  3月"," 2年  4月"," 2年  5月"," 2年  6月"," 2年  7月"," 2年  8月"," 2年  9月"
"4111","プレイ売上高","4,614,497","4,505,970","4,251,316","4,614,664","4,354,998","5,153,707","4,574,815","5,067,947","5,228,175","5,845,904","5,067,487","5,604,745"
"4112","会員券売上高","238,911","132,184","271,096","261,636","199,367","321,368","245,730","245,726","235,548","405,819","182,545","261,638"
"4113","ゴルフ用品・雑貨売上高","68,974","118,884","45,378","77,508","118,527","114,767","72,967","85,577","84,568","65,556","94,885","80,259"
"4114","手数料収入","712,573","158,390","159,620","149,351","159,019","124,307","65,353","57,781","82,873","196,141","180,470","209,875"
"4115","ポイント値引・入会金返金(△)","722,322","647,338","790,417","870,102","772,433","888,517","579,501","682,836","753,216","793,393","725,628","925,670"
,"純売上高","4,912,633","4,268,090","3,936,993","4,233,057","4,059,478","4,825,632","4,379,364","4,774,195","4,877,948","5,720,027","4,799,759","5,230,847"
"5111","期首棚卸高","0","0","0","0","0","0","0","0","0","0","0","0"
"5211","商品仕入高","15,018","72,838","23,335","7,183","102,078","84,294","3,949","50,636","68,103","23,735","112,949","79,097"
"5212",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期製品製造原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","15,018","72,838","23,335","7,183","102,078","84,294","3,949","50,636","68,103","23,735","112,949","79,097"
,"売上総利益","4,897,615","4,195,252","3,913,658","4,225,874","3,957,400","4,741,338","4,375,415","4,723,559","4,809,845","5,696,292","4,686,810","5,151,750"
"6111","プロ報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6311","雑給","622,378","626,481","656,406","604,862","542,128","624,753","559,418","576,668","576,359","568,963","580,391","692,399"
"6112","旅費交通費","0","0","0","0","273","0","0","0","0","527","1,619","364"
"6113","広告宣伝費","116,341","234,000","478,500","109,200","287,173","527,200","109,200","124,200","119,200","124,200","83,500","113,045"
"6114","教育訓練費","0","0","0","0","0","0","0","0","0","0","0","0"
"6115","接客サービス費","441,900","506,202","166,399","184,395","385,465","161,166","258,990","150,670","111,037","290,062","162,809","121,179"
"6116","コンペ参加諸費","0","13,445","27,293","20,384","19,144","39,688","0","0","12,527","58,772","26,354","32,868"
"6117","プレイ器具費","242,087","31,300","2,819,000","76,750","27,000","25,000","25,000","25,000","25,000","112,725","27,800","25,000"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","252,000","252,000","252,000","252,000","252,000","252,000","252,000","252,000","252,000","252,000","252,000","252,000"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","社員給与","1,042,467","984,778","1,073,189","1,039,167","949,188","973,847","1,036,483","1,090,097","1,076,801","1,175,695","1,067,031","1,127,601"
"6213","従業員賞与","50,000","50,000","57,565","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","-250,000"
"6312","法定福利費","210,583","203,349","159,851","203,129","390,552","203,257","203,511","203,691","203,658","203,687","375,282","203,668"
"6226","厚生費","14,988","9,282","15,021","39,951","6,555","6,555","38,555","6,555","6,555","5,700","15,111","12,518"
"6119","退職手当等","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","170,000","170,000","170,000","170,000","170,000","170,000","170,000","170,000","170,000","170,000","170,000","170,000"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃・リース料","677,307","677,306","1,854,427","677,306","677,306","677,306","677,306","677,306","677,306","677,306","677,306","677,306"
"6216","修繕費","160,000","9,551","40,000","0","55,000","0","58,000","0","0","0","0","8,600"
"6217","事務用消耗品費","7,840","7,539","21,840","13,154","18,590","14,054","6,905","5,584","21,413","20,685","19,350","0"
"6218","通信交通費","61,356","55,591","56,636","53,645","50,727","54,048","62,570","53,391","53,473","55,723","56,521","62,659"
"6219","水道光熱費","142,009","116,816","158,667","170,530","158,023","157,314","132,989","119,940","129,621","142,314","132,325","188,974"
"6221","租税公課","0","0","77,000","0","0","77,000","0","0","75,800","75,000","0","0"
"6222","会議費","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","11,522","-185","7,121","0","0","0","0","5,000","0","7,043","0","0"
"6224","保険料","0","33,760","0","176,960","60,780","51,060","0","0","0","0","0","0"
"6225","備品消耗品費","18,273","40,320","44,334","33,951","421,733","41,341","32,763","36,172","41,017","97,653","28,999","12,561"
"6227","管理諸費","70,800","589,250","70,800","314,200","70,800","70,800","70,800","150,800","70,800","70,800","70,800","130,800"
"6228","寄付金","5,000","5,000","0","0","0","0","0","0","0","0","0","0"
"6229","その他の一般管理費","16,783","17,000","17,000","17,000","17,000","17,000","17,000","15,500","15,500","15,500","15,500","15,500"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","28,932","15,236","7,914","5,668","41,232","6,532","86,479","10,918","14,800","34,205","4,500","27,900"
,"販売費及び一般管理費計","4,362,566","4,648,021","8,230,963","4,212,252","4,650,669","4,199,921","3,847,969","3,723,492","3,702,867","4,208,560","3,817,198","3,624,942"
,"営業利益（損失）","535,049","-452,769","-4,317,305","13,622","-693,269","541,417","527,446","1,000,067","1,106,978","1,487,732","869,612","1,526,808"
"7111","受取利息","0","0","0","0","37","15","0","0","0","0","12","13"
"7112","受入家賃","30,000","30,000","30,000","0","0","0","0","0","0","0","0","0"
"7113",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","112","0","396,630","706,364","0","0","75,000","0","0","0","0"
,"営業外収益計","30,000","30,112","30,000","396,630","706,401","15","0","75,000","0","0","12","13"
"7511","支払利息割引料","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7513",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7514",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","460","1,300","10","-570","80","399,450","840","-1,570","0","0","0","0"
,"営業外費用計","460","1,300","10","-570","80","399,450","840","-1,570","0","0","0","0"
,"経常利益（損失）","564,589","-423,957","-4,287,315","410,822","13,052","141,982","526,606","1,076,637","1,106,978","1,487,732","869,624","1,526,821"
