"ｺｰﾄﾞ","勘定科目名"," 2年 10月"," 2年 11月"," 2年 12月"," 3年  1月"," 3年  2月"," 3年  3月"," 3年  4月"," 3年  5月"," 3年  6月"," 3年  7月"," 3年  8月"," 3年  9月"
"4111","プレイ売上高","5,597,682","5,479,104","4,953,142","5,554,998","5,597,306","5,974,141","5,851,730","6,439,429","5,590,194","4,422,537","5,192,670","5,960,908"
"4112","会員券売上高","293,274","205,821","368,823","232,457","201,092","426,461","261,640","221,733","219,003","396,910","202,095","274,823"
"4113","ゴルフ用品・雑貨売上高","67,240","62,045","87,751","63,024","84,833","79,376","67,854","75,499","68,940","77,887","101,892","47,149"
"4114","手数料収入","558,718","179,327","190,573","164,326","175,962","197,496","179,239","580,877","152,761","148,545","168,696","162,090"
"4115","ポイント値引・入会金返金(△)","748,371","898,164","1,018,374","1,044,866","1,071,065","1,174,511","908,845","912,511","931,295","807,647","806,484","981,401"
,"純売上高","5,768,543","5,028,133","4,581,915","4,969,939","4,988,128","5,502,963","5,451,618","6,405,027","5,099,603","4,238,232","4,858,869","5,463,569"
"5111","期首棚卸高","0","0","0","0","0","0","0","0","0","0","0","0"
"5211","商品仕入高","8,898","37,082","34,838","48,900","60,879","15,358","46,647","10,556","103,936","17,424","43,619","57,157"
"5212",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期製品製造原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","8,898","37,082","34,838","48,900","60,879","15,358","46,647","10,556","103,936","17,424","43,619","57,157"
,"売上総利益","5,759,645","4,991,051","4,547,077","4,921,039","4,927,249","5,487,605","5,404,971","6,394,471","4,995,667","4,220,808","4,815,250","5,406,412"
"6111","プロ報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6311","雑給","807,004","716,559","665,457","677,545","654,739","682,167","702,521","773,546","672,291","722,736","707,072","691,284"
"6112","旅費交通費","0","1,820","364","182","0","1,456","1,637","0","0","0","1,281","0"
"6113","広告宣伝費","98,500","180,500","104,000","182,573","98,500","104,800","121,500","104,800","106,100","101,000","98,500","113,500"
"6114","教育訓練費","0","0","0","0","0","0","0","0","0","0","0","0"
"6115","接客サービス費","496,992","135,819","220,661","150,060","262,340","195,619","124,802","462,264","150,894","115,706","198,765","113,320"
"6116","コンペ参加諸費","7,000","36,518","32,240","41,047","31,068","26,154","57,587","3,809","14,654","11,518","30,573","22,439"
"6117","プレイ器具費","25,000","40,000","10,000","20,000","74,300","10,000","127,000","715,000","119,925","10,000","-64,091","0"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","252,000","252,000","402,000","402,000","402,000","402,000","402,000","402,000","402,000","402,000","402,000","402,000"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","社員給与","1,110,694","1,059,074","1,032,258","1,089,959","1,072,664","1,176,576","1,121,424","1,153,849","1,116,210","972,740","1,054,710","1,057,324"
"6213","従業員賞与","50,000","50,000","194,220","50,000","50,000","50,000","50,000","50,000","385,105","99,000","99,000","99,000"
"6312","法定福利費","206,542","201,420","134,164","201,508","201,440","201,463","201,171","241,762","152,885","241,714","242,072","754,154"
"6226","厚生費","17,769","24,789","56,496","5,700","5,700","11,791","5,700","5,700","5,700","5,700","5,700","9,109"
"6119","退職手当等","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","147,000","147,000","147,000","147,000","147,000","147,000","147,000","147,000","147,000","147,000","147,000","147,000"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃・リース料","677,306","677,306","1,873,287","677,306","677,306","677,306","677,306","677,306","677,306","672,076","677,306","677,306"
"6216","修繕費","336,855","50,000","160,000","0","28,000","15,500","0","0","90,545","0","60,000","-22,000"
"6217","事務用消耗品費","27,052","19,733","4,114","50,045","14,066","4,895","15,455","8,494","15,651","16,201","25,963","2,209"
"6218","通信交通費","74,230","63,539","63,683","63,166","59,686","62,615","69,281","64,084","71,156","61,645","62,147","61,132"
"6219","水道光熱費","146,273","137,070","110,879","126,090","154,420","155,079","112,656","146,617","105,514","108,069","153,598","174,313"
"6221","租税公課","0","75,000","0","0","0","75,000","0","74,800","0","0","71,000","0"
"6222","会議費","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","2,118","5,576","0","1,880","0","40,000","0","0","10,270","0","0"
"6224","保険料","0","34,850","500,510","56,300","48,430","39,028","0","-387,580","0","0","0","0"
"6225","備品消耗品費","35,238","51,201","37,886","148,683","104,550","40,788","34,899","64,783","46,014","28,949","42,442","23,410"
"6227","管理諸費","70,800","594,800","70,800","278,510","70,800","70,800","70,800","135,800","70,800","70,800","70,800","180,800"
"6228","寄付金","5,000","0","0","0","0","0","0","5,000","0","0","0","0"
"6229","その他の一般管理費","15,500","15,500","15,500","15,500","15,500","15,500","15,500","15,500","15,500","15,500","15,500","15,500"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","29,236","12,836","32,114","2,773","9,336","5,141","34,323","6,159","16,709","93,391","5,841","33,140"
,"販売費及び一般管理費計","4,635,991","4,579,452","5,873,209","4,385,947","4,183,725","4,170,678","4,132,562","4,870,693","4,381,959","3,906,015","4,107,179","4,554,940"
