"ｺｰﾄﾞ","勘定科目名"," 3年 11月"," 3年 12月"," 4年  1月"," 4年  2月"," 4年  3月"," 4年  4月"," 4年  5月"," 4年  6月"," 4年  7月"," 4年  8月"," 4年  9月"," 4年 10月"
"4111","売上高","5,847,013","5,254,888","5,312,537","5,144,523","5,894,265","5,757,953","6,235,101","5,075,903","5,110,842","4,894,871","2,960,882","5,652,893"
"4112","会員券売上高","229,183","305,276","199,275","248,638","309,187","417,274","287,638","271,003","265,458","202,092","238,458","571,183"
"4113","ゴルフ用品・雑貨売上高","89,569","63,743","68,205","54,490","98,449","72,124","63,090","66,075","97,540","56,495","25,005","67,878"
"4114","手数料収入","179,793","152,035","128,019","133,837","165,037","178,468","467,782","212,881","151,262","188,425","132,347","474,995"
"4115","ポイント値引・入会金返金(△)","1,006,285","723,829","804,991","719,254","807,348","726,001","672,178","604,182","646,851","574,401","439,627","766,572"
,"純売上高","5,339,273","5,052,113","4,903,045","4,862,234","5,659,590","5,699,818","6,381,433","5,021,680","4,978,251","4,767,482","2,917,065","6,000,377"
"5111","期首棚卸高","0","0","0","0","0","0","0","0","0","0","0","0"
"5211","商品仕入高","10,495","51,967","16,325","71,550","35,864","51,238","11,042","14,579","78,892","68,650","250,370","29,308"
"5212",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","0","0","0","0","0","0","0","0","0","0","246,818","0"
,"当期売上原価","10,495","51,967","16,325","71,550","35,864","51,238","11,042","14,579","78,892","68,650","3,552","29,308"
,"売上総利益","5,328,778","5,000,146","4,886,720","4,790,684","5,623,726","5,648,580","6,370,391","5,007,101","4,899,359","4,698,832","2,913,513","5,971,069"
"6111","プロ報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6311","雑給","751,378","755,492","706,750","628,410","675,563","647,740","698,325","672,815","778,630","542,205","497,741","541,743"
"6112","旅費交通費","46,788","46,182","45,739","41,779","47,992","47,457","46,344","45,623","50,269","46,488","49,281","46,200"
"6113","広告宣伝費","113,600","186,400","162,573","148,800","122,300","136,300","130,300","130,300","169,800","115,300","170,600","359,670"
"6114","教育訓練費","0","0","0","0","0","0","0","0","0","0","0","0"
"6115","接客サービス費","125,186","279,782","150,900","386,657","112,453","244,551","470,948","125,293","152,906","202,491","379,246","594,259"
"6116","コンペ参加諸費","32,173","41,087","20,898","20,453","30,763","36,688","9,409","52,592","24,254","24,887","33,463","0"
"6117","プレイ器具費","52,200","5,000","145,000","5,000","5,000","5,000","5,000","15,000","455,750","5,000","97,550","11,000"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","283,500","315,000","315,000","315,000","315,000","315,000","315,000","315,000","315,000","315,000","315,000","315,000"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","社員給与","1,144,591","1,169,045","1,068,932","1,133,545","1,178,045","1,161,591","1,215,273","1,105,847","1,138,031","1,184,295","1,150,273","1,094,880"
"6213","従業員賞与","79,280","99,000","99,000","99,000","99,000","99,000","99,000","-64,054","99,000","99,000","99,000","99,000"
"6312","法定福利費","252,988","-51,941","184,426","184,580","184,338","183,569","183,624","119,468","428,128","157,828","68,277","199,852"
"6226","厚生費","8,427","22,352","5,700","5,700","10,245","5,700","5,700","5,700","5,700","5,700","32,971","17,769"
"6119","退職手当等","0","0","0","0","0","0","0","0","0","0","0","0"
