"ｺｰﾄﾞ","勘定科目名"," 2年  6月"," 2年  7月"," 2年  8月"," 2年  9月"," 2年 10月"," 2年 11月"," 2年 12月"," 3年  1月"," 3年  2月"," 3年  3月"," 3年  4月"," 3年  5月"
"4111","売上高","8,435,261","11,975,192","11,192,054","11,683,208","15,373,685","16,431,451","17,637,692","11,313,760","10,519,436","12,890,919","10,391,254","10,224,136"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","8,435,261","11,975,192","11,192,054","11,683,208","15,373,685","16,431,451","17,637,692","11,313,760","10,519,436","12,890,919","10,391,254","10,224,136"
"5111","期首たな卸高","10,752,360","10,080,412","9,998,864","9,626,507","8,023,874","6,385,746","10,008,596","10,974,666","9,596,034","8,425,259","9,408,139","9,061,982"
"5211","商品仕入高","2,175,745","4,112,941","3,412,892","2,478,354","3,606,056","8,792,580","8,364,962","2,413,679","2,380,223","5,655,943","3,723,373","4,728,061"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","10,080,412","9,998,864","9,626,507","8,023,874","6,385,746","10,008,596","10,974,666","9,596,034","8,425,259","9,408,139","9,061,982","9,977,405"
,"当期売上原価","2,847,693","4,194,489","3,785,249","4,080,987","5,244,184","5,169,730","7,398,892","3,792,311","3,550,998","4,673,063","4,069,530","3,812,638"
,"売上総利益","5,587,568","7,780,703","7,406,805","7,602,221","10,129,501","11,261,721","10,238,800","7,521,449","6,968,438","8,217,856","6,321,724","6,411,498"
"6111","給与手当","1,244,000","1,206,305","1,245,522","1,257,000","1,352,000","1,859,400","1,871,400","1,744,565","1,700,400","1,889,183","1,763,400","1,786,400"
"6311","雑給","1,972,274","2,249,799","2,407,681","2,337,937","2,904,397","2,495,804","2,244,284","1,977,184","1,783,234","2,118,427","1,884,343","1,726,453"
"6112","旅費交通費","62,263","77,687","88,666","80,309","90,367","116,706","115,472","110,673","95,546","118,990","98,590","110,223"
"6113","広告宣伝費","571,451","600,959","727,487","817,148","539,097","613,541","830,420","459,368","688,329","705,691","677,418","521,276"
"6114","販売促進費","439,492","158,664","146,041","337,429","153,634","325,112","311,001","216,433","206,884","285,713","441,408","280,989"
"6115","荷造発送費","1,100","1,400","0","0","0","1,500","17,600","0","3,055","14,900","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","231,764","330,381","307,994","331,022","407,889","381,987","400,170","314,447","282,118","403,068","348,916","289,962"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","0","0","0","237,500","0","0","0","0","0"
"6312","法定福利費","371,661","354,968","383,680","389,475","401,155","401,155","484,947","370,721","440,607","469,889","440,549","440,549"
"6226","厚生費","0","57,675","27,885","139,400","78,676","117,838","5,000","59,063","11,662","33,175","33,497","24,797"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","181,332","181,332","181,332","181,418","173,683","173,683","173,683","173,683","173,683","173,683","173,683","173,683"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","550,000","550,000","550,000","550,000","550,000","550,000","550,000","550,000","550,000","550,000","550,000","550,000"
"6216","修繕／車両関係費","7,827","25,000","33,000","11,000","55,000","11,000","0","0","0","0","39,811","181,400"
"6217","事務用消耗品費","11,439","16,330","22,886","7,355","30,549","7,670","22,997","32,704","13,920","22,670","25,781","11,109"
"6218","通信交通費","8,196","16,131","17,435","28,404","11,548","11,323","9,660","13,943","19,833","8,177","13,426","14,661"
"6219","水道光熱費","246,071","412,993","389,131","608,795","386,879","456,292","259,946","499,480","313,718","437,788","347,392","421,026"
"6221","租税公課","0","5,000","0","0","5,000","0","10,150","0","0","0","0","5,000"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","4,509","0","0","0","0"
"6224","保険料","38,891","38,891","38,891","38,999","38,891","38,891","38,891","38,891","38,891","38,891","38,891","38,891"
"6225","備品消耗品費","385,668","653,915","504,327","745,806","585,952","658,964","973,903","380,812","428,162","1,308,487","614,970","529,519"
"6227","管理諸費","195,247","224,523","207,498","213,022","217,364","151,046","332,380","415,040","256,572","251,518","217,896","282,631"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","0","0","0","0","0","0","7,000","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
