"ｺｰﾄﾞ","勘定科目名","31年  3月","31年  4月"," 1年  5月"," 1年  6月"," 1年  7月"," 1年  8月"," 1年  9月"," 1年 10月"," 1年 11月"," 1年 12月"," 2年  1月"," 2年  2月"
"4111","売上高","19,610,047","14,881,878","14,926,692","15,149,187","13,861,789","13,950,647","12,847,626","12,681,118","18,046,820","24,494,681","17,909,773","14,329,067"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","19,610,047","14,881,878","14,926,692","15,149,187","13,861,789","13,950,647","12,847,626","12,681,118","18,046,820","24,494,681","17,909,773","14,329,067"
"5111","期首たな卸高","4,409,511","3,385,245","3,380,572","3,970,566","3,646,054","6,805,582","6,305,731","5,459,216","11,734,929","11,997,099","13,889,342","12,918,563"
"5211","商品仕入高","5,534,323","5,032,683","5,987,889","5,241,973","8,027,372","4,757,301","3,850,341","10,537,838","5,950,257","10,843,352","4,577,264","3,970,758"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","3,385,245","3,380,572","3,970,566","3,646,054","6,805,582","6,305,731","5,459,216","11,734,929","11,997,099","13,889,342","12,918,563","12,352,884"
,"当期売上原価","6,558,589","5,037,356","5,397,895","5,566,485","4,867,844","5,257,152","4,696,856","4,262,125","5,688,087","8,951,109","5,548,043","4,536,437"
,"売上総利益","13,051,458","9,844,522","9,528,797","9,582,702","8,993,945","8,693,495","8,150,770","8,418,993","12,358,733","15,543,572","12,361,730","9,792,630"
"6111","給与手当","1,223,040","1,259,310","1,418,500","1,534,500","1,552,193","1,473,484","1,437,568","1,251,000","1,293,000","1,297,500","1,255,000","1,301,000"
"6311","雑給","3,274,661","2,739,300","2,845,176","2,830,696","2,634,991","2,708,597","2,551,584","2,786,581","3,289,171","3,908,473","3,271,147","2,997,256"
"6112","旅費交通費","109,936","126,300","94,673","91,474","94,607","114,567","105,763","99,389","100,933","134,739","125,836","89,641"
"6113","広告宣伝費","1,239,411","1,097,728","949,854","1,023,062","882,426","1,546,837","1,067,368","1,140,474","1,345,761","1,095,825","703,119","743,175"
"6114","販売促進費","599,064","350,273","334,348","560,403","262,435","254,839","552,310","183,841","130,672","199,250","496,421","261,685"
"6115","荷造発送費","6,758","0","0","0","0","471","0","0","0","2,800","8,800","44,610"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","480,587","411,266","425,961","414,524","355,220","383,951","406,495","463,743","485,966","567,205","553,797","447,426"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","95,000","95,000","95,000","-66,675","95,000","95,000","95,000","95,000","95,000","-313,000","95,000","95,000"
"6312","法定福利費","403,726","439,462","402,997","463,599","421,958","421,958","436,243","429,643","421,784","473,265","424,762","416,145"
"6226","厚生費","307,757","100,197","92,841","131,502","200,789","86,930","471,303","136,503","235,625","104,559","228,647","-2,364"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","185,567","185,567","185,567","185,567","185,567","185,567","206,735","181,332","181,332","181,332","181,332","181,332"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","550,000","550,000","550,000","550,000","550,000","550,000","551,852","550,000","550,000","550,000","550,000","550,000"
"6216","修繕／車両関係費","285,778","61,111","778,231","126,500","148,334","206,500","201,259","66,000","88,000","331,182","309,582","140,233"
"6217","事務用消耗品費","27,475","4,755","28,070","56,469","800","11,987","30,950","26,366","11,460","19,917","19,366","13,040"
"6218","通信交通費","16,802","21,736","8,196","14,616","8,774","28,777","22,492","22,218","11,712","17,453","14,017","15,568"
"6219","水道光熱費","641,744","445,747","563,787","374,644","601,223","452,402","750,197","416,829","539,666","309,839","592,709","371,234"
"6221","租税公課","10,000","5,000","5,000","5,000","5,000","5,000","1,000","0","10,000","11,000","5,000","5,000"
"6222","寄付金","0","6,667","0","0","5,000","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","5,000","0","0","0","0","5,677","0"
"6224","保険料","57,001","57,001","57,001","57,001","57,001","57,001","57,109","41,451","38,891","38,891","38,891","38,891"
"6225","備品消耗品費","641,397","717,092","413,186","568,425","417,122","535,292","1,374,008","571,554","583,565","909,348","636,782","463,426"
"6227","管理諸費","215,132","191,370","161,766","114,128","286,144","247,211","324,028","252,492","210,228","222,728","233,217","202,257"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","17,000","0","12,000","0","0","0","0","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","10,370,836","8,881,882","9,410,154","9,047,435","8,764,584","9,371,371","10,643,264","8,714,416","9,622,766","10,062,306","9,749,102","8,374,555"
,"営業利益（損失）","2,680,622","962,640","118,643","535,267","229,361","-677,876","-2,492,494","-295,423","2,735,967","5,481,266","2,612,628","1,418,075"
"7111","受取利息","0","0","0","0","0","275","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","20,463","21,014","24,034","22,223","26,369","29,990","26,054","24,657","22,620","23,902","21,769"
,"営業外収益計","0","20,463","21,014","24,034","22,223","26,644","29,990","26,054","24,657","22,620","23,902","21,769"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","2","0","0","-200","0","0","0","0","0","0","0","0"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","2","0","0","-200","0","0","0","0","0","0","0","0"
,"経常利益（損失）","2,680,620","983,103","139,657","559,501","251,584","-651,232","-2,462,504","-269,369","2,760,624","5,503,886","2,636,530","1,439,844"
