"ｺｰﾄﾞ","勘定科目名","30年  2月","30年  3月","30年  4月","30年  5月","30年  6月","30年  7月","30年  8月","30年  9月","30年 10月","30年 11月","30年 12月","31年  1月"
"4111","売上高","13,778,156","18,734,820","14,863,400","14,043,884","13,356,874","12,817,055","13,969,906","14,319,646","14,415,660","16,316,295","25,347,209","19,760,083"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","13,778,156","18,734,820","14,863,400","14,043,884","13,356,874","12,817,055","13,969,906","14,319,646","14,415,660","16,316,295","25,347,209","19,760,083"
"5111","期首たな卸高","3,528,638","3,857,854","3,535,320","4,098,874","5,311,872","5,314,519","4,673,916","4,739,596","4,071,893","3,624,198","5,242,686","6,320,722"
"5211","商品仕入高","4,670,024","6,132,920","5,273,508","5,838,903","4,345,426","3,627,676","4,982,382","4,229,355","4,930,151","7,224,329","10,663,185","5,644,625"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","3,857,854","3,535,320","4,098,874","5,311,872","5,314,519","4,673,916","4,739,596","4,071,893","3,624,198","5,242,686","6,320,722","5,169,531"
,"当期売上原価","4,340,808","6,455,454","4,709,954","4,625,905","4,342,779","4,268,279","4,916,702","4,897,058","5,377,846","5,605,841","9,585,149","6,795,816"
,"売上総利益","9,437,348","12,279,366","10,153,446","9,417,979","9,014,095","8,548,776","9,053,204","9,422,588","9,037,814","10,710,454","15,762,060","12,964,267"
"6111","給与手当","1,265,524","1,314,836","1,491,182","1,528,250","1,528,250","1,645,250","1,490,000","1,382,250","1,237,750","1,333,080","1,363,540","1,398,330"
"6311","雑給","2,758,578","3,302,651","2,950,725","2,902,835","2,776,408","2,666,168","3,008,074","2,802,880","2,852,587","2,941,362","3,930,763","3,637,183"
"6112","旅費交通費","108,979","139,427","125,732","134,432","123,134","116,360","124,539","121,332","106,180","122,358","134,142","123,215"
"6113","広告宣伝費","892,163","1,221,908","1,041,757","885,615","907,220","921,236","864,798","1,187,955","1,095,869","1,153,989","1,413,051","963,753"
"6114","販売促進費","256,318","245,739","508,980","321,996","412,427","264,632","269,686","291,509","144,759","185,774","165,257","245,396"
"6115","荷造発送費","3,626","3,528","6,559","11,100","7,750","7,189","3,667","4,240","0","0","5,600","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","415,662","491,723","528,646","387,499","387,626","348,678","364,739","417,054","415,700","408,492","599,648","573,072"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","83,333","83,333","100,000","100,000","-212,855","100,000","100,000","100,002","0","0","-60,030","95,000"
"6312","法定福利費","389,793","389,793","345,333","345,333","484,491","404,760","404,760","423,712","423,712","423,712","488,475","423,712"
"6226","厚生費","113,699","243,114","152,330","176,713","40,378","150,137","55,166","462,015","58,845","270,635","145,594","76,934"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","196,214","196,214","196,214","196,214","196,214","196,214","196,214","296,152","185,567","185,567","185,567","185,567"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","550,000","550,000","550,000","550,000","550,000","550,000","550,000","550,000","550,000","550,000","550,000","550,000"
"6216","修繕／車両関係費","242,481","331,241","134,130","491,481","81,481","50,648","61,111","114,815","127,315","195,926","393,984","240,759"
"6217","事務用消耗品費","6,026","800","0","3,519","26,874","7,956","9,559","2,260","20,994","6,706","25,806","1,337"
"6218","通信交通費","15,805","11,832","15,534","11,782","14,495","9,970","24,581","10,096","13,239","13,493","15,301","13,955"
"6219","水道光熱費","410,404","585,520","427,436","554,599","379,443","601,276","519,201","758,001","435,632","603,004","366,865","655,524"
"6221","租税公課","5,000","10,000","5,000","5,000","5,000","5,000","9,000","7,050","5,000","5,000","12,050","12,000"
"6222","寄付金","0","0","6,667","0","0","5,000","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","5,000","0","0","0","0","0"
"6224","保険料","57,001","57,001","57,001","57,001","57,001","57,001","57,001","57,001","59,463","57,001","57,001","57,001"
"6225","備品消耗品費","414,949","504,039","470,449","452,234","466,679","611,039","337,634","428,276","599,398","761,430","711,058","664,669"
"6227","管理諸費","258,618","301,812","288,283","346,593","261,660","325,655","283,433","276,962","241,397","240,467","199,585","195,715"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","13,000","0","36,000","0","0","0","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","8,444,173","9,984,511","9,414,958","9,462,196","8,529,676","9,044,169","8,738,163","9,693,562","8,573,407","9,457,996","10,703,257","10,113,122"
,"営業利益（損失）","993,175","2,294,855","738,488","-44,217","484,419","-495,393","315,041","-270,974","464,407","1,252,458","5,058,803","2,851,145"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","21,834","16,272","19,893","22,225","25,443","21,384","23,443","25,694","19,427","22,782","20,823","23,602"
,"営業外収益計","21,834","16,272","19,893","22,225","25,443","21,384","23,443","25,694","19,427","22,782","20,823","23,602"
"7511","支払利息","0","0","0","0","0","0","0","0","0","122,065","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","0","0","0","0","0","0","0","0","0"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
