"ｺｰﾄﾞ","勘定科目名"," 2年  5月"," 2年  6月"," 2年  7月"," 2年  8月"," 2年  9月"," 2年 10月"," 2年 11月"," 2年 12月"," 3年  1月"," 3年  2月"," 3年  3月"," 3年  4月"
"4111","売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"5111","期首たな卸高","8,847,437","8,764,949","8,571,540","1,430,392","1,315,753","0","0","0","0","0","0","0"
"5211","商品仕入高","-85,856","-157,230","-6,579,010","-68,799","-919,863","0","0","0","0","0","0","0"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","8,764,949","8,571,540","1,430,392","1,315,753","0","0","0","0","0","0","0","0"
,"当期売上原価","-3,368","36,179","562,138","45,840","395,890","0","0","0","0","0","0","0"
,"売上総利益","3,368","-36,179","-562,138","-45,840","-395,890","0","0","0","0","0","0","0"
"6111","給与手当","1,160,135","1,171,573","0","0","0","0","0","0","0","0","0","0"
"6311","雑給","1,183,318","1,098,416","1,290,363","1,369,683","1,173,228","1,220,074","1,201,361","1,107,176","1,119,986","0","0","0"
"6112","旅費交通費","42,433","48,775","0","0","0","0","0","0","0","0","0","0"
"6113","広告宣伝費","149,739","167,461","69,054","35,000","50,000","30,182","30,000","30,000","26,020","30,000","30,000","30,000"
"6114","販売促進費","12,000","16,455","16,744","16,000","16,000","16,000","16,000","16,000","16,000","16,000","16,000","0"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","34,412","70,944","62,435","26,088","51,838","19,238","15,745","49,945","51,495","18,877","47,293","19,781"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","0","0","0","0","0","0","0","0","0"
"6312","法定福利費","290,318","251,165","60,421","19,500","27,002","27,839","27,839","27,839","99,393","0","0","0"
"6226","厚生費","0","0","0","0","0","182","0","0","0","0","0","0"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","859,296","859,296","859,296","859,296","859,392","823,146","823,146","823,146","823,146","823,146","823,146","823,146"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","533,000","533,000","933,000","933,000","533,000","133,000","533,000","533,935","533,000","132,745","44,330","43,670"
"6216","修繕／車両関係費","0","0","0","0","0","0","0","0","0","0","0","0"
"6217","事務用消耗品費","0","0","0","0","0","0","0","0","0","0","0","0"
"6218","通信交通費","13,787","18,792","15,287","10,475","15,279","2,203","23,551","0","15,279","8,272","23,554","8,273"
"6219","水道光熱費","339,305","139,764","125,602","123,891","126,489","104,514","100,656","87,085","164,136","81,249","89,703","75,274"
"6221","租税公課","0","0","0","0","0","0","0","0","0","0","0","0"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","43,892","43,892","43,892","43,892","13,892","13,892","13,892","13,892","13,892","13,892","13,892","13,892"
"6225","備品消耗品費","8,360","9,049","0","0","0","0","0","0","0","0","0","0"
"6227","管理諸費","49,008","48,864","29,200","28,000","28,000","28,000","28,000","28,000","38,000","0","11,000","0"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","0","0","0","0","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","4,719,003","4,477,446","3,505,294","3,464,825","2,894,120","2,418,270","2,813,190","2,717,018","2,900,347","1,124,181","1,098,918","1,014,036"
,"営業利益（損失）","-4,715,635","-4,513,625","-4,067,432","-3,510,665","-3,290,010","-2,418,270","-2,813,190","-2,717,018","-2,900,347","-1,124,181","-1,098,918","-1,014,036"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外収益計","0","0","0","0","0","0","0","0","0","0","0","0"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","0","0","0","0","0","0","0","0","0"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","0","0","0","0","0","0","0","0","0","0"
,"経常利益（損失）","-4,715,635","-4,513,625","-4,067,432","-3,510,665","-3,290,010","-2,418,270","-2,813,190","-2,717,018","-2,900,347","-1,124,181","-1,098,918","-1,014,036"
