"ｺｰﾄﾞ","勘定科目名"," 1年  5月"," 1年  6月"," 1年  7月"," 1年  8月"," 1年  9月"," 1年 10月"," 1年 11月"," 1年 12月"," 2年  1月"," 2年  2月"," 2年  3月"," 2年  4月"
"4111","売上高","17,207,244","17,788,801","14,987,175","17,464,224","15,066,227","16,174,770","21,730,991","27,097,847","22,887,468","17,569,006","13,128,981","4,951,838"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","17,207,244","17,788,801","14,987,175","17,464,224","15,066,227","16,174,770","21,730,991","27,097,847","22,887,468","17,569,006","13,128,981","4,951,838"
"5111","期首たな卸高","17,381,144","21,100,850","15,552,558","21,588,551","18,592,269","17,400,043","17,488,003","14,984,152","14,714,172","11,592,433","8,274,811","7,879,369"
"5211","商品仕入高","9,803,210","726,805","10,927,953","3,312,826","4,089,276","5,097,747","4,584,949","8,968,461","4,616,601","3,647,986","3,972,496","795,688"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","21,100,850","15,552,558","21,588,551","18,592,269","17,400,043","17,488,003","14,984,152","14,714,172","11,592,433","8,274,811","7,879,369","7,185,216"
,"当期売上原価","6,083,504","6,275,097","4,891,960","6,309,108","5,281,502","5,009,787","7,088,800","9,238,441","7,738,340","6,965,608","4,367,938","1,489,841"
,"売上総利益","11,123,740","11,513,704","10,095,215","11,155,116","9,784,725","11,164,983","14,642,191","17,859,406","15,149,128","10,603,398","8,761,043","3,461,997"
"6111","給与手当","2,678,451","2,605,075","2,469,841","2,199,174","2,116,340","2,253,000","2,283,000","2,280,000","2,340,000","2,395,000","2,044,041","1,842,348"
"6311","雑給","2,455,952","2,410,528","2,247,174","2,341,468","2,541,298","2,237,942","2,506,417","2,878,796","2,460,822","2,519,641","1,917,128","1,367,364"
"6112","旅費交通費","116,281","120,220","121,604","113,207","111,236","105,454","110,705","138,629","126,488","99,802","99,838","66,669"
"6113","広告宣伝費","1,359,461","1,396,300","1,101,899","1,456,028","1,386,383","1,320,807","1,675,908","1,355,238","895,890","922,109","967,320","796,419"
"6114","販売促進費","355,267","344,401","70,861","236,857","387,360","51,549","82,162","115,461","298,355","223,720","345,385","31,289"
"6115","荷造発送費","228","1,955","1,063","228","227","0","1,513","11,116","0","26,696","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","523,156","495,666","405,076","462,982","443,036","505,546","559,258","674,063","677,185","487,780","450,700","195,971"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","147,000","-355,250","147,000","147,000","147,000","147,000","147,000","-312,250","147,000","147,000","147,000","0"
"6312","法定福利費","538,966","591,983","484,135","459,617","451,154","437,354","437,354","489,134","440,630","432,214","407,940","396,431"
"6226","厚生費","146,037","145,927","201,345","115,558","352,365","137,857","130,671","83,274","299,192","57,841","90,330","3,000"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","207,571","207,571","207,571","207,571","478,803","198,155","198,155","198,155","198,155","198,155","198,155","198,155"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","4,000,000","4,000,000","4,000,000","4,000,000","4,074,074","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","1,930,000"
"6216","修繕／車両関係費","287,000","231,000","458,485","321,756","1,064,000","459,137","555,900","481,133","642,000","342,778","99,000","91,000"
"6217","事務用消耗品費","5,200","0","0","0","3,639","0","0","0","0","0","0","0"
"6218","通信交通費","34,201","30,896","17,939","13,867","13,933","14,597","39,057","15,711","52,065","15,807","30,619","23,769"
"6219","水道光熱費","722,361","584,673","735,524","693,147","911,036","622,632","598,502","486,545","709,365","600,422","659,805","527,512"
"6221","租税公課","6,000","6,000","4,000","6,000","6,000","10,000","6,000","10,000","9,600","6,000","4,000","0"
"6222","寄付金","0","20,000","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","55,160","55,160","55,160","55,160","55,160","32,560","30,000","30,000","30,000","30,000","30,000","30,000"
"6225","備品消耗品費","579,898","686,839","556,187","530,528","1,877,883","597,572","412,118","618,165","443,352","410,865","269,387","448,495"
"6227","管理諸費","466,910","343,215","382,021","369,160","240,421","328,824","348,437","315,805","268,749","302,330","271,039","158,868"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","14,000","18,000","0","-9,000","9,000","24,000","0","9,000","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
