"ｺｰﾄﾞ","勘定科目名"," 2年  2月"," 2年  3月"," 2年  4月"," 2年  5月"," 2年  6月"," 2年  7月"," 2年  8月"," 2年  9月"," 2年 10月"," 2年 11月"," 2年 12月"," 3年  1月"
"4111","売上高","17,569,006","13,128,981","4,951,838","10,692,295","10,684,830","12,360,114","12,731,465","12,746,830","16,507,703","19,440,594","22,672,494","13,769,041"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","17,569,006","13,128,981","4,951,838","10,692,295","10,684,830","12,360,114","12,731,465","12,746,830","16,507,703","19,440,594","22,672,494","13,769,041"
"5111","期首たな卸高","11,592,433","8,274,811","7,879,369","7,185,216","6,622,039","5,090,821","10,905,265","9,548,273","8,428,015","6,215,480","7,874,200","8,938,970"
"5211","商品仕入高","3,647,986","3,972,496","795,688","2,802,978","2,052,767","10,250,288","2,757,974","3,011,991","3,396,596","7,912,793","10,255,049","2,800,517"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","8,274,811","7,879,369","7,185,216","6,622,039","5,090,821","10,905,265","9,548,273","8,428,015","6,215,480","7,874,200","8,938,970","7,423,851"
,"当期売上原価","6,965,608","4,367,938","1,489,841","3,366,155","3,583,985","4,435,844","4,114,966","4,132,249","5,609,131","6,254,073","9,190,279","4,315,636"
,"売上総利益","10,603,398","8,761,043","3,461,997","7,326,140","7,100,845","7,924,270","8,616,499","8,614,581","10,898,572","13,186,521","13,482,215","9,453,405"
"6111","給与手当","2,395,000","2,044,041","1,842,348","1,614,675","1,731,744","2,672,841","2,518,190","2,770,161","2,867,806","2,361,500","2,366,500","2,311,500"
"6311","雑給","2,519,641","1,917,128","1,367,364","1,329,822","1,409,799","1,777,782","1,892,202","2,072,564","2,204,834","2,408,549","2,542,153","2,005,897"
"6112","旅費交通費","99,802","99,838","66,669","47,757","54,721","100,462","105,510","152,180","177,967","114,146","137,891","134,010"
"6113","広告宣伝費","922,109","967,320","796,419","469,483","703,348","742,256","890,865","1,038,819","887,844","1,127,518","1,296,798","778,838"
"6114","販売促進費","223,720","345,385","31,289","66,179","173,667","45,672","24,638","187,058","59,118","361,748","305,729","107,482"
"6115","荷造発送費","26,696","0","0","6,660","0","0","0","1,480","1,480","5,180","18,620","3,660"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","487,780","450,700","195,971","114,342","294,124","358,739","338,655","371,665","489,224","482,842","543,830","381,610"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","147,000","147,000","0","0","0","0","0","0","0","0","467,500","0"
"6312","法定福利費","432,214","407,940","396,431","396,431","383,220","501,762","536,080","476,803","491,576","491,576","487,300","437,178"
"6226","厚生費","57,841","90,330","3,000","0","0","10,804","2,286","80,177","42,308","114,209","17,695","22,907"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","198,155","198,155","198,155","198,155","198,155","198,155","198,155","307,314","206,217","206,217","206,217","206,217"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","4,000,000","4,000,000","1,930,000","1,930,000","1,930,000","1,930,000","1,930,000","1,930,000","1,930,000","1,930,000","1,930,000","1,930,000"
"6216","修繕／車両関係費","342,778","99,000","91,000","0","38,500","50,000","74,500","34,900","141,745","160,700","86,000","373,315"
"6217","事務用消耗品費","0","0","0","0","0","0","0","0","0","7,807","0","2,136"
"6218","通信交通費","15,807","30,619","23,769","24,164","29,815","22,745","23,252","29,526","15,476","18,586","15,747","15,623"
"6219","水道光熱費","600,422","659,805","527,512","473,032","393,181","525,668","510,748","677,064","489,667","492,879","392,716","614,851"
"6221","租税公課","6,000","4,000","0","2,000","3,000","3,000","2,000","2,000","2,000","1,000","3,000","2,000"
"6222","寄付金","0","0","0","0","0","0","20,000","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000"
"6225","備品消耗品費","410,865","269,387","448,495","410,423","386,876","612,801","535,016","916,731","477,636","384,604","569,274","396,122"
