"ｺｰﾄﾞ","勘定科目名"," 2年  9月"," 2年 10月"," 2年 11月"," 2年 12月"," 3年  1月"," 3年  2月"," 3年  3月"," 3年  4月"," 3年  5月"," 3年  6月"," 3年  7月"," 3年  8月"
"4111","売上高","12,746,830","16,507,703","19,440,594","22,672,494","13,769,041","10,462,125","14,420,721","12,538,129","12,438,093","11,505,939","12,198,966","9,314,891"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","12,746,830","16,507,703","19,440,594","22,672,494","13,769,041","10,462,125","14,420,721","12,538,129","12,438,093","11,505,939","12,198,966","9,314,891"
"5111","期首棚卸高","9,548,273","8,428,015","6,215,480","7,874,200","8,938,970","7,423,851","5,961,626","5,939,625","6,030,081","6,264,240","6,511,257","6,455,078"
"5211","商品仕入高","3,011,991","3,396,596","7,912,793","10,255,049","2,800,517","1,928,426","5,171,491","4,753,474","4,657,061","4,319,443","4,331,600","2,002,813"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","8,428,015","6,215,480","7,874,200","8,938,970","7,423,851","5,961,626","5,939,625","6,030,081","6,264,240","6,511,257","6,455,078","5,140,425"
,"当期売上原価","4,132,249","5,609,131","6,254,073","9,190,279","4,315,636","3,390,651","5,193,492","4,663,018","4,422,902","4,072,426","4,387,779","3,317,466"
,"売上総利益","8,614,581","10,898,572","13,186,521","13,482,215","9,453,405","7,071,474","9,227,229","7,875,111","8,015,191","7,433,513","7,811,187","5,997,425"
"6111","給与手当","2,770,161","2,867,806","2,361,500","2,366,500","2,311,500","2,351,500","2,286,500","2,311,500","2,316,500","2,306,500","2,296,546","2,006,243"
"6311","雑給","2,072,564","2,204,834","2,408,549","2,542,153","2,005,897","1,693,490","2,083,648","1,955,880","1,681,723","1,482,243","1,697,904","1,759,924"
"6112","旅費交通費","152,180","177,967","114,146","137,891","134,010","112,616","141,524","109,239","115,138","112,944","114,448","90,412"
"6113","広告宣伝費","1,038,819","887,844","1,127,518","1,296,798","778,838","755,505","864,476","1,245,403","711,695","722,437","778,208","529,570"
"6114","販売促進費","187,058","59,118","361,748","305,729","107,482","190,760","245,124","636,565","249,024","191,613","185,673","193,117"
"6115","荷造発送費","1,480","1,480","5,180","18,620","3,660","2,920","0","0","0","6,000","1,500","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","371,665","489,224","482,842","543,830","381,610","265,713","374,378","369,450","326,542","362,327","428,296","276,981"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","467,500","0","0","0","0","0","165,000","0","0"
