"ｺｰﾄﾞ","勘定科目名"," 3年  4月"," 3年  5月"," 3年  6月"," 3年  7月"," 3年  8月"," 3年  9月"," 3年 10月"," 3年 11月"," 3年 12月"," 4年  1月"," 4年  2月"," 4年  3月"
"4111","売上高","12,538,129","12,438,093","11,505,939","12,198,966","9,314,891","8,040,592","13,506,620","16,584,986","25,922,644","17,079,480","9,030,949","14,345,302"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","12,538,129","12,438,093","11,505,939","12,198,966","9,314,891","8,040,592","13,506,620","16,584,986","25,922,644","17,079,480","9,030,949","14,345,302"
"5111","期首棚卸高","5,939,625","6,030,081","6,264,240","6,511,257","6,455,078","5,140,425","5,239,497","6,608,653","4,771,707","7,761,369","8,575,405","7,707,507"
"5211","商品仕入高","4,753,474","4,657,061","4,319,443","4,331,600","2,002,813","2,882,671","6,157,728","3,674,440","13,760,252","6,914,101","2,442,378","3,949,464"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","6,030,081","6,264,240","6,511,257","6,455,078","5,140,425","5,239,497","6,608,653","4,771,707","7,761,369","8,575,405","7,707,507","6,820,620"
,"当期売上原価","4,663,018","4,422,902","4,072,426","4,387,779","3,317,466","2,783,599","4,788,572","5,511,386","10,770,590","6,100,065","3,310,276","4,836,351"
