"ｺｰﾄﾞ","勘定科目名"," 2年  2月"," 2年  3月"," 2年  4月"," 2年  5月"," 2年  6月"," 2年  7月"," 2年  8月"," 2年  9月"," 2年 10月"," 2年 11月"," 2年 12月"," 3年  1月"
"4111","売上高","9,588,551","9,835,319","2,263,983","1,978,393","3,814,497","4,729,542","5,333,811","5,494,264","8,373,371","7,335,448","8,178,837","5,414,463"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","9,588,551","9,835,319","2,263,983","1,978,393","3,814,497","4,729,542","5,333,811","5,494,264","8,373,371","7,335,448","8,178,837","5,414,463"
"5111","期首たな卸高","1,145,141","995,545","1,163,333","850,866","761,386","794,272","736,072","799,106","642,604","858,773","642,019","1,214,351"
"5211","商品仕入高","3,448,202","3,565,736","635,576","761,657","1,595,151","1,825,842","2,175,346","1,845,332","3,219,760","2,307,040","3,358,188","1,460,575"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","995,545","1,163,333","850,866","761,386","794,272","736,072","799,106","642,604","858,773","642,019","1,214,351","650,604"
,"当期売上原価","3,597,798","3,397,948","948,043","851,137","1,562,265","1,884,042","2,112,312","2,001,834","3,003,591","2,523,794","2,785,856","2,024,322"
,"売上総利益","5,990,753","6,437,371","1,315,940","1,127,256","2,252,232","2,845,500","3,221,499","3,492,430","5,369,780","4,811,654","5,392,981","3,390,141"
"6111","給与手当","957,500","949,500","825,917","821,443","790,945","606,000","796,000","781,000","816,000","801,500","801,500","798,500"
"6311","雑給","1,715,239","1,736,515","976,630","715,083","868,428","852,910","781,829","779,448","1,071,134","1,249,408","1,265,951","962,223"
"6112","旅費交通費","49,768","62,975","24,278","9,965","26,000","74,192","39,940","34,180","24,884","51,951","45,856","45,802"
"6113","広告宣伝費","741,584","793,580","176,079","255,863","192,112","192,053","412,773","309,309","566,003","434,811","433,859","239,975"
"6114","販売促進費","56,095","48,354","16,261","16,015","16,302","26,948","20,738","72,416","20,293","47,363","51,862","42,409"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","160,321","200,680","139,640","168,637","166,826","155,274","147,470","197,414","164,221","178,134","194,036","172,878"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","59,000","59,000","0","0","0","0","0","0","0","0","125,000","0"
"6312","法定福利費","83,393","84,102","125,850","125,850","117,101","112,739","116,039","113,990","118,339","118,339","129,594","112,819"
"6226","厚生費","-13,545","5,000","0","6,960","0","5,000","591","18,600","7,091","6,727","5,000","0"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","92,488","92,488","92,488","92,488","92,488","92,488","92,488","331,016","79,288","79,288","79,288","79,288"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","796,364","796,364","796,364","586,364","586,364","796,364","814,364","778,364","796,364","796,364","796,364","796,364"
"6216","修繕／車両関係費","47,455","0","18,000","0","240,000","28,333","0","20,000","44,000","0","108,000","60,000"
"6217","事務用消耗品費","500","1,182","0","0","0","0","0","0","0","0","2,677","0"
"6218","通信交通費","4,003","25,385","14,538","3,503","24,976","14,278","14,875","14,306","3,503","25,198","3,503","14,318"
"6219","水道光熱費","409,053","523,724","378,257","401,421","217,424","302,023","386,329","899,097","484,722","498,461","315,704","381,283"
"6221","租税公課","2,000","2,000","0","0","0","0","0","0","1,000","1,000","0","0"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000"
"6225","備品消耗品費","444,869","376,891","168,797","153,490","213,605","256,534","326,556","165,183","430,845","342,177","370,244","318,135"
"6227","管理諸費","99,397","156,862","79,346","42,501","40,046","90,100","86,346","56,961","41,446","46,306","68,699","75,406"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","3,000","0","0","0","0","0","0","3,000","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","6,000","0","0","2,000"
,"販売費及び一般管理費計","5,735,484","5,944,602","3,865,445","3,429,583","3,622,617","3,635,236","4,066,338","4,601,284","4,705,133","4,710,027","4,827,137","4,131,400"
,"営業利益（損失）","255,269","492,769","-2,549,505","-2,302,327","-1,370,385","-789,736","-844,839","-1,108,854","664,647","101,627","565,844","-741,259"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外収益計","0","0","0","0","0","0","0","0","0","0","0","0"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","-570","0","-570","0","0","0","20,000","0","0","144","56","-14"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","200,000","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","-570","0","-570","0","0","0","20,000","200,000","0","144","56","-14"
,"経常利益（損失）","255,839","492,769","-2,548,935","-2,302,327","-1,370,385","-789,736","-864,839","-1,308,854","664,647","101,483","565,788","-741,245"
