"ｺｰﾄﾞ","勘定科目名"," 2年  6月"," 2年  7月"," 2年  8月"," 2年  9月"," 2年 10月"," 2年 11月"," 2年 12月"," 3年  1月"," 3年  2月"," 3年  3月"," 3年  4月"," 3年  5月"
"4111","売上高","3,814,497","4,729,542","5,333,811","5,494,264","8,373,371","7,335,448","8,178,837","5,414,463","4,603,315","7,327,277","4,869,926","4,802,422"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","3,814,497","4,729,542","5,333,811","5,494,264","8,373,371","7,335,448","8,178,837","5,414,463","4,603,315","7,327,277","4,869,926","4,802,422"
"5111","期首たな卸高","761,386","794,272","736,072","799,106","642,604","858,773","642,019","1,214,351","650,604","453,222","485,552","507,806"
"5211","商品仕入高","1,595,151","1,825,842","2,175,346","1,845,332","3,219,760","2,307,040","3,358,188","1,460,575","1,465,224","2,553,440","1,804,038","1,841,883"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","794,272","736,072","799,106","642,604","858,773","642,019","1,214,351","650,604","453,222","485,552","507,806","591,155"
,"当期売上原価","1,562,265","1,884,042","2,112,312","2,001,834","3,003,591","2,523,794","2,785,856","2,024,322","1,662,606","2,521,110","1,781,784","1,758,534"
,"売上総利益","2,252,232","2,845,500","3,221,499","3,492,430","5,369,780","4,811,654","5,392,981","3,390,141","2,940,709","4,806,167","3,088,142","3,043,888"
"6111","給与手当","790,945","606,000","796,000","781,000","816,000","801,500","801,500","798,500","773,500","763,500","765,500","783,500"
"6311","雑給","868,428","852,910","781,829","779,448","1,071,134","1,249,408","1,265,951","962,223","919,345","957,702","774,790","791,959"
"6112","旅費交通費","26,000","74,192","39,940","34,180","24,884","51,951","45,856","45,802","35,590","53,126","40,238","49,417"
"6113","広告宣伝費","192,112","192,053","412,773","309,309","566,003","434,811","433,859","239,975","332,451","628,043","438,545","381,913"
"6114","販売促進費","16,302","26,948","20,738","72,416","20,293","47,363","51,862","42,409","61,072","50,869","46,752","52,154"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","166,826","155,274","147,470","197,414","164,221","178,134","194,036","172,878","146,179","172,515","150,090","186,837"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","0","0","0","125,000","0","0","0","0","0"
"6312","法定福利費","117,101","112,739","116,039","113,990","118,339","118,339","129,594","112,819","107,900","113,472","110,669","110,669"
"6226","厚生費","0","5,000","591","18,600","7,091","6,727","5,000","0","0","5,000","5,000","0"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","92,488","92,488","92,488","331,016","79,288","79,288","79,288","79,288","79,288","79,288","79,288","79,288"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","586,364","796,364","814,364","778,364","796,364","796,364","796,364","796,364","796,364","656,364","656,364","656,364"
"6216","修繕／車両関係費","240,000","28,333","0","20,000","44,000","0","108,000","60,000","73,000","0","49,250","0"
"6217","事務用消耗品費","0","0","0","0","0","0","2,677","0","2,582","0","1,700","0"
"6218","通信交通費","24,976","14,278","14,875","14,306","3,503","25,198","3,503","14,318","14,535","25,064","14,351","14,311"
"6219","水道光熱費","217,424","302,023","386,329","899,097","484,722","498,461","315,704","381,283","325,602","408,876","274,368","366,852"
"6221","租税公課","0","0","0","0","1,000","1,000","0","0","0","0","0","0"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000"
"6225","備品消耗品費","213,605","256,534","326,556","165,183","430,845","342,177","370,244","318,135","223,920","339,688","297,576","347,012"
"6227","管理諸費","40,046","90,100","86,346","56,961","41,446","46,306","68,699","75,406","39,346","46,505","67,046","234,806"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","0","3,000","0","0","0","0","13,000","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","6,000","0","0","2,000","0","10,000","0","0"
,"販売費及び一般管理費計","3,622,617","3,635,236","4,066,338","4,601,284","4,705,133","4,710,027","4,827,137","4,131,400","3,960,674","4,340,012","3,814,527","4,085,082"
,"営業利益（損失）","-1,370,385","-789,736","-844,839","-1,108,854","664,647","101,627","565,844","-741,259","-1,019,965","466,155","-726,385","-1,041,194"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外収益計","0","0","0","0","0","0","0","0","0","0","0","0"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","20,000","0","0","144","56","-14","0","0","0","0"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","200,000","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","20,000","200,000","0","144","56","-14","0","0","0","0"
,"経常利益（損失）","-1,370,385","-789,736","-864,839","-1,308,854","664,647","101,483","565,788","-741,245","-1,019,965","466,155","-726,385","-1,041,194"
