"ｺｰﾄﾞ","勘定科目名"," 3年  7月"," 3年  8月"," 3年  9月"," 3年 10月"," 3年 11月"," 3年 12月"," 4年  1月"," 4年  2月"," 4年  3月"," 4年  4月"," 4年  5月"," 4年  6月"
"4111","売上高","4,987,056","3,059,490","2,356,760","5,755,408","6,840,958","9,196,886","6,119,265","3,819,370","6,670,213","6,536,034","7,114,596","7,064,139"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","4,987,056","3,059,490","2,356,760","5,755,408","6,840,958","9,196,886","6,119,265","3,819,370","6,670,213","6,536,034","7,114,596","7,064,139"
"5111","期首棚卸高","689,324","723,915","637,436","727,721","795,975","780,859","1,066,270","607,785","496,925","827,838","944,014","812,703"
"5211","商品仕入高","1,872,252","1,152,601","1,043,818","2,248,014","2,389,739","3,609,958","1,559,355","1,341,695","2,618,777","2,434,582","2,399,897","2,473,168"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","723,915","637,436","727,721","795,975","780,859","1,066,270","607,785","496,925","827,838","944,014","812,703","728,175"
,"当期売上原価","1,837,661","1,239,080","953,533","2,179,760","2,404,855","3,324,547","2,017,840","1,452,555","2,287,864","2,318,406","2,531,208","2,557,696"
,"売上総利益","3,149,395","1,820,410","1,403,227","3,575,648","4,436,103","5,872,339","4,101,425","2,366,815","4,382,349","4,217,628","4,583,388","4,506,443"
"6111","給与手当","772,500","762,848","783,500","689,716","573,481","727,998","550,000","550,000","550,000","550,000","555,000","769,000"
"6311","雑給","769,872","702,555","536,666","849,332","992,758","1,319,548","936,450","926,988","1,236,829","1,171,734","1,292,555","1,097,530"
"6112","旅費交通費","56,551","26,764","37,383","29,016","31,826","26,066","35,087","19,745","20,371","49,676","46,022","48,898"
"6113","広告宣伝費","301,122","188,318","185,339","369,791","268,456","414,370","252,075","249,939","432,755","517,132","485,224","583,801"
"6114","販売促進費","48,391","57,331","58,397","52,183","64,503","51,367","25,062","32,010","25,700","36,250","32,117","24,483"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","181,408","139,915","128,001","176,604","209,581","225,138","207,896","156,393","195,252","205,446","464,775","267,425"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","0","0","60,000","0","0","0","0","314,000","0"
"6312","法定福利費","110,669","110,669","107,839","110,669","110,669","117,824","96,939","96,939","94,936","94,734","131,430","161,822"
"6226","厚生費","5,000","0","0","5,000","10,610","-445","99,115","5,000","636","97,400","27,333","72,818"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","79,288","79,288","67,499","84,233","84,233","84,233","84,233","84,233","84,233","84,233","84,233","84,233"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","656,364","796,364","796,364","796,364","796,364","796,364","796,364","796,364","796,364","796,364","796,364","796,364"
"6216","修繕／車両関係費","51,537","18,000","0","38,000","2,000","18,000","69,000","18,000","0","18,000","49,800","0"
"6217","事務用消耗品費","0","0","0","0","0","0","0","0","176","0","0","0"
"6218","通信交通費","3,503","25,399","14,333","3,503","25,362","3,994","25,225","13,937","13,791","3,003","25,197","13,878"
"6219","水道光熱費","420,559","374,760","518,443","428,089","403,258","371,786","419,944","419,441","545,800","437,260","437,053","413,620"
"6221","租税公課","0","0","0","0","0","0","0","0","1,000","0","0","0"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","30,000","30,000","60,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000"
"6225","備品消耗品費","268,235","184,722","332,050","257,708","304,744","484,663","182,388","229,317","321,905","410,396","354,308","247,247"
"6227","管理諸費","49,780","67,046","74,586","75,246","52,837","80,819","67,806","81,246","60,946","94,806","75,409","100,440"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","0","0","0","0","13,000","10,000","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","4,000","0","0","0"
,"販売費及び一般管理費計","3,804,779","3,563,979","3,700,400","3,995,454","3,960,682","4,811,725","3,877,584","3,709,552","4,427,694","4,606,434","5,200,820","4,711,559"
,"営業利益（損失）","-655,384","-1,743,569","-2,297,173","-419,806","475,421","1,060,614","223,841","-1,342,737","-45,345","-388,806","-617,432","-205,116"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外収益計","0","0","0","0","0","0","0","0","0","0","0","0"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","0","0","0","0","0","0","0","0","0"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","200,000","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","200,000","0","0","0","0","0","0","0","0","0"
,"経常利益（損失）","-655,384","-1,743,569","-2,497,173","-419,806","475,421","1,060,614","223,841","-1,342,737","-45,345","-388,806","-617,432","-205,116"
