"ｺｰﾄﾞ","勘定科目名"," 3年 10月"," 3年 11月"," 3年 12月"," 4年  1月"," 4年  2月"," 4年  3月"," 4年  4月"," 4年  5月"," 4年  6月"," 4年  7月"," 4年  8月"," 4年  9月"
"4111","売上高","5,755,408","6,840,958","9,196,886","6,119,265","3,819,370","6,670,213","6,536,034","7,114,596","7,064,139","5,689,875","7,128,209","5,835,357"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","5,755,408","6,840,958","9,196,886","6,119,265","3,819,370","6,670,213","6,536,034","7,114,596","7,064,139","5,689,875","7,128,209","5,835,357"
"5111","期首棚卸高","727,721","795,975","780,859","1,066,270","607,785","496,925","827,838","944,014","812,703","728,175","780,757","732,607"
"5211","商品仕入高","2,248,014","2,389,739","3,609,958","1,559,355","1,341,695","2,618,777","2,434,582","2,399,897","2,473,168","2,180,803","2,671,140","2,303,701"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","795,975","780,859","1,066,270","607,785","496,925","827,838","944,014","812,703","728,175","780,757","732,607","843,060"
,"当期売上原価","2,179,760","2,404,855","3,324,547","2,017,840","1,452,555","2,287,864","2,318,406","2,531,208","2,557,696","2,128,221","2,719,290","2,193,248"
,"売上総利益","3,575,648","4,436,103","5,872,339","4,101,425","2,366,815","4,382,349","4,217,628","4,583,388","4,506,443","3,561,654","4,408,919","3,642,109"
"6111","給与手当","689,716","573,481","727,998","550,000","550,000","550,000","550,000","555,000","769,000","464,000","399,000","793,173"
"6311","雑給","849,332","992,758","1,319,548","936,450","926,988","1,236,829","1,171,734","1,292,555","1,097,530","1,145,657","1,239,983","1,009,340"
"6112","旅費交通費","29,016","31,826","26,066","35,087","19,745","20,371","49,676","46,022","48,898","50,898","49,021","60,666"
"6113","広告宣伝費","369,791","268,456","414,370","252,075","249,939","432,755","517,132","485,224","589,256","401,139","537,201","454,892"
"6114","販売促進費","52,183","64,503","51,367","25,062","32,010","25,700","36,250","32,117","24,483","23,915","31,810","23,246"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
