"ｺｰﾄﾞ","勘定科目名"," 4年  3月"," 4年  4月"," 4年  5月"," 4年  6月"," 4年  7月"," 4年  8月"," 4年  9月"," 4年 10月"," 4年 11月"," 4年 12月"," 5年  1月"," 5年  2月"
"4111","売上高","6,670,213","6,536,034","7,114,596","7,064,139","5,689,875","7,128,209","5,835,357","7,910,278","7,803,214","9,406,082","7,646,134","7,428,860"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","6,670,213","6,536,034","7,114,596","7,064,139","5,689,875","7,128,209","5,835,357","7,910,278","7,803,214","9,406,082","7,646,134","7,428,860"
"5111","期首棚卸高","496,925","827,838","944,014","812,703","728,175","780,757","732,607","843,060","809,564","659,382","1,302,171","834,735"
"5211","商品仕入高","2,618,777","2,434,582","2,399,897","2,473,168","2,180,803","2,671,140","2,303,701","2,839,173","2,791,523","4,203,319","2,369,961","2,659,019"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","827,838","944,014","812,703","728,175","780,757","732,607","843,060","809,564","659,382","1,302,171","834,735","750,517"
,"当期売上原価","2,287,864","2,318,406","2,531,208","2,557,696","2,128,221","2,719,290","2,193,248","2,872,669","2,941,705","3,560,530","2,837,397","2,743,237"
,"売上総利益","4,382,349","4,217,628","4,583,388","4,506,443","3,561,654","4,408,919","3,642,109","5,037,609","4,861,509","5,845,552","4,808,737","4,685,623"
"6111","給与手当","550,000","550,000","555,000","769,000","464,000","399,000","793,173","572,500","578,500","349,761","271,391","492,348"
"6311","雑給","1,236,829","1,171,734","1,292,555","1,097,530","1,145,657","1,239,983","1,009,340","1,164,003","1,199,760","1,352,846","1,330,027","1,061,073"
"6112","旅費交通費","20,371","49,676","46,022","48,898","50,898","49,021","60,666","47,295","36,555","37,204","39,622","19,932"
"6113","広告宣伝費","432,755","517,132","485,224","589,256","401,139","537,201","454,892","512,403","358,954","454,245","395,935","424,647"
"6114","販売促進費","25,700","36,250","32,117","24,483","23,915","31,810","23,246","22,034","31,022","21,327","23,661","21,896"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","195,252","205,446","464,775","267,425","202,047","258,105","300,637","264,985","257,611","284,197","246,473","272,279"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","314,000","78,000","78,000","78,000","78,000","52,000","52,000","-136,000","52,000","52,000"
"6312","法定福利費","94,936","94,734","131,430","161,822","125,077","129,004","146,115","65,780","99,552","113,577","71,502","93,100"
"6226","厚生費","636","97,400","27,333","102,134","46,466","5,666","4,878","5,000","4,878","71,184","10,384","10,384"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","84,233","84,233","84,233","84,233","84,233","84,233","-68,683","80,489","80,489","80,489","80,489","80,489"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","796,364","796,364","796,364","796,364","796,364","796,364","796,364","796,364","796,364","796,364","796,364","796,364"
"6216","修繕／車両関係費","0","18,000","49,800","0","0","27,775","92,000","43,000","5,750","18,000","0","18,000"
"6217","事務用消耗品費","176","0","0","0","176","0","0","0","0","0","0","0"
"6218","通信交通費","13,791","3,003","25,197","13,878","3,003","24,852","13,805","13,940","13,822","3,003","25,008","13,903"
"6219","水道光熱費","545,800","437,260","437,053","413,620","543,139","521,907","731,572","677,196","693,763","494,139","537,602","611,317"
"6221","租税公課","1,000","0","0","0","2,000","0","0","0","0","0","0","400"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000"
"6225","備品消耗品費","321,905","410,396","354,308","247,247","373,838","385,418","572,436","315,370","402,859","378,942","174,883","241,652"
"6227","管理諸費","60,946","94,806","75,409","100,440","61,234","78,634","69,494","91,196","69,483","75,534","67,294","75,534"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","13,000","10,000","0","0","10,000","0","0","0","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","4,000","0","0","0","0","0","0","0","0","0","4,145","0"
"6232","本社　指導料","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","4,427,694","4,606,434","5,200,820","4,824,330","4,441,186","4,676,973","5,107,935","4,753,555","4,711,362","4,424,812","4,156,780","4,315,318"
,"営業利益（損失）","-45,345","-388,806","-617,432","-317,887","-879,532","-268,054","-1,465,826","284,054","150,147","1,420,740","651,957","370,305"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外収益計","0","0","0","0","0","0","0","0","0","0","0","0"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","0","0","0","0","1,190","0","-6,482","0","0"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","200,000","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","0","0","0","0","200,000","1,190","0","-6,482","0","0"
,"経常利益（損失）","-45,345","-388,806","-617,432","-317,887","-879,532","-268,054","-1,665,826","282,864","150,147","1,427,222","651,957","370,305"
