"ｺｰﾄﾞ","勘定科目名"," 5年  8月"," 5年 10月"," 5年 10月"," 5年 11月"," 5年 12月"," 6年  1月"," 6年  2月"," 6年  3月"," 6年  4月"," 6年  5月"," 6年  6月"," 6年  7月"
"4111","売上高","0","0","7,825,164","8,291,796","13,085,873","10,367,857","7,590,465","10,162,297","8,430,504","8,828,757","8,272,782","7,884,216"
"4112",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4113",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4114",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","30,304"
,"純売上高","0","0","7,825,164","8,291,796","13,085,873","10,367,857","7,590,465","10,162,297","8,430,504","8,828,757","8,272,782","7,853,912"
"5111","期首棚卸高","0","0","1,252,156","1,297,371","1,235,301","1,496,859","902,112","895,747","983,121","1,018,895","934,868","853,417"
"5311","期末棚卸高        (△)","0","0","1,297,371","1,235,301","1,496,859","902,112","895,747","983,121","1,018,895","934,868","853,417","1,089,511"
"5211","商品仕入高","0","0","2,865,370","3,320,856","5,186,803","3,590,464","2,967,622","3,730,478","3,287,666","3,430,433","2,916,483","3,239,845"
"5212",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","0","0","2,820,155","3,382,926","4,925,245","4,185,211","2,973,987","3,643,104","3,251,892","3,514,460","2,997,934","3,003,751"
,"売上総利益","0","0","5,005,009","4,908,870","8,160,628","6,182,646","4,616,478","6,519,193","5,178,612","5,314,297","5,274,848","4,850,161"
"6111","給与手当","0","0","467,165","510,500","605,695","572,147","364,100","390,030","401,565","341,100","554,500","614,500"
"6311","雑給","0","0","1,546,722","1,498,804","2,077,969","1,771,097","1,676,153","1,759,267","1,856,470","1,892,141","1,546,073","1,640,257"
"6112","旅費交通費","0","0","45,626","49,388","54,099","42,780","23,789","38,080","28,326","62,375","43,154","54,127"
"6113","広告宣伝費","0","0","323,813","557,685","488,306","429,819","376,324","575,047","358,833","470,724","476,307","353,341"
"6114","販売促進費","0","0","17,178","23,142","37,646","19,085","19,390","20,210","28,607","26,686","35,823","46,435"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","0","0","0"
"6116","外注費","0","0","3,000","20,577","49,762","5,500","0","0","0","0","0","0"
"6117","支払手数料","0","0","274,330","288,646","338,353","272,006","309,406","304,146","336,117","374,672","332,284","357,679"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","52,000","52,000","36,300","52,000","52,000","52,000","52,000","52,000","3,907","52,000"
"6312","法定福利費","0","0","165,080","165,080","201,264","165,080","137,030","137,030","137,390","168,355","199,601","162,732"
"6226","厚生費","0","0","11,733","100,851","75,733","120,913","95,733","123,218","12,327","114,894","121,350","54,815"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","0","0","45,217","45,217","45,217","45,217","45,217","45,217","45,217","45,217","45,217","45,217"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","0","0","797,291","797,291","797,291","797,291","797,291","777,291","777,291","777,291","777,291","777,291"
"6216","修繕／車両関係費","0","0","20,500","0","73,000","1,017,170","28,000","209,000","215,550","22,000","51,000","316,200"
"6217","事務用消耗品費","0","0","0","0","0","364","14,725","0","0","0","2,606","380"
"6218","通信交通費","0","0","24,626","13,794","3,003","24,753","13,765","3,003","22,778","10,772","6,006","25,242"
"6219","水道光熱費","0","0","543,005","603,645","388,759","441,708","463,943","529,810","430,001","471,854","405,726","502,431"
"6221","租税公課","0","0","1,000","1,000","3,000","1,000","2,000","3,000","1,000","1,000","3,000","0"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
