"ｺｰﾄﾞ","勘定科目名"," 3年  7月"," 3年  8月"," 3年  9月"," 3年 10月"," 3年 11月"," 3年 12月"," 4年  1月"," 4年  2月"," 4年  3月"," 4年  4月"," 4年  5月"," 4年  6月"
"4111","売上高","7,226,393","4,415,223","2,630,837","7,708,511","8,259,874","10,226,265","7,465,638","4,590,440","7,867,068","6,251,362","7,211,975","6,126,051"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","7,226,393","4,415,223","2,630,837","7,708,511","8,259,874","10,226,265","7,465,638","4,590,440","7,867,068","6,251,362","7,211,975","6,126,051"
"5111","期首棚卸高","686,898","723,629","564,628","701,848","632,996","926,555","1,945,709","968,737","854,534","911,354","1,182,321","803,319"
"5211","商品仕入高","2,913,153","1,689,445","1,347,357","3,006,629","3,400,030","4,783,539","1,771,537","1,795,971","2,999,762","2,821,911","2,499,928","2,618,652"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","723,629","564,628","701,848","632,996","926,555","1,945,709","968,737","854,534","911,354","1,182,321","803,319","810,116"
,"当期売上原価","2,876,422","1,848,446","1,210,137","3,075,481","3,106,471","3,764,385","2,748,509","1,910,174","2,942,942","2,550,944","2,878,930","2,611,855"
,"売上総利益","4,349,971","2,566,777","1,420,700","4,633,030","5,153,403","6,461,880","4,717,129","2,680,266","4,924,126","3,700,418","4,333,045","3,514,196"
"6111","給与手当","1,022,000","1,223,000","831,000","1,121,000","1,114,566","1,127,000","836,000","836,000","836,000","609,000","725,917","639,000"
"6311","雑給","1,375,245","1,517,984","1,082,604","1,324,081","1,240,793","1,399,463","1,487,568","1,218,633","1,661,321","1,574,236","1,531,957","1,324,174"
"6112","旅費交通費","63,398","34,735","38,657","50,567","62,354","50,679","61,764","40,051","49,455","55,981","45,755","53,402"
"6113","広告宣伝費","601,159","307,683","288,355","502,269","342,325","443,112","464,098","285,170","403,695","512,263","477,095","396,618"
"6114","販売促進費","49,427","73,335","53,398","63,497","70,979","71,624","33,836","36,950","30,497","43,150","39,411","29,683"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","218,627","166,132","138,026","218,887","211,532","205,848","242,934","187,924","179,784","290,562","395,120","240,600"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","0","0","10,000","0","0","0","0","97,000","0"
"6312","法定福利費","219,942","219,942","151,267","168,132","168,132","168,132","175,390","175,390","172,398","172,205","184,739","151,010"
"6226","厚生費","5,000","0","0","5,000","6,000","29,500","101,278","61,800","20,750","7,800","18,583","41,980"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","205,482","205,482","41,226","185,057","185,057","185,057","185,057","185,057","185,057","185,057","185,057","185,057"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
