"ｺｰﾄﾞ","勘定科目名"," 3年 11月"," 3年 12月"," 4年  1月"," 4年  2月"," 4年  3月"," 4年  4月"," 4年  5月"," 4年  6月"," 4年  7月"," 4年  8月"," 4年  9月"," 4年 10月"
"4111","売上高","8,259,874","10,226,265","7,465,638","4,590,440","7,867,068","6,251,362","7,211,975","6,126,051","6,686,087","6,724,756","6,728,946","8,641,502"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","8,259,874","10,226,265","7,465,638","4,590,440","7,867,068","6,251,362","7,211,975","6,126,051","6,686,087","6,724,756","6,728,946","8,641,502"
"5111","期首棚卸高","632,996","926,555","1,945,709","968,737","854,534","911,354","1,182,321","803,319","810,116","828,626","650,607","1,113,660"
"5211","商品仕入高","3,400,030","4,783,539","1,771,537","1,795,971","2,999,762","2,821,911","2,499,928","2,618,652","2,706,929","2,515,683","3,113,683","3,278,930"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","926,555","1,945,709","968,737","854,534","911,354","1,182,321","803,319","810,116","828,626","650,607","1,113,660","912,640"
,"当期売上原価","3,106,471","3,764,385","2,748,509","1,910,174","2,942,942","2,550,944","2,878,930","2,611,855","2,688,419","2,693,702","2,650,630","3,479,950"
,"売上総利益","5,153,403","6,461,880","4,717,129","2,680,266","4,924,126","3,700,418","4,333,045","3,514,196","3,997,668","4,031,054","4,078,316","5,161,552"
"6111","給与手当","1,114,566","1,127,000","836,000","836,000","836,000","609,000","725,917","639,000","559,000","609,000","728,566","639,038"
"6311","雑給","1,240,793","1,399,463","1,487,568","1,218,633","1,661,321","1,574,236","1,531,957","1,324,174","1,396,972","1,388,868","1,298,716","1,468,862"
"6112","旅費交通費","62,354","50,679","61,764","40,051","49,455","55,981","45,755","53,402","34,208","33,669","49,715","45,955"
"6113","広告宣伝費","342,325","443,112","464,098","285,170","403,695","512,263","477,095","402,074","526,925","481,673","663,332","631,820"
"6114","販売促進費","70,979","71,624","33,836","36,950","30,497","43,150","39,411","29,683","33,427","42,657","32,614","31,382"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","211,532","205,848","242,934","187,924","179,784","290,562","395,120","240,600","219,698","272,683","278,498","277,091"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","10,000","0","0","0","0","97,000","82,000","82,000","82,000","82,000","54,666"
"6312","法定福利費","168,132","168,132","175,390","175,390","172,398","172,205","184,739","151,010","144,700","144,700","185,821","185,821"
"6226","厚生費","6,000","29,500","101,278","61,800","20,750","7,800","18,583","57,336","10,166","12,416","10,818","33,000"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","185,057","185,057","185,057","185,057","185,057","185,057","185,057","185,057","185,057","185,057","85,103","184,054"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","531,899","531,899","531,898","531,899","531,899","531,898","501,899","501,899","501,899","501,898","501,899","501,899"
"6216","修繕／車両関係費","0","0","20,000","0","0","0","0","0","4,500","80,500","57,500","0"
"6217","事務用消耗品費","0","200","768","1,868","0","100","0","1,868","400","0","0","0"
"6218","通信交通費","14,285","14,305","14,214","14,328","14,439","14,217","14,245","14,219","14,325","14,200","14,204","14,339"
"6219","水道光熱費","322,790","272,095","380,680","269,844","297,627","296,988","353,204","406,603","398,323","547,507","554,905","423,848"
"6221","租税公課","1,000","0","1,000","0","2,000","4,000","0","2,000","0","0","0","2,000"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","32,912","32,912","32,912","32,912","32,912","32,912","32,912","32,912","32,912","32,912","32,912","32,912"
"6225","備品消耗品費","267,842","468,560","235,845","248,154","313,644","252,479","441,553","353,136","444,014","346,534","305,583","272,609"
"6227","管理諸費","112,140","88,610","87,870","88,610","56,310","75,170","102,302","88,930","98,690","101,180","94,160","90,180"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","0","0","4,500","0","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
"6232","本社　指導料","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","4,684,606","5,098,996","4,893,112","4,214,590","4,787,788","4,658,018","5,151,249","4,565,903","4,687,216","4,877,454","4,976,346","4,889,476"
,"営業利益（損失）","468,797","1,362,884","-175,983","-1,534,324","136,338","-957,600","-818,204","-1,051,707","-689,548","-846,400","-898,030","272,076"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外収益計","0","0","0","0","0","0","0","0","0","0","0","0"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","-774","-8,278","8,278","0","0","0","-500","0","0"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","200,000","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","0","-774","-8,278","8,278","0","0","0","-500","200,000","0"
,"経常利益（損失）","468,797","1,362,884","-175,983","-1,533,550","144,616","-965,878","-818,204","-1,051,707","-689,548","-845,900","-1,098,030","272,076"
