"ｺｰﾄﾞ","勘定科目名"," 4年  3月"," 4年  4月"," 4年  5月"," 4年  6月"," 4年  7月"," 4年  8月"," 4年  9月"," 4年 10月"," 4年 11月"," 4年 12月"," 5年  1月"," 5年  2月"
"4111","売上高","7,867,068","6,251,362","7,211,975","6,126,051","6,686,087","6,724,756","6,728,946","8,641,502","7,325,744","9,708,089","7,632,843","7,411,618"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","7,867,068","6,251,362","7,211,975","6,126,051","6,686,087","6,724,756","6,728,946","8,641,502","7,325,744","9,708,089","7,632,843","7,411,618"
"5111","期首棚卸高","854,534","911,354","1,182,321","803,319","810,116","828,626","650,607","1,113,660","912,640","811,447","1,733,772","1,122,850"
"5211","商品仕入高","2,999,762","2,821,911","2,499,928","2,618,652","2,706,929","2,515,683","3,113,683","3,278,930","2,723,838","4,760,251","2,540,370","2,984,362"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","911,354","1,182,321","803,319","810,116","828,626","650,607","1,113,660","912,640","811,447","1,733,772","1,122,850","848,553"
,"当期売上原価","2,942,942","2,550,944","2,878,930","2,611,855","2,688,419","2,693,702","2,650,630","3,479,950","2,825,031","3,837,926","3,151,292","3,258,659"
,"売上総利益","4,924,126","3,700,418","4,333,045","3,514,196","3,997,668","4,031,054","4,078,316","5,161,552","4,500,713","5,870,163","4,481,551","4,152,959"
"6111","給与手当","836,000","609,000","725,917","639,000","559,000","609,000","728,566","639,038","636,283","698,717","657,151","533,500"
"6311","雑給","1,661,321","1,574,236","1,531,957","1,324,174","1,396,972","1,388,868","1,298,716","1,468,862","1,023,204","1,511,131","1,376,777","1,343,769"
"6112","旅費交通費","49,455","55,981","45,755","53,402","34,208","33,669","49,715","45,955","50,855","44,192","55,225","40,183"
"6113","広告宣伝費","403,695","512,263","477,095","402,074","526,925","481,673","663,332","631,820","550,963","436,895","449,186","423,553"
"6114","販売促進費","30,497","43,150","39,411","29,683","33,427","42,657","32,614","31,382","39,982","36,379","34,543","31,620"
"6115","荷造発送費","0","0","0","0","0","0","0","0","2,640","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","179,784","290,562","395,120","240,600","219,698","272,683","278,498","277,091","281,642","267,652","279,379","272,927"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","97,000","82,000","82,000","82,000","82,000","54,666","54,666","-219,334","54,666","54,666"
"6312","法定福利費","172,398","172,205","184,739","151,010","144,700","144,700","185,821","185,821","144,307","148,514","169,543","169,543"
"6226","厚生費","20,750","7,800","18,583","57,336","10,166","12,416","10,818","33,000","4,878","71,184","23,884","10,384"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","185,057","185,057","185,057","185,057","185,057","185,057","85,103","184,054","184,054","184,054","184,054","184,054"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","531,899","531,898","501,899","501,899","501,899","501,898","501,899","501,899","501,899","501,899","501,898","501,898"
