"ｺｰﾄﾞ","勘定科目名"," 5年  8月"," 5年 10月"," 5年 10月"," 5年 11月"," 5年 12月"," 6年  1月"," 6年  2月"," 6年  3月"," 6年  4月"," 6年  5月"," 6年  6月"," 6年  7月"
"4111","売上高","0","0","6,880,910","7,394,828","11,921,055","9,142,034","6,730,508","9,930,761","6,096,975","6,574,164","7,362,068","6,932,017"
"4112",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4113",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4114",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","735"
,"純売上高","0","0","6,880,910","7,394,828","11,921,055","9,142,034","6,730,508","9,930,761","6,096,975","6,574,164","7,362,068","6,931,282"
"5111","期首棚卸高","0","0","850,252","1,290,545","1,317,125","2,075,259","1,270,066","1,368,666","1,114,680","1,496,117","1,600,737","1,145,607"
"5311","期末棚卸高        (△)","0","0","1,290,545","1,317,125","2,075,259","1,270,066","1,368,666","1,114,680","1,496,117","1,600,737","1,145,607","1,116,253"
"5211","商品仕入高","0","0","3,420,948","3,309,370","5,867,492","3,305,045","3,373,698","3,994,440","3,194,702","3,134,243","2,718,727","3,223,371"
"5212",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","0","0","2,980,655","3,282,790","5,109,358","4,110,238","3,275,098","4,248,426","2,813,265","3,029,623","3,173,857","3,252,725"
,"売上総利益","0","0","3,900,255","4,112,038","6,811,697","5,031,796","3,455,410","5,682,335","3,283,710","3,544,541","4,188,211","3,678,557"
"6111","給与手当","0","0","330,500","306,500","298,515","299,665","297,365","281,840","294,065","445,500","376,500","352,500"
"6311","雑給","0","0","1,621,954","1,816,185","2,395,718","2,160,404","1,982,338","2,239,170","1,610,910","1,744,225","1,445,518","1,457,662"
"6112","旅費交通費","0","0","37,435","44,555","30,690","19,743","29,724","30,468","42,678","31,158","43,957","27,013"
"6113","広告宣伝費","0","0","270,381","553,011","493,035","620,439","309,151","424,669","584,310","413,249","579,627","457,090"
"6114","販売促進費","0","0","29,282","35,267","63,402","41,270","69,719","37,452","62,852","92,961","73,357","76,109"
"6115","荷造発送費","0","0","0","0","0","0","1,636","0","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","0","0","274,992","255,668","294,784","317,014","298,054","290,431","362,555","279,278","268,457","274,042"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","54,666","54,666","-230,330","54,666","54,666","54,666","54,666","54,666","-211,912","54,666"
"6312","法定福利費","0","0","146,975","146,975","147,721","143,934","143,934","117,287","117,108","143,850","146,825","138,836"
