"ｺｰﾄﾞ","勘定科目名","31年  3月","31年  4月"," 1年  5月"," 1年  6月"," 1年  7月"," 1年  8月"," 1年  9月"," 1年 10月"," 1年 11月"," 1年 12月"," 2年  1月"," 2年  2月"
"4111","売上高","15,538,216","11,060,683","11,555,302","10,398,793","9,986,343","12,397,545","11,035,860","9,811,910","11,414,185","15,200,551","13,368,150","11,086,297"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","15,538,216","11,060,683","11,555,302","10,398,793","9,986,343","12,397,545","11,035,860","9,811,910","11,414,185","15,200,551","13,368,150","11,086,297"
"5111","期首たな卸高","1,292,933","1,378,468","1,355,239","1,381,658","1,446,433","1,461,612","1,562,568","1,003,664","1,137,382","1,100,538","1,899,045","1,100,441"
"5211","商品仕入高","5,676,503","3,972,582","4,177,405","3,633,591","3,716,169","4,716,097","3,423,559","3,691,546","4,116,250","6,677,661","4,045,074","3,894,176"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","1,378,468","1,355,239","1,381,658","1,446,433","1,461,612","1,562,568","1,003,664","1,137,382","1,100,538","1,899,045","1,100,441","921,386"
,"当期売上原価","5,590,968","3,995,811","4,150,986","3,568,816","3,700,990","4,615,141","3,982,463","3,557,828","4,153,094","5,879,154","4,843,678","4,073,231"
,"売上総利益","9,947,248","7,064,872","7,404,316","6,829,977","6,285,353","7,782,404","7,053,397","6,254,082","7,261,091","9,321,397","8,524,472","7,013,066"
"6111","給与手当","963,596","920,092","1,302,489","1,110,257","1,129,799","1,146,299","1,132,590","1,144,500","1,186,000","1,226,000","958,000","1,009,572"
"6311","雑給","2,151,830","1,769,476","1,578,277","1,554,868","1,600,699","1,861,562","1,506,567","1,355,959","1,558,798","2,160,377","1,848,276","1,771,984"
"6112","旅費交通費","56,468","40,856","39,752","56,638","58,911","65,765","56,244","51,478","54,791","57,603","55,954","49,397"
"6113","広告宣伝費","986,635","723,420","809,500","1,043,208","520,460","854,492","697,477","612,222","785,315","814,163","784,997","785,340"
"6114","販売促進費","59,078","93,057","60,678","84,758","63,711","42,863","47,028","100,296","60,779","80,148","94,858","107,438"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","0","1,036","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","186,732","255,247","202,203","180,345","190,127","193,655","199,777","239,476","216,313","188,374","208,136","175,032"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","49,000","49,000","49,000","329,500","49,000","49,000","49,000","49,000","49,000","176,726","162,000","49,000"
"6312","法定福利費","241,780","241,780","183,536","264,774","183,536","183,536","205,135","204,635","222,306","281,293","183,592","178,961"
"6226","厚生費","134,671","67,757","89,096","65,275","100,072","71,576","95,945","17,889","32,086","34,939","107,800","-1,415"
