"ｺｰﾄﾞ","勘定科目名","30年  2月","30年  3月","30年  4月","30年  5月","30年  6月","30年  7月","30年  8月","30年  9月","30年 10月","30年 11月","30年 12月","31年  1月"
"4111","売上高","11,604,749","15,606,654","11,140,648","11,414,613","10,533,499","10,879,337","12,725,030","11,261,726","10,409,546","10,866,385","16,372,636","12,953,781"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","11,604,749","15,606,654","11,140,648","11,414,613","10,533,499","10,879,337","12,725,030","11,261,726","10,409,546","10,866,385","16,372,636","12,953,781"
"5111","期首たな卸高","1,456,150","1,364,797","1,519,257","1,639,121","1,395,578","1,337,590","1,436,682","1,341,592","1,478,101","1,214,693","1,338,257","2,255,055"
"5211","商品仕入高","4,273,218","5,652,460","3,962,035","3,964,805","3,731,068","3,966,693","4,424,499","4,356,906","3,560,808","4,255,254","6,887,891","3,789,419"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","1,364,797","1,519,257","1,639,121","1,395,578","1,337,590","1,436,682","1,341,592","1,478,101","1,214,693","1,338,257","2,255,055","1,346,665"
,"当期売上原価","4,364,571","5,498,000","3,842,171","4,208,348","3,789,056","3,867,601","4,519,589","4,220,397","3,824,216","4,131,690","5,971,093","4,697,809"
,"売上総利益","7,240,178","10,108,654","7,298,477","7,206,265","6,744,443","7,011,736","8,205,441","7,041,329","6,585,330","6,734,695","10,401,543","8,255,972"
"6111","給与手当","1,163,500","1,014,518","1,126,430","1,224,182","1,146,182","942,932","932,682","958,348","879,182","907,842","1,030,096","876,777"
"6311","雑給","1,853,281","2,622,223","1,810,296","1,856,675","1,825,660","1,896,373","2,032,460","1,819,749","1,838,056","1,752,871","2,419,245","2,079,174"
"6112","旅費交通費","62,840","87,049","68,548","74,105","53,852","68,803","60,712","64,926","53,801","54,329","86,625","57,160"
"6113","広告宣伝費","906,288","1,095,957","563,399","892,264","642,314","924,816","875,572","891,401","700,523","986,789","1,158,185","945,986"
"6114","販売促進費","63,636","70,003","60,985","24,955","175,134","53,801","25,087","47,904","76,903","44,850","86,582","32,226"
"6115","荷造発送費","2,200","2,800","2,100","700","1,580","700","2,700","3,900","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","216,611","255,541","288,056","234,164","216,419","237,317","230,605","241,700","211,632","178,765","175,273","203,012"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","60,000","60,000","60,000","60,000","-12,667","60,000","60,000","60,000","0","0","254,165","49,000"
"6312","法定福利費","221,514","185,023","213,093","256,040","310,178","239,198","227,970","237,188","237,188","237,188","336,419","237,188"
"6226","厚生費","108,110","206,961","134,834","143,759","29,379","62,073","46,815","162,920","65,899","61,378","80,659","109,445"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","316,190","316,190","316,190","316,190","316,190","316,190","316,190","380,286","274,068","274,068","274,068","274,068"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","532,858","532,860","532,858","480,000","532,859","532,858","532,858","532,861","532,858","532,859","532,858","532,859"
"6216","修繕／車両関係費","61,111","252,000","43,624","75,370","30,556","42,157","115,947","56,019","91,296","130,509","140,867","70,926"
"6217","事務用消耗品費","850","29,000","0","980","0","0","0","8,910","0","0","300","0"
