"ｺｰﾄﾞ","勘定科目名"," 1年  8月"," 1年  9月"," 1年 10月"," 1年 11月"," 1年 12月"," 2年  1月"," 2年  2月"," 2年  3月"," 2年  4月"," 2年  5月"," 2年  6月"," 2年  7月"
"4111","売上高","16,381,088","13,673,008","13,652,622","15,609,475","18,666,253","16,276,620","14,159,774","13,052,352","4,452,202","4,902,634","8,396,514","15,116,355"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","16,381,088","13,673,008","13,652,622","15,609,475","18,666,253","16,276,620","14,159,774","13,052,352","4,452,202","4,902,634","8,396,514","15,116,355"
"5111","期首たな卸高","1,075,991","1,389,519","1,039,448","1,083,254","1,043,760","1,901,582","1,129,592","1,055,837","1,079,441","739,711","805,254","1,034,820"
"5211","商品仕入高","5,878,279","4,658,251","4,607,640","5,762,268","7,705,684","4,997,810","4,976,543","4,732,076","1,480,983","2,102,777","3,420,831","3,726,975"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","1,389,519","1,039,448","1,083,254","1,043,760","1,901,582","1,129,592","1,055,837","1,079,441","739,711","805,254","1,034,820","924,472"
,"当期売上原価","5,564,751","5,008,322","4,563,834","5,801,762","6,847,862","5,769,800","5,050,298","4,708,472","1,820,713","2,037,234","3,191,265","3,837,323"
,"売上総利益","10,816,337","8,664,686","9,088,788","9,807,713","11,818,391","10,506,820","9,109,476","8,343,880","2,631,489","2,865,400","5,205,249","11,279,032"
"6111","給与手当","1,079,804","991,593","1,063,564","1,079,064","1,049,159","992,500","1,025,500","970,500","1,059,445","1,044,630","1,082,589","1,277,292"
"6311","雑給","1,757,631","1,670,421","1,551,815","1,622,829","2,019,763","1,932,994","1,993,748","1,954,439","1,384,704","1,372,987","1,429,365","1,743,739"
"6112","旅費交通費","95,356","80,103","73,111","74,489","78,097","75,584","71,957","71,610","54,042","34,007","54,527","81,925"
"6113","広告宣伝費","773,299","801,048","692,691","755,381","915,226","961,162","841,394","740,794","257,767","216,255","323,023","405,940"
"6114","販売促進費","68,579","63,632","71,772","58,974","87,393","116,492","87,173","96,118","33,579","21,025","24,807","30,597"
"6115","荷造発送費","0","0","0","955","0","0","0","0","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","253,003","310,401","234,427","286,482","250,462","224,398","277,282","270,082","204,638","166,906","200,317","201,126"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","52,000","52,000","52,000","52,000","183,236","52,000","52,000","52,000","0","0","0","0"
"6312","法定福利費","228,168","230,761","230,261","230,261","260,274","203,614","199,887","203,526","162,453","203,526","191,874","216,746"
"6226","厚生費","19,629","305,166","24,639","52,987","26,696","88,400","44,700","95,000","0","0","2,250","10,000"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","185,598","-14,313","176,388","176,388","176,388","176,388","176,388","176,388","176,388","176,388","176,388","176,388"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","944,444","958,333","940,909","940,909","940,909","940,909","940,909","940,909","591,137","940,909","940,909","940,909"
"6216","修繕／車両関係費","169,642","201,640","49,500","172,300","89,864","207,000","93,500","0","0","0","193,000","0"
"6217","事務用消耗品費","600","251","0","300","6,345","0","0","0","362","0","400","200"
"6218","通信交通費","3,003","23,788","13,109","3,003","13,447","24,059","3,003","24,196","13,142","3,003","22,940","13,088"
"6219","水道光熱費","892,222","712,038","952,716","481,432","793,393","416,311","547,316","318,687","448,097","231,225","327,124","324,088"
"6221","租税公課","2,400","4,000","2,000","5,200","6,000","4,000","4,000","2,000","0","0","0","0"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
