"ｺｰﾄﾞ","勘定科目名"," 1年 11月"," 1年 12月"," 2年  1月"," 2年  2月"," 2年  3月"," 2年  4月"," 2年  5月"," 2年  6月"," 2年  7月"," 2年  8月"," 2年  9月"," 2年 10月"
"4111","売上高","15,609,475","18,666,253","16,276,620","14,159,774","13,052,352","4,452,202","4,902,634","8,396,514","10,912,355","11,081,749","9,944,048","13,695,671"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","15,609,475","18,666,253","16,276,620","14,159,774","13,052,352","4,452,202","4,902,634","8,396,514","10,912,355","11,081,749","9,944,048","13,695,671"
"5111","期首たな卸高","1,083,254","1,043,760","1,901,582","1,129,592","1,055,837","1,079,441","739,711","805,254","1,034,820","924,472","814,362","833,198"
"5211","商品仕入高","5,762,268","7,705,684","4,997,810","4,976,543","4,732,076","1,480,983","2,102,777","3,420,831","3,726,975","4,021,331","3,664,215","5,140,053"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","1,043,760","1,901,582","1,129,592","1,055,837","1,079,441","739,711","805,254","1,034,820","924,472","814,362","833,198","1,002,576"
,"当期売上原価","5,801,762","6,847,862","5,769,800","5,050,298","4,708,472","1,820,713","2,037,234","3,191,265","3,837,323","4,131,441","3,645,379","4,970,675"
,"売上総利益","9,807,713","11,818,391","10,506,820","9,109,476","8,343,880","2,631,489","2,865,400","5,205,249","7,075,032","6,950,308","6,298,669","8,724,996"
"6111","給与手当","1,079,064","1,049,159","992,500","1,025,500","970,500","1,059,445","1,044,630","1,082,589","1,277,292","1,278,682","1,025,930","1,310,000"
"6311","雑給","1,622,829","2,019,763","1,932,994","1,993,748","1,954,439","1,384,704","1,372,987","1,429,365","1,743,739","1,686,489","1,710,756","1,840,178"
"6112","旅費交通費","74,489","78,097","75,584","71,957","71,610","54,042","34,007","54,527","81,925","83,356","86,782","100,834"
"6113","広告宣伝費","755,381","915,226","961,162","841,394","740,794","257,767","216,255","323,023","405,940","700,257","424,347","616,032"
"6114","販売促進費","58,974","87,393","116,492","87,173","96,118","33,579","21,025","24,807","30,597","34,912","27,607","29,033"
"6115","荷造発送費","955","0","0","0","0","0","0","0","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","286,482","250,462","224,398","277,282","270,082","204,638","166,906","200,317","201,126","216,308","253,559","215,914"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
