"ｺｰﾄﾞ","勘定科目名"," 2年 12月"," 3年  1月"," 3年  2月"," 3年  3月"," 3年  4月"," 3年  5月"," 3年  6月"," 3年  7月"," 3年  8月"," 3年  9月"," 3年 10月"," 3年 11月"
"4111","売上高","10,328,021","9,889,919","9,155,162","11,720,602","8,398,025","8,800,998","7,490,966","10,008,730","6,074,706","7,584,432","10,038,023","11,446,590"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","10,328,021","9,889,919","9,155,162","11,720,602","8,398,025","8,800,998","7,490,966","10,008,730","6,074,706","7,584,432","10,038,023","11,446,590"
"5111","期首棚卸高","947,246","1,207,434","660,361","651,176","790,291","1,127,235","857,508","670,550","940,195","802,579","818,509","688,088"
"5211","商品仕入高","3,984,235","3,105,853","3,401,621","4,441,686","3,626,657","3,263,652","2,795,444","4,274,822","2,531,881","1,747,023","3,799,385","4,486,879"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","1,207,434","660,361","651,176","790,291","1,127,235","857,508","670,550","940,195","802,579","818,509","688,088","1,014,062"
,"当期売上原価","3,724,047","3,652,926","3,410,806","4,302,571","3,289,713","3,533,379","2,982,402","4,005,177","2,669,497","1,731,093","3,929,806","4,160,905"
,"売上総利益","6,603,974","6,236,993","5,744,356","7,418,031","5,108,312","5,267,619","4,508,564","6,003,553","3,405,209","5,853,339","6,108,217","7,285,685"
"6111","給与手当","1,280,000","1,282,000","1,085,000","1,047,000","1,267,000","1,270,500","1,111,500","1,183,460","830,600","771,500","771,500","774,500"
"6311","雑給","1,547,425","1,871,625","1,705,702","1,646,471","1,298,485","1,367,013","1,376,836","1,656,956","1,512,622","1,329,406","1,415,385","1,510,175"
"6112","旅費交通費","80,673","80,775","76,212","70,565","80,398","68,506","100,416","69,631","64,149","30,499","74,310","63,365"
"6113","広告宣伝費","663,310","499,358","466,276","708,166","329,358","384,841","281,648","547,280","238,350","216,294","380,133","292,266"
"6114","販売促進費","68,168","66,083","87,260","58,617","55,849","73,853","62,389","50,713","67,432","57,206","75,052","84,182"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","0","1,600","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","234,164","207,698","188,639","234,991","213,030","201,863","283,123","261,823","202,516","204,806","215,060","328,760"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","275,000","0","0","0","0","0","70,000","0","0","0","0","0"
"6312","法定福利費","248,851","233,799","193,683","232,871","206,241","206,241","214,246","206,241","167,013","239,801","245,289","245,289"
"6226","厚生費","5,000","0","0","0","14,000","5,000","36,818","10,000","2,250","0","22,300","17,250"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","156,715","156,715","156,715","156,715","156,715","156,715","156,715","156,715","156,715","212,593","165,291","165,291"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","940,909","940,909","940,909","940,909","940,909","940,909","940,909","940,909","940,909","940,909","940,909","940,909"
"6216","修繕／車両関係費","0","11,000","114,400","20,909","31,250","0","51,000","16,000","13,000","0","40,000","0"
"6217","事務用消耗品費","0","0","100","0","0","0","0","100","0","0","0","0"
"6218","通信交通費","3,003","13,161","13,411","23,221","13,085","13,015","13,010","3,003","23,283","13,102","3,003","24,207"
"6219","水道光熱費","421,174","341,100","404,088","263,905","434,197","263,855","404,783","312,517","570,008","341,155","395,085","350,569"
"6221","租税公課","0","0","0","0","0","0","0","0","0","0","0","800"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","50,000","25,000","25,000"
"6225","備品消耗品費","476,035","504,964","401,771","606,005","317,040","503,277","396,191","326,203","326,015","217,254","341,293","448,923"
"6227","管理諸費","115,054","177,149","154,745","137,149","189,039","297,149","1,163,709","137,149","185,709","137,149","187,599","230,749"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","0","0","0","0","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","6,540,481","6,411,336","6,013,911","6,172,494","5,571,596","5,777,737","6,688,293","5,903,700","5,325,571","4,761,674","5,298,809","5,502,235"
,"営業利益（損失）","63,493","-174,343","-269,555","1,245,537","-463,284","-510,118","-2,179,729","99,853","-1,920,362","1,091,665","809,408","1,783,450"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","2,451","0","0","2,171","0","0","1,895","0","0","2,528","0"
,"営業外収益計","0","2,451","0","0","2,171","0","0","1,895","0","0","2,528","0"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","0","0","0","0","0","0","0","0","0"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","200,000","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","0","0","0","0","0","0","0","200,000","0","0"
,"経常利益（損失）","63,493","-171,892","-269,555","1,245,537","-461,113","-510,118","-2,179,729","101,748","-1,920,362","891,665","811,936","1,783,450"
