"ｺｰﾄﾞ","勘定科目名"," 3年  5月"," 3年  6月"," 3年  7月"," 3年  8月"," 3年  9月"," 3年 10月"," 3年 11月"," 3年 12月"," 4年  1月"," 4年  2月"," 4年  3月"," 4年  4月"
"4111","売上高","8,800,998","7,490,966","10,008,730","6,074,706","7,584,432","10,038,023","11,446,590","14,984,132","11,472,721","7,622,801","11,042,925","9,755,961"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","8,800,998","7,490,966","10,008,730","6,074,706","7,584,432","10,038,023","11,446,590","14,984,132","11,472,721","7,622,801","11,042,925","9,755,961"
"5111","期首棚卸高","1,127,235","857,508","670,550","940,195","802,579","818,509","688,088","1,014,062","1,315,100","863,836","811,420","935,001"
"5211","商品仕入高","3,263,652","2,795,444","4,274,822","2,531,881","1,747,023","3,799,385","4,486,879","5,631,303","3,654,512","3,016,674","4,244,570","4,064,283"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","857,508","670,550","940,195","802,579","818,509","688,088","1,014,062","1,315,100","863,836","811,420","935,001","1,262,196"
,"当期売上原価","3,533,379","2,982,402","4,005,177","2,669,497","1,731,093","3,929,806","4,160,905","5,330,265","4,105,776","3,069,090","4,120,989","3,737,088"
,"売上総利益","5,267,619","4,508,564","6,003,553","3,405,209","5,853,339","6,108,217","7,285,685","9,653,867","7,366,945","4,553,711","6,921,936","6,018,873"
"6111","給与手当","1,270,500","1,111,500","1,183,460","830,600","771,500","771,500","774,500","862,435","784,500","784,500","739,500","784,500"
"6311","雑給","1,367,013","1,376,836","1,656,956","1,512,622","1,329,406","1,415,385","1,510,175","1,782,039","1,835,313","1,677,894","1,877,116","1,763,171"
"6112","旅費交通費","68,506","100,416","69,631","64,149","30,499","74,310","63,365","77,005","60,237","38,967","60,805","51,292"
"6113","広告宣伝費","384,841","281,648","547,280","238,350","216,294","380,133","292,266","441,414","412,922","370,757","491,180","459,198"
"6114","販売促進費","73,853","62,389","50,713","67,432","57,206","75,052","84,182","68,508","37,934","44,755","38,544","49,634"
"6115","荷造発送費","0","0","0","0","0","1,600","0","845","0","0","845","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","7,616","0","19,041"
"6117","支払手数料","201,863","283,123","261,823","202,516","204,806","215,060","328,760","298,982","304,576","257,038","247,398","287,575"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","70,000","0","0","0","0","0","10,000","0","0","0","0"
"6312","法定福利費","206,241","214,246","206,241","167,013","239,801","245,289","245,289","245,289","175,689","175,689","171,078","170,861"
"6226","厚生費","5,000","36,818","10,000","2,250","0","22,300","17,250","40,264","185,941","53,136","7,882","8,723"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","156,715","156,715","156,715","156,715","212,593","165,291","165,291","165,291","165,291","165,291","165,291","165,291"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","940,909","940,909","940,909","940,909","940,909","940,909","940,909","940,909","940,909","940,909","940,909","940,909"
"6216","修繕／車両関係費","0","51,000","16,000","13,000","0","40,000","0","0","0","10,000","1,818","3,607"
"6217","事務用消耗品費","0","0","100","0","0","0","0","0","0","0","0","0"
"6218","通信交通費","13,015","13,010","3,003","23,283","13,102","3,003","24,207","3,079","24,114","13,439","13,040","3,003"
"6219","水道光熱費","263,855","404,783","312,517","570,008","341,155","395,085","350,569","466,971","450,051","506,964","313,066","511,393"
"6221","租税公課","0","0","0","0","0","0","800","2,000","0","0","5,000","0"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","25,000","25,000","25,000","25,000","50,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000"
"6225","備品消耗品費","503,277","396,191","326,203","326,015","217,254","341,293","448,923","383,015","369,251","485,082","325,103","547,976"
"6227","管理諸費","297,149","1,163,709","137,149","185,709","137,149","187,599","230,749","183,708","149,149","182,149","156,709","191,808"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","0","0","0","0","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","3,000"
,"販売費及び一般管理費計","5,777,737","6,688,293","5,903,700","5,325,571","4,761,674","5,298,809","5,502,235","5,996,754","5,920,877","5,739,186","5,580,284","5,985,982"
,"営業利益（損失）","-510,118","-2,179,729","99,853","-1,920,362","1,091,665","809,408","1,783,450","3,657,113","1,446,068","-1,185,475","1,341,652","32,891"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","1,895","0","0","2,528","0","0","3,604","0","0","2,714"
,"営業外収益計","0","0","1,895","0","0","2,528","0","0","3,604","0","0","2,714"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
