"ｺｰﾄﾞ","勘定科目名"," 3年 11月"," 3年 12月"," 4年  1月"," 4年  2月"," 4年  3月"," 4年  4月"," 4年  5月"," 4年  6月"," 4年  7月"," 4年  8月"," 4年  9月"," 4年 10月"
"4111","売上高","11,446,590","14,984,132","11,472,721","7,622,801","11,042,925","9,755,961","10,666,214","9,841,421","11,056,718","12,066,040","10,444,117","13,754,678"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","11,446,590","14,984,132","11,472,721","7,622,801","11,042,925","9,755,961","10,666,214","9,841,421","11,056,718","12,066,040","10,444,117","13,754,678"
"5111","期首棚卸高","688,088","1,014,062","1,315,100","863,836","811,420","935,001","1,262,196","1,078,218","931,969","917,978","947,030","1,039,352"
"5211","商品仕入高","4,486,879","5,631,303","3,654,512","3,016,674","4,244,570","4,064,283","4,138,766","3,747,608","4,375,147","4,979,772","4,505,881","5,083,808"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","1,014,062","1,315,100","863,836","811,420","935,001","1,262,196","1,078,218","931,969","917,978","947,030","1,039,352","844,426"
,"当期売上原価","4,160,905","5,330,265","4,105,776","3,069,090","4,120,989","3,737,088","4,322,744","3,893,857","4,389,138","4,950,720","4,413,559","5,278,734"
,"売上総利益","7,285,685","9,653,867","7,366,945","4,553,711","6,921,936","6,018,873","6,343,470","5,947,564","6,667,580","7,115,320","6,030,558","8,475,944"
"6111","給与手当","774,500","862,435","784,500","784,500","739,500","784,500","784,500","1,018,000","1,008,000","1,078,000","1,008,000","1,091,500"
"6311","雑給","1,510,175","1,782,039","1,835,313","1,677,894","1,877,116","1,763,171","1,791,015","1,531,709","1,514,933","1,453,265","1,540,981","1,591,870"
"6112","旅費交通費","63,365","77,005","60,237","38,967","60,805","51,292","64,102","52,966","57,452","57,207","68,402","79,423"
"6113","広告宣伝費","292,266","441,414","412,922","370,757","491,180","474,908","487,177","525,686","409,730","473,619","844,591","668,289"
"6114","販売促進費","84,182","68,508","37,934","44,755","38,544","49,634","39,647","31,641","34,784","42,084","34,668","33,436"
"6115","荷造発送費","0","845","0","0","845","0","0","0","0","0","0","0"
"6116","外注費","0","0","0","7,616","0","19,041","0","0","0","3,808","0","0"
"6117","支払手数料","328,760","298,982","304,576","257,038","247,398","290,384","522,860","322,857","264,390","341,133","376,177","360,490"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","10,000","0","0","0","0","192,000","75,875","75,875","75,875","75,875","50,583"
"6312","法定福利費","245,289","245,289","175,689","175,689","171,078","170,861","190,744","226,165","206,531","206,531","196,338","217,984"
"6226","厚生費","17,250","40,264","185,941","53,136","7,882","8,723","7,333","96,324","86,689","14,666","57,678","5,000"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","165,291","165,291","165,291","165,291","165,291","165,291","165,291","165,291","165,291","165,291","260,404","171,206"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","940,909","940,909","940,909","940,909","940,909","940,909","940,909","940,909","940,909","940,909","940,909","940,909"
"6216","修繕／車両関係費","0","0","0","10,000","1,818","3,607","0","0","0","0","91,387","40,000"
"6217","事務用消耗品費","0","0","0","0","0","0","0","0","0","0","0","0"
"6218","通信交通費","24,207","3,079","24,114","13,439","13,040","3,003","23,276","13,001","3,003","23,019","13,053","12,948"
"6219","水道光熱費","350,569","466,971","450,051","506,964","313,066","511,393","371,408","524,084","411,534","686,911","625,225","678,869"
"6221","租税公課","800","2,000","0","0","5,000","0","1,000","1,084","0","0","0","0"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000"
"6225","備品消耗品費","448,923","383,015","369,251","485,082","325,103","547,976","573,662","330,428","385,273","371,982","578,045","343,853"
"6227","管理諸費","230,749","183,708","149,149","182,149","156,709","191,808","205,765","194,149","149,387","188,387","151,919","196,346"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","0","0","0","0","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","3,000","0","0","0","0","3,000","5,000"
"6232","本社　指導料","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","5,502,235","5,996,754","5,920,877","5,739,186","5,580,284","6,004,501","6,385,689","6,075,169","5,738,781","6,147,687","6,891,652","6,512,706"
,"営業利益（損失）","1,783,450","3,657,113","1,446,068","-1,185,475","1,341,652","14,372","-42,219","-127,605","928,799","967,633","-861,094","1,963,238"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
