"ｺｰﾄﾞ","勘定科目名"," 5年  8月"," 5年 10月"," 5年 10月"," 5年 11月"," 5年 12月"," 6年  1月"," 6年  2月"," 6年  3月"," 6年  4月"," 6年  5月"," 6年  6月"," 6年  7月"
"4111","売上高","0","0","13,483,740","14,888,587","20,030,021","16,502,732","13,343,967","17,325,486","12,609,560","14,034,708","13,671,900","14,641,812"
"4112",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4113",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4114",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","32,739"
,"純売上高","0","0","13,483,740","14,888,587","20,030,021","16,502,732","13,343,967","17,325,486","12,609,560","14,034,708","13,671,900","14,609,073"
"5111","期首棚卸高","0","0","1,349,993","1,316,145","1,441,839","2,501,591","1,437,409","1,262,988","1,173,539","1,298,499","1,435,334","1,042,564"
"5311","期末棚卸高        (△)","0","0","1,316,145","1,441,839","2,501,591","1,437,409","1,262,988","1,173,539","1,298,499","1,435,334","1,042,564","1,208,821"
"5211","商品仕入高","0","0","5,473,059","6,257,171","9,602,520","6,175,228","5,269,654","6,635,081","5,567,189","5,887,630","4,952,450","6,152,335"
"5212",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","0","0","5,506,907","6,131,477","8,542,768","7,239,410","5,444,075","6,724,530","5,442,229","5,750,795","5,345,220","5,986,078"
,"売上総利益","0","0","7,976,833","8,757,110","11,487,253","9,263,322","7,899,892","10,600,956","7,167,331","8,283,913","8,326,680","8,622,995"
"6111","給与手当","0","0","830,304","838,943","1,004,306","887,405","850,016","889,075","824,773","1,085,880","968,304","1,063,300"
"6311","雑給","0","0","2,423,002","2,435,457","3,076,615","2,686,058","2,305,991","2,567,328","2,169,540","2,321,818","2,088,664","2,363,744"
"6112","旅費交通費","0","0","73,870","55,714","50,031","58,003","31,598","57,063","38,110","55,960","72,193","31,508"
"6113","広告宣伝費","0","0","748,863","996,036","763,121","599,071","644,364","847,256","612,544","764,378","779,445","808,576"
"6114","販売促進費","0","0","24,700","23,934","35,693","36,531","54,273","21,979","24,855","36,828","43,937","47,188"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","0","0","343,917","336,853","388,370","388,411","466,604","368,025","383,830","437,515","404,516","517,666"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","50,583","50,583","6,682","50,583","50,583","50,583","50,583","50,583","19,746","50,583"
"6312","法定福利費","0","0","357,760","357,760","420,730","389,736","389,736","389,736","334,497","359,832","403,605","395,870"
"6226","厚生費","0","0","11,733","100,375","51,733","11,733","95,733","48,194","14,187","53,862","150,575","51,231"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","0","0","303,951","303,951","303,951","303,951","303,951","303,951","303,951","303,951","303,951","303,951"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","0","0","944,727","940,909","940,909","940,909","940,909","890,909","890,909","890,909","890,909","890,909"
"6216","修繕／車両関係費","0","0","59,140","44,000","132,000","1,399,120","280,268","99,000","128,700","102,300","22,000","40,000"
"6217","事務用消耗品費","0","0","0","0","0","0","0","0","0","0","0","0"
"6218","通信交通費","0","0","23,471","13,223","3,003","23,547","13,148","3,535","20,602","10,155","6,006","23,853"
"6219","水道光熱費","0","0","556,110","367,687","491,192","489,359","553,981","371,726","605,654","413,496","597,726","498,315"
"6221","租税公課","0","0","2,000","0","0","2,000","0","0","0","2,000","2,000","0"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","0","0","0","60,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000"
"6225","備品消耗品費","0","0","460,290","647,240","851,652","308,039","454,130","710,838","770,207","570,359","364,281","578,610"
"6227","管理諸費","0","0","215,366","260,581","210,066","177,416","209,273","175,106","208,325","178,136","213,071","173,120"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","0","0","0","0","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","2,500","26,387","0","11,645","1,089","0","0","858"
"6232","本社　指導料","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","0","0","7,429,787","7,833,246","8,762,554","8,808,259","7,674,558","7,835,949","7,412,356","7,667,962","7,360,929","7,869,282"
,"営業利益（損失）","0","0","547,046","923,864","2,724,699","455,063","225,334","2,765,007","-245,025","615,951","965,751","753,713"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","33,323","27,273","27,273","27,273","259,615","27,273","0","4,545","351,654","31,818"
,"営業外収益計","0","0","33,323","27,273","27,273","27,273","259,615","27,273","0","4,545","351,654","31,818"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","0","0","0","0","0","0","0","0","0"
"7514",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","0","0","0","0","0","0","0","0","0","0"
,"経常利益（損失）","0","0","580,369","951,137","2,751,972","482,336","484,949","2,792,280","-245,025","620,496","1,317,405","785,531"
