"ｺｰﾄﾞ","勘定科目名","30年  2月","30年  3月","30年  4月","30年  5月","30年  6月","30年  7月","30年  8月","30年  9月","30年 10月","30年 11月","30年 12月","31年  1月"
"4111","売上高","14,392,735","18,522,828","13,786,462","14,139,649","13,994,137","14,681,863","15,333,708","13,471,270","14,085,641","15,090,710","21,376,225","16,011,410"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","14,392,735","18,522,828","13,786,462","14,139,649","13,994,137","14,681,863","15,333,708","13,471,270","14,085,641","15,090,710","21,376,225","16,011,410"
"5111","期首たな卸高","1,105,484","1,311,159","1,321,357","1,219,085","1,238,057","1,349,704","1,153,442","1,278,603","1,226,354","1,266,529","1,218,737","1,879,285"
"5211","商品仕入高","5,428,948","6,625,383","4,913,514","4,825,605","5,111,718","5,010,723","5,516,659","4,616,096","5,239,212","5,250,830","8,495,358","5,282,897"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","1,311,159","1,321,357","1,219,085","1,238,057","1,349,704","1,153,442","1,278,603","1,226,354","1,266,529","1,218,737","1,879,285","1,189,007"
,"当期売上原価","5,223,273","6,615,185","5,015,786","4,806,633","5,000,071","5,206,985","5,391,498","4,668,345","5,199,037","5,298,622","7,834,810","5,973,175"
,"売上総利益","9,169,462","11,907,643","8,770,676","9,333,016","8,994,066","9,474,878","9,942,210","8,802,925","8,886,604","9,792,088","13,541,415","10,038,235"
"6111","給与手当","1,519,477","1,554,000","1,620,500","1,693,508","1,730,591","1,552,508","1,569,508","1,134,591","933,341","786,921","844,086","788,421"
"6311","雑給","1,799,485","2,018,948","1,765,273","1,850,033","1,669,313","1,746,987","1,968,398","2,010,608","2,174,701","2,072,359","2,591,246","2,167,607"
"6112","旅費交通費","102,328","99,100","102,266","112,183","105,767","116,561","89,426","84,798","79,078","102,514","109,392","104,845"
"6113","広告宣伝費","905,878","940,368","642,658","900,258","860,412","717,655","752,068","800,685","659,595","806,515","1,006,018","769,709"
"6114","販売促進費","100,413","92,012","54,939","47,001","48,773","37,657","63,838","33,869","61,187","79,499","61,641","62,910"
"6115","荷造発送費","2,100","2,200","0","800","2,140","2,800","3,400","4,200","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","326,903","329,581","310,102","273,990","282,786","282,082","285,851","298,439","225,387","224,587","241,580","239,237"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","50,000","50,000","80,000","80,000","137,132","80,000","80,000","80,000","0","0","266,534","52,000"
"6312","法定福利費","268,193","240,123","240,123","240,123","354,367","279,851","279,852","182,735","182,735","188,349","209,402","184,138"
"6226","厚生費","236,277","296,322","255,944","208,209","226,145","217,176","366,459","423,637","216,339","207,713","72,452","58,008"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","227,802","227,802","227,802","227,802","227,802","227,802","227,802","69,569","185,598","185,598","185,598","185,598"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","944,444","944,444","944,444","944,444","944,444","944,444","944,444","944,444","944,444","944,444","944,444","944,444"
"6216","修繕／車両関係費","184,778","191,000","104,571","91,667","50,926","203,523","15,278","93,389","256,296","278,852","272,570","117,296"
"6217","事務用消耗品費","0","0","0","0","0","0","0","0","0","0","0","0"
"6218","通信交通費","14,984","2,677","14,985","27,205","3,002","27,640","15,231","3,002","26,838","15,480","3,078","28,568"
"6219","水道光熱費","610,368","366,203","567,091","358,770","528,411","419,234","667,605","532,901","602,528","423,905","547,197","477,858"
"6221","租税公課","4,000","2,000","4,000","4,000","5,000","0","4,000","2,000","4,000","2,000","8,000","4,000"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","23,641","23,641","23,641","23,641","23,641","23,641","23,641","23,641","26,103","23,641","23,641","23,641"
"6225","備品消耗品費","521,184","386,409","627,307","473,994","335,305","345,633","460,402","319,751","571,563","372,051","647,253","409,030"
"6227","管理諸費","196,216","169,252","252,080","130,783","207,523","415,332","192,789","138,722","137,558","213,908","130,971","130,144"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","6,000","0","0","0","5,000","0","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","8,038,471","7,936,082","7,843,726","7,688,411","7,743,480","7,640,526","8,014,992","7,180,981","7,287,291","6,928,336","8,165,103","6,747,454"
,"営業利益（損失）","1,130,991","3,971,561","926,950","1,644,605","1,250,586","1,834,352","1,927,218","1,621,944","1,599,313","2,863,752","5,376,312","3,290,781"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","100,000","0","7,176","0","0","5,250","0","0","7,744","0","0","7,083"
,"営業外収益計","100,000","0","7,176","0","0","5,250","0","0","7,744","0","0","7,083"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","10","0","-1,300","0","0","0","0","0","0"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","200,000","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","0","10","0","-1,300","0","200,000","0","0","0","0"
,"経常利益（損失）","1,230,991","3,971,561","934,126","1,644,595","1,250,586","1,840,902","1,927,218","1,421,944","1,607,057","2,863,752","5,376,312","3,297,864"
