"ｺｰﾄﾞ","勘定科目名"," 1年 10月"," 1年 11月"," 1年 12月"," 2年  1月"," 2年  2月"," 2年  3月"," 2年  4月"," 2年  5月"," 2年  6月"," 2年  7月"," 2年  8月"," 2年  9月"
"4111","売上高","15,527,087","18,164,881","20,371,748","18,452,232","13,658,494","14,643,029","4,871,428","3,790,530","9,450,370","12,341,843","9,863,197","10,702,212"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","15,527,087","18,164,881","20,371,748","18,452,232","13,658,494","14,643,029","4,871,428","3,790,530","9,450,370","12,341,843","9,863,197","10,702,212"
"5111","期首たな卸高","913,881","1,099,900","1,226,240","3,143,307","1,140,326","1,276,535","1,165,286","618,760","522,870","896,625","1,049,363","968,933"
"5211","商品仕入高","5,812,134","6,887,126","9,759,849","4,872,203","5,317,836","5,398,605","1,391,025","1,399,387","3,958,464","4,887,576","3,550,155","3,915,195"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","1,099,900","1,226,240","3,143,307","1,140,326","1,276,535","1,165,286","618,760","522,870","896,625","1,049,363","968,933","850,986"
,"当期売上原価","5,626,115","6,760,786","7,842,782","6,875,184","5,181,627","5,509,854","1,937,551","1,495,277","3,584,709","4,734,838","3,630,585","4,033,142"
,"売上総利益","9,900,972","11,404,095","12,528,966","11,577,048","8,476,867","9,133,175","2,933,877","2,295,253","5,865,661","7,607,005","6,232,612","6,669,070"
"6111","給与手当","889,000","896,000","913,515","1,256,750","1,189,500","1,234,500","856,500","762,482","856,523","1,283,000","904,500","1,096,325"
"6311","雑給","2,752,525","2,979,705","3,310,973","2,933,390","2,745,491","2,207,539","1,754,689","1,669,633","2,012,624","2,258,265","2,277,729","2,206,284"
"6112","旅費交通費","98,624","98,866","110,669","115,604","100,874","125,903","85,148","28,373","71,544","119,004","115,662","125,388"
