"ｺｰﾄﾞ","勘定科目名"," 2年  8月"," 2年  9月"," 2年 10月"," 2年 11月"," 2年 12月"," 3年  1月"," 3年  2月"," 3年  3月"," 3年  4月"," 3年  5月"," 3年  6月"," 3年  7月"
"4111","売上高","9,863,197","10,702,212","14,023,813","13,828,621","13,528,791","10,828,526","8,339,649","11,886,586","8,597,469","10,048,226","7,676,245","7,706,747"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","9,863,197","10,702,212","14,023,813","13,828,621","13,528,791","10,828,526","8,339,649","11,886,586","8,597,469","10,048,226","7,676,245","7,706,747"
"5111","期首たな卸高","1,049,363","968,933","850,986","1,180,068","899,724","2,654,375","1,032,720","892,381","942,969","1,115,928","693,060","386,786"
"5211","商品仕入高","3,550,155","3,915,195","5,558,586","4,551,522","6,492,588","2,270,002","2,841,530","4,235,990","3,586,087","3,260,995","2,696,854","4,280,596"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","968,933","850,986","1,180,068","899,724","2,654,375","1,032,720","892,381","942,969","1,115,928","693,060","386,786","1,471,563"
,"当期売上原価","3,630,585","4,033,142","5,229,504","4,831,866","4,737,937","3,891,657","2,981,869","4,185,402","3,413,128","3,683,863","3,003,128","3,195,819"
,"売上総利益","6,232,612","6,669,070","8,794,309","8,996,755","8,790,854","6,936,869","5,357,780","7,701,184","5,184,341","6,364,363","4,673,117","4,510,928"
"6111","給与手当","904,500","1,096,325","1,157,000","917,500","897,500","897,500","1,213,840","1,212,500","1,196,500","1,067,304","1,195,000","762,000"
"6311","雑給","2,277,729","2,206,284","2,123,232","2,279,753","2,162,317","2,333,341","1,817,876","1,677,068","1,684,035","1,411,884","1,401,755","1,742,407"
"6112","旅費交通費","115,662","125,388","141,237","114,026","114,629","111,452","116,730","120,848","118,189","90,323","85,652","98,993"
"6113","広告宣伝費","728,120","689,815","946,994","920,022","1,015,542","671,751","575,575","878,109","531,833","540,990","289,771","695,962"
"6114","販売促進費","33,790","52,793","80,093","109,089","97,235","102,767","103,752","91,592","78,273","77,259","68,728","44,587"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","215,833","249,988","254,069","289,373","213,665","224,133","186,471","196,849","219,603","216,644","207,236","231,106"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","0","175,000","0","0","0","0","0","40,000","0"
"6312","法定福利費","291,172","309,059","315,165","315,165","322,307","259,852","303,180","303,117","303,117","279,300","292,192","234,468"
