"ｺｰﾄﾞ","勘定科目名"," 2年 11月"," 2年 12月"," 3年  1月"," 3年  2月"," 3年  3月"," 3年  4月"," 3年  5月"," 3年  6月"," 3年  7月"," 3年  8月"," 3年  9月"," 3年 10月"
"4111","売上高","13,828,621","13,528,791","10,828,526","8,339,649","11,886,586","8,597,469","10,048,226","7,676,245","7,706,747","8,199,654","6,153,259","13,496,216"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","13,828,621","13,528,791","10,828,526","8,339,649","11,886,586","8,597,469","10,048,226","7,676,245","7,706,747","8,199,654","6,153,259","13,496,216"
"5111","期首棚卸高","1,180,068","899,724","2,654,375","1,032,720","892,381","942,969","1,115,928","693,060","386,786","1,471,563","1,203,316","12,857,547"
"5211","商品仕入高","4,551,522","6,492,588","2,270,002","2,841,530","4,235,990","3,586,087","3,260,995","2,696,854","4,280,596","3,100,214","14,181,913","6,965,967"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","899,724","2,654,375","1,032,720","892,381","942,969","1,115,928","693,060","386,786","1,471,563","1,203,316","12,857,547","14,533,589"
,"当期売上原価","4,831,866","4,737,937","3,891,657","2,981,869","4,185,402","3,413,128","3,683,863","3,003,128","3,195,819","3,368,461","2,527,682","5,289,925"
,"売上総利益","8,996,755","8,790,854","6,936,869","5,357,780","7,701,184","5,184,341","6,364,363","4,673,117","4,510,928","4,831,193","3,625,577","8,206,291"
"6111","給与手当","917,500","897,500","897,500","1,213,840","1,212,500","1,196,500","1,067,304","1,195,000","762,000","1,039,900","1,271,000","1,258,000"
"6311","雑給","2,279,753","2,162,317","2,333,341","1,817,876","1,677,068","1,684,035","1,411,884","1,401,755","1,742,407","1,920,503","1,590,321","1,769,745"
"6112","旅費交通費","114,026","114,629","111,452","116,730","120,848","118,189","90,323","85,652","98,993","95,900","91,217","108,275"
"6113","広告宣伝費","920,022","1,015,542","671,751","575,575","878,109","531,833","540,990","289,771","695,962","476,644","461,569","760,027"
"6114","販売促進費","109,089","97,235","102,767","103,752","91,592","78,273","77,259","68,728","44,587","102,482","77,988","98,062"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","289,373","213,665","224,133","186,471","196,849","219,603","216,644","207,236","231,106","211,072","252,422","275,986"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","175,000","0","0","0","0","0","40,000","0","0","0","0"
"6312","法定福利費","315,165","322,307","259,852","303,180","303,117","303,117","279,300","292,192","234,468","273,696","317,243","322,089"
"6226","厚生費","5,000","-7,273","-12,727","0","5,000","5,000","5,000","144,091","160,118","124,255","2,250","26,938"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","175,043","175,043","175,043","175,043","175,043","175,043","175,043","175,043","175,043","175,043","763,577","1,560,558"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","816,000","816,000","816,000","816,000","816,000","816,000","816,000","816,000","800,000","933,000","933,000","933,000"
"6216","修繕／車両関係費","0","0","35,000","23,500","6,900","31,250","0","32,190","4,582,974","0","0","0"
"6217","事務用消耗品費","0","0","3,488","0","0","0","0","0","500","2,801","0","0"
"6218","通信交通費","18,491","15,891","16,266","18,281","18,266","15,799","18,330","11,821","15,884","19,695","20,808","9,468"
"6219","水道光熱費","420,111","307,694","524,985","396,223","444,751","337,153","473,362","329,388","440,143","575,495","753,791","497,854"
"6221","租税公課","2,000","0","0","0","0","0","0","0","2,000","0","0","0"
"6222","寄付金","0","0","0","0","0","0","0","0","30,000","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","38,892","63,892","38,892"
"6225","備品消耗品費","565,238","656,502","538,762","438,826","569,370","596,611","468,203","4,706,071","2,067,887","554,756","672,641","381,352"
"6227","管理諸費","42,560","56,946","45,910","60,870","45,260","56,870","290,910","49,910","191,543","87,530","74,100","103,420"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","0","0","0","0","0","0","0","30,000"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","30,000","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","7,014,371","7,073,998","6,768,523","6,271,167","6,585,673","6,190,276","5,955,552","9,869,848","12,300,615","6,631,664","7,345,819","8,173,666"
,"営業利益（損失）","1,982,384","1,716,856","168,346","-913,387","1,115,511","-1,005,935","408,811","-5,196,731","-7,789,687","-1,800,471","-3,720,242","32,625"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
