"ｺｰﾄﾞ","勘定科目名"," 3年  5月"," 3年  6月"," 3年  7月"," 3年  8月"," 3年  9月"," 3年 10月"," 3年 11月"," 3年 12月"," 4年  1月"," 4年  2月"," 4年  3月"," 4年  4月"
"4111","売上高","10,048,226","7,676,245","7,706,747","8,199,654","6,153,259","13,496,216","12,487,034","15,920,878","11,250,723","6,966,771","10,888,167","9,299,146"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","10,048,226","7,676,245","7,706,747","8,199,654","6,153,259","13,496,216","12,487,034","15,920,878","11,250,723","6,966,771","10,888,167","9,299,146"
"5111","期首棚卸高","1,115,928","693,060","386,786","1,471,563","1,203,316","12,857,547","14,533,589","15,280,126","16,276,903","14,815,346","13,861,283","12,878,176"
"5211","商品仕入高","3,260,995","2,696,854","4,280,596","3,100,214","14,181,913","6,965,967","5,594,911","6,857,112","2,471,147","2,223,086","3,470,412","3,358,700"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","693,060","386,786","1,471,563","1,203,316","12,857,547","14,533,589","15,280,126","16,276,903","14,815,346","13,861,283","12,878,176","12,474,984"
,"当期売上原価","3,683,863","3,003,128","3,195,819","3,368,461","2,527,682","5,289,925","4,848,374","5,860,335","3,932,704","3,177,149","4,453,519","3,761,892"
,"売上総利益","6,364,363","4,673,117","4,510,928","4,831,193","3,625,577","8,206,291","7,638,660","10,060,543","7,318,019","3,789,622","6,434,648","5,537,254"
"6111","給与手当","1,067,304","1,195,000","762,000","1,039,900","1,271,000","1,258,000","1,062,000","1,142,000","1,057,000","1,062,000","1,062,000","1,282,000"
"6311","雑給","1,411,884","1,401,755","1,742,407","1,920,503","1,590,321","1,769,745","1,740,393","1,982,444","1,753,120","1,622,969","1,672,019","1,564,431"
"6112","旅費交通費","90,323","85,652","98,993","95,900","91,217","108,275","96,092","125,764","89,540","70,398","97,980","61,815"
"6113","広告宣伝費","540,990","289,771","695,962","476,644","461,569","760,027","364,718","590,218","375,730","269,057","447,713","506,921"
"6114","販売促進費","77,259","68,728","44,587","102,482","77,988","98,062","119,844","112,318","86,945","60,843","71,684","79,280"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","216,644","207,236","231,106","211,072","252,422","275,986","342,569","327,034","328,306","232,313","268,181","330,065"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","40,000","0","0","0","0","0","110,000","0","0","0","0"
"6312","法定福利費","279,300","292,192","234,468","273,696","317,243","322,089","322,089","344,454","288,465","288,465","282,500","282,410"
"6226","厚生費","5,000","144,091","160,118","124,255","2,250","26,938","3,955","34,500","190,028","97,436","101,850","120,779"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","175,043","175,043","175,043","175,043","763,577","1,560,558","1,560,558","1,560,558","1,560,558","1,560,558","1,560,558","1,560,558"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","816,000","816,000","800,000","933,000","933,000","933,000","933,000","933,000","933,000","933,000","933,000","933,000"
"6216","修繕／車両関係費","0","32,190","4,582,974","0","0","0","0","4,964","0","378,000","20,425","0"
"6217","事務用消耗品費","0","0","500","2,801","0","0","0","5,360","6,530","0","1,868","0"
"6218","通信交通費","18,330","11,821","15,884","19,695","20,808","9,468","27,753","9,994","12,367","23,588","19,438","9,130"
"6219","水道光熱費","473,362","329,388","440,143","575,495","753,791","497,854","658,137","580,604","986,868","809,929","805,997","609,719"
"6221","租税公課","0","0","2,000","0","0","0","0","2,000","0","0","0","0"
