"ｺｰﾄﾞ","勘定科目名"," 4年  2月"," 4年  3月"," 4年  4月"," 4年  5月"," 4年  6月"," 4年  7月"," 4年  8月"," 4年  9月"," 4年 10月"," 4年 11月"," 4年 12月"," 5年  1月"
"4111","売上高","6,966,771","10,888,167","9,299,146","11,008,723","9,448,260","10,412,728","10,020,549","10,243,175","11,986,756","12,554,173","15,619,727","14,443,254"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","6,966,771","10,888,167","9,299,146","11,008,723","9,448,260","10,412,728","10,020,549","10,243,175","11,986,756","12,554,173","15,619,727","14,443,254"
"5111","期首棚卸高","14,815,346","13,861,283","12,878,176","12,474,984","10,688,755","9,783,814","8,513,256","7,522,249","6,061,619","5,620,690","4,802,196","5,856,408"
"5211","商品仕入高","2,223,086","3,470,412","3,358,700","2,739,188","2,992,102","2,899,249","3,295,040","2,831,774","4,246,871","4,289,767","7,359,584","3,906,385"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","13,861,283","12,878,176","12,474,984","10,688,755","9,783,814","8,513,256","7,522,249","6,061,619","5,620,690","4,802,196","5,856,408","4,230,394"
,"当期売上原価","3,177,149","4,453,519","3,761,892","4,525,417","3,897,043","4,169,807","4,286,047","4,292,404","4,687,800","5,108,261","6,305,372","5,532,399"
,"売上総利益","3,789,622","6,434,648","5,537,254","6,483,306","5,551,217","6,242,921","5,734,502","5,950,771","7,298,956","7,445,912","9,314,355","8,910,855"
"6111","給与手当","1,062,000","1,062,000","1,282,000","1,488,740","871,785","1,114,775","1,139,696","757,000","1,091,745","1,033,913","1,287,196","773,500"
"6311","雑給","1,622,969","1,672,019","1,564,431","1,635,087","1,508,124","1,590,438","1,631,772","1,508,829","1,677,348","1,758,300","2,212,022","2,388,548"
"6112","旅費交通費","70,398","97,980","61,815","115,722","74,388","78,808","74,311","67,204","84,083","78,039","93,554","83,859"
"6113","広告宣伝費","269,057","447,713","524,021","551,156","517,306","512,176","575,380","715,472","665,323","631,719","868,244","788,590"
"6114","販売促進費","60,843","71,684","79,280","70,278","76,680","70,925","64,780","61,131","59,182","82,219","81,117","73,211"
"6115","荷造発送費","0","0","0","0","0","0","0","300","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","5,524","23,400","2,660","0","5,562","2,981"
"6117","支払手数料","232,313","268,181","330,065","470,210","339,205","289,939","351,562","387,889","406,306","421,786","387,291","476,456"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","150,700","85,500","85,500","85,500","85,500","57,000","57,000","-161,000","57,000"
"6312","法定福利費","288,465","282,500","282,410","401,216","326,264","240,502","240,502","247,679","247,679","281,339","313,178","322,268"
"6226","厚生費","97,436","101,850","120,779","33,883","113,333","14,166","51,966","40,132","10,000","72,132","99,547","17,134"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","1,560,558","1,560,558","1,560,558","1,560,558","1,560,558","1,560,558","1,560,558","-8,308,494","644,648","644,648","644,648","644,648"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","933,000","933,000","933,000","933,000","933,000","933,000","933,000","933,000","1,316,000","1,316,000","1,316,000","1,316,000"
"6216","修繕／車両関係費","378,000","20,425","0","34,500","240,000","73,600","0","21,600","95,500","0","0","38,139"
"6217","事務用消耗品費","0","1,868","0","0","0","1,627","0","1,527","0","0","0","0"
"6218","通信交通費","23,588","19,438","9,130","17,025","17,067","9,136","19,457","19,443","9,134","11,539","9,211","11,547"
"6219","水道光熱費","809,929","805,997","609,719","753,610","621,781","752,518","1,061,267","1,058,378","838,293","862,130","748,776","1,219,697"
"6221","租税公課","0","0","0","2,000","0","0","0","0","0","2,000","2,000","2,000"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","38,892","38,892","38,892","38,892","38,892","38,892","38,892","38,938","38,892","38,892","38,892","38,892"
"6225","備品消耗品費","365,530","295,562","529,410","392,023","312,710","376,473","582,457","347,164","421,964","436,452","750,782","363,161"
