"ｺｰﾄﾞ","勘定科目名"," 4年  3月"," 4年  4月"," 4年  5月"," 4年  6月"," 4年  7月"," 4年  8月"," 4年  9月"," 4年 10月"," 4年 11月"," 4年 12月"," 5年  1月"," 5年  2月"
"4111","売上高","10,888,167","9,299,146","11,008,723","9,448,260","10,412,728","10,020,549","10,243,175","11,986,756","12,554,173","15,619,727","14,443,254","11,345,208"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","10,888,167","9,299,146","11,008,723","9,448,260","10,412,728","10,020,549","10,243,175","11,986,756","12,554,173","15,619,727","14,443,254","11,345,208"
"5111","期首棚卸高","13,861,283","12,878,176","12,474,984","10,688,755","9,783,814","8,513,256","7,522,249","6,061,619","5,620,690","4,802,196","5,856,408","4,230,394"
"5211","商品仕入高","3,470,412","3,358,700","2,739,188","2,992,102","2,899,249","3,295,040","2,831,774","4,246,871","4,289,767","7,359,584","3,906,385","4,077,070"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","12,878,176","12,474,984","10,688,755","9,783,814","8,513,256","7,522,249","6,061,619","5,620,690","4,802,196","5,856,408","4,230,394","3,604,044"
,"当期売上原価","4,453,519","3,761,892","4,525,417","3,897,043","4,169,807","4,286,047","4,292,404","4,687,800","5,108,261","6,305,372","5,532,399","4,703,420"
,"売上総利益","6,434,648","5,537,254","6,483,306","5,551,217","6,242,921","5,734,502","5,950,771","7,298,956","7,445,912","9,314,355","8,910,855","6,641,788"
