"ｺｰﾄﾞ","勘定科目名"," 4年  9月"," 4年 10月"," 4年 11月"," 4年 12月"," 5年  1月"," 5年  2月"," 5年  3月"," 5年  4月"," 5年  5月"," 5年  6月"," 5年  7月"," 5年  8月"
"4111","売上高","10,243,175","11,986,756","12,554,173","15,619,727","14,443,254","11,345,208","14,876,992","10,656,541","11,211,215","12,029,152","13,285,242","12,439,948"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","10,243,175","11,986,756","12,554,173","15,619,727","14,443,254","11,345,208","14,876,992","10,656,541","11,211,215","12,029,152","13,285,242","12,439,948"
"5111","期首棚卸高","7,522,249","6,061,619","5,620,690","4,802,196","5,856,408","4,230,394","3,604,044","2,825,278","2,639,607","1,961,338","1,788,836","1,574,712"
"5211","商品仕入高","2,831,774","4,246,871","4,289,767","7,359,584","3,906,385","4,077,070","5,159,939","4,039,015","3,869,778","4,625,719","4,829,078","5,075,514"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","6,061,619","5,620,690","4,802,196","5,856,408","4,230,394","3,604,044","2,825,278","2,639,607","1,961,338","1,788,836","1,574,712","1,411,216"
,"当期売上原価","4,292,404","4,687,800","5,108,261","6,305,372","5,532,399","4,703,420","5,938,705","4,224,686","4,548,047","4,798,221","5,043,202","5,239,010"
,"売上総利益","5,950,771","7,298,956","7,445,912","9,314,355","8,910,855","6,641,788","8,938,287","6,431,855","6,663,168","7,230,931","8,242,040","7,200,938"
"6111","給与手当","757,000","1,091,745","1,033,913","1,287,196","773,500","865,609","767,500","798,000","787,622","815,100","762,796","747,100"
"6311","雑給","1,508,829","1,677,348","1,758,300","2,212,022","2,388,548","1,928,097","2,176,575","2,046,775","2,157,818","2,094,313","2,213,530","2,126,760"
"6112","旅費交通費","67,204","84,083","78,039","93,554","83,859","93,910","82,532","98,096","104,466","104,604","97,570","105,953"
"6113","広告宣伝費","715,472","665,323","631,719","868,244","788,590","688,801","729,515","405,919","537,038","643,733","581,584","448,450"
"6114","販売促進費","61,131","59,182","82,219","81,117","73,211","68,684","71,039","69,772","65,874","52,120","69,994","72,523"
"6115","荷造発送費","300","0","0","0","0","0","0","0","0","0","0","0"
