"ｺｰﾄﾞ","勘定科目名"," 5年  2月"," 5年  3月"," 5年  4月"," 5年  5月"," 5年  6月"," 5年  7月"," 5年  8月"," 5年 10月"," 5年 10月"," 5年 11月"," 5年 12月"," 6年  1月"
"4111","売上高","0","0","0","0","0","0","0","0","12,694,291","13,018,471","17,367,466","13,030,459"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","0","0","0","0","0","0","0","0","12,694,291","13,018,471","17,367,466","13,030,459"
"5111","期首棚卸高","0","0","0","0","0","0","0","0","1,617,469","1,558,728","1,393,558","3,484,680"
"5311","期末棚卸高        (△)","0","0","0","0","0","0","0","0","1,558,728","1,393,558","3,484,680","1,330,046"
"5211","商品仕入高","0","0","0","0","0","0","0","0","5,189,208","5,498,308","9,254,545","3,642,488"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","0","0","0","0","0","0","0","0","5,247,949","5,663,478","7,163,423","5,797,122"
,"売上総利益","0","0","0","0","0","0","0","0","7,446,342","7,354,993","10,204,043","7,233,337"
"6111","給与手当","0","0","0","0","0","0","0","0","829,796","833,991","932,162","826,578"
"6311","雑給","0","0","0","0","0","0","0","0","2,195,889","2,380,562","2,645,858","2,296,864"
"6112","旅費交通費","0","0","0","0","0","0","0","0","109,789","96,520","103,016","94,075"
"6113","広告宣伝費","0","0","0","0","0","0","0","0","477,281","566,562","473,110","447,962"
"6114","販売促進費","0","0","0","0","0","0","0","0","46,924","66,468","93,006","52,146"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","2,200","0","0"
"6117","支払手数料","0","0","0","0","0","0","0","0","395,803","350,135","458,543","479,756"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","0","0","0","0","0","57,000","57,000","-68,116","57,000"
"6312","法定福利費","0","0","0","0","0","0","0","0","374,807","374,807","428,156","374,807"
"6226","厚生費","0","0","0","0","0","0","0","0","10,733","40,375","74,438","64,733"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","0","0","0","0","0","0","0","0","509,230","509,230","509,230","509,230"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","0","0","0","0","0","0","0","0","1,316,000","1,316,000","1,316,000","1,316,000"
"6216","修繕／車両関係費","0","0","0","0","0","0","0","0","168,600","159,500","269,200","750,500"
"6217","事務用消耗品費","0","0","0","0","0","0","0","0","0","0","0","400"
"6218","通信交通費","0","0","0","0","0","0","0","0","11,535","11,764","9,141","11,549"
"6219","水道光熱費","0","0","0","0","0","0","0","0","623,710","648,227","573,844","894,495"
"6221","租税公課","0","0","0","0","0","0","0","0","4,000","2,000","4,000","4,000"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","0","0","0","0","0","0","0","0","0","60,000","30,000","30,000"
"6225","備品消耗品費","0","0","0","0","0","0","0","0","377,754","311,428","621,137","252,273"
"6227","管理諸費","0","0","0","0","0","0","0","0","143,132","130,247","135,907","132,597"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","0","0","0","0","30,000","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
"6232","本社　指導料","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","0","0","0","0","0","0","0","0","7,681,983","7,917,016","8,608,632","8,594,965"
,"営業利益（損失）","0","0","0","0","0","0","0","0","-235,641","-562,023","1,595,411","-1,361,628"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外収益計","0","0","0","0","0","0","0","0","0","0","0","0"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","0","0","0","0","0","0","0","0","0"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","0","0","0","0","0","0","0","0","0","0"
,"経常利益（損失）","0","0","0","0","0","0","0","0","-235,641","-562,023","1,595,411","-1,361,628"
