"ｺｰﾄﾞ","勘定科目名"," 5年 10月"," 5年 10月"," 5年 11月"," 5年 12月"," 6年  1月"," 6年  2月"," 6年  3月"," 6年  4月"," 6年  5月"," 6年  6月"," 6年  7月"," 6年  8月"
"4111","売上高","0","12,694,291","13,018,471","17,367,466","13,030,459","11,148,481","14,521,732","9,925,027","10,088,638","12,689,466","13,359,746","13,334,225"
"4112",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4113",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4114",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","14,400","81,673"
,"純売上高","0","12,694,291","13,018,471","17,367,466","13,030,459","11,148,481","14,521,732","9,925,027","10,088,638","12,689,466","13,345,346","13,252,552"
"5111","期首棚卸高","0","1,617,469","1,558,728","1,393,558","3,484,680","1,330,046","1,553,101","1,160,852","1,666,694","1,599,572","1,229,451","1,395,631"
"5311","期末棚卸高        (△)","0","1,558,728","1,393,558","3,484,680","1,330,046","1,553,101","1,160,852","1,666,694","1,599,572","1,229,451","1,395,631","1,535,702"
"5211","商品仕入高","0","5,189,208","5,498,308","9,254,545","3,642,488","4,635,837","5,632,419","4,789,312","4,537,090","4,832,887","5,800,957","5,719,101"
"5212",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","0","5,247,949","5,663,478","7,163,423","5,797,122","4,412,782","6,024,668","4,283,470","4,604,212","5,203,008","5,634,777","5,579,030"
,"売上総利益","0","7,446,342","7,354,993","10,204,043","7,233,337","6,735,699","8,497,064","5,641,557","5,484,426","7,486,458","7,710,569","7,673,522"
"6111","給与手当","0","829,796","833,991","932,162","826,578","756,100","811,578","723,164","728,947","935,414","878,342","902,499"
"6311","雑給","0","2,195,889","2,380,562","2,645,858","2,296,864","2,065,865","2,272,925","2,091,266","2,152,363","2,071,679","1,985,189","2,257,466"
"6112","旅費交通費","0","109,789","96,520","103,016","94,075","52,030","93,903","104,885","106,862","131,509","46,710","104,813"
"6113","広告宣伝費","0","477,281","566,562","473,110","447,962","442,569","583,714","323,470","404,355","495,530","523,270","975,988"
"6114","販売促進費","0","46,924","66,468","93,006","52,146","99,551","55,940","78,136","44,235","95,768","147,414","24,719"
"6115","荷造発送費","0","0","0","0","0","773","0","0","0","0","0","0"
"6116","外注費","0","0","2,200","0","0","0","0","6,000","3,000","0","0","0"
"6117","支払手数料","0","395,803","350,135","458,543","479,756","409,540","461,235","481,121","421,377","404,892","455,893","494,276"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","57,000","57,000","-68,116","57,000","57,000","57,000","57,000","57,000","-31,011","57,000","57,000"
"6312","法定福利費","0","374,807","374,807","428,156","374,807","394,820","394,820","421,380","421,380","513,135","435,425","432,568"
"6226","厚生費","0","10,733","40,375","74,438","64,733","95,733","77,530","16,500","103,109","34,531","16,188","46,838"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","0","509,230","509,230","509,230","509,230","509,230","509,230","509,230","509,230","509,230","509,230","509,230"
