"ｺｰﾄﾞ","勘定科目名","31年  3月","31年  4月"," 1年  5月"," 1年  6月"," 1年  7月"," 1年  8月"," 1年  9月"," 1年 10月"," 1年 11月"," 1年 12月"," 2年  1月"," 2年  2月"
"4111","売上高","21,359,176","18,422,188","15,783,022","17,379,387","20,121,774","19,433,393","16,121,432","15,527,087","18,164,881","20,371,748","18,452,232","13,658,494"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","21,359,176","18,422,188","15,783,022","17,379,387","20,121,774","19,433,393","16,121,432","15,527,087","18,164,881","20,371,748","18,452,232","13,658,494"
"5111","期首たな卸高","1,052,340","1,173,755","1,422,177","1,162,200","1,148,063","1,378,936","1,251,780","913,881","1,099,900","1,226,240","3,143,307","1,140,326"
"5211","商品仕入高","7,747,343","6,907,128","5,415,483","6,333,313","7,358,701","6,976,699","5,618,180","5,812,134","6,887,126","9,759,849","4,872,203","5,317,836"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","1,173,755","1,422,177","1,162,200","1,148,063","1,378,936","1,251,780","913,881","1,099,900","1,226,240","3,143,307","1,140,326","1,276,535"
,"当期売上原価","7,625,928","6,658,706","5,675,460","6,347,450","7,127,828","7,103,855","5,956,079","5,626,115","6,760,786","7,842,782","6,875,184","5,181,627"
,"売上総利益","13,733,248","11,763,482","10,107,562","11,031,937","12,993,946","12,329,538","10,165,353","9,900,972","11,404,095","12,528,966","11,577,048","8,476,867"
"6111","給与手当","1,045,014","875,500","871,848","861,514","911,848","810,848","857,180","889,000","896,000","913,515","1,256,750","1,189,500"
"6311","雑給","3,354,544","3,368,164","3,174,555","2,979,823","3,113,546","3,220,444","2,922,788","2,752,525","2,979,705","3,310,973","2,933,390","2,745,491"
"6112","旅費交通費","128,558","94,395","109,071","98,460","109,805","111,162","99,952","98,624","98,866","110,669","115,604","100,874"
"6113","広告宣伝費","1,465,536","1,028,795","760,059","1,063,854","1,105,416","1,044,256","783,155","869,373","896,720","453,165","1,057,081","880,143"
"6114","販売促進費","70,204","67,054","70,115","56,452","53,139","66,651","68,266","82,929","51,363","73,202","147,708","79,034"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","470,796","497,404","508,353","379,219","449,170","428,109","537,489","346,655","540,776","348,871","408,439","296,211"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","54,000","54,000","54,000","302,500","54,000","54,000","54,000","54,000","54,000","254,292","54,000","54,000"
"6312","法定福利費","262,594","231,739","238,752","323,039","254,238","254,238","255,641","251,241","251,241","328,188","318,561","312,110"
"6226","厚生費","178,976","93,252","80,926","167,278","77,212","31,574","227,191","87,711","34,752","38,081","77,200","-1,165"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","192,762","192,762","192,762","192,762","192,762","192,762","173,243","208,748","208,748","208,748","208,748","208,748"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","816,985","814,815","817,185","816,000","816,000","816,000","830,815","816,000","816,000","816,000","816,000","816,000"
"6216","修繕／車両関係費","271,861","239,537","77,500","136,500","219,545","474,703","311,668","177,000","126,000","412,600","159,540","173,855"
"6217","事務用消耗品費","6,815","0","0","0","0","0","0","0","0","0","0","0"
"6218","通信交通費","12,275","16,751","14,887","11,837","14,698","12,017","15,105","12,713","12,076","15,993","18,603","16,577"
"6219","水道光熱費","759,176","489,994","648,806","466,193","705,723","583,670","844,286","500,114","555,539","380,604","644,387","502,488"
"6221","租税公課","6,600","8,000","3,000","8,000","0","8,000","2,000","6,000","6,000","8,000","4,000","4,000"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","1,250","0","0","0","0","0"
"6224","保険料","29,120","29,120","29,120","29,120","29,120","29,120","29,120","27,560","25,000","25,000","25,000","25,000"
"6225","備品消耗品費","523,893","616,250","629,671","593,951","658,189","639,569","2,332,312","546,564","560,428","1,189,784","533,317","542,240"
"6227","管理諸費","156,906","189,112","161,007","177,303","161,634","179,302","561,463","169,946","166,910","186,248","158,910","375,330"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","0","0","0","20,000","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","9,806,615","8,906,644","8,441,617","8,663,805","8,926,045","8,956,425","10,906,924","7,916,703","8,280,124","9,073,933","8,937,238","8,320,436"
,"営業利益（損失）","3,926,633","2,856,838","1,665,945","2,368,132","4,067,901","3,373,113","-741,571","1,984,269","3,123,971","3,455,033","2,639,810","156,431"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外収益計","0","0","0","0","0","0","0","0","0","0","0","0"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","0","0","0","0","0","-3","0","0","0"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","200,000","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","0","0","0","0","200,000","0","-3","0","0","0"
,"経常利益（損失）","3,926,633","2,856,838","1,665,945","2,368,132","4,067,901","3,373,113","-941,571","1,984,269","3,123,974","3,455,033","2,639,810","156,431"
