"ｺｰﾄﾞ","勘定科目名"," 2年  4月"," 2年  5月"," 2年  6月"," 2年  7月"," 2年  8月"," 2年  9月"," 2年 10月"," 2年 11月"," 2年 12月"," 3年  1月"," 3年  2月"," 3年  3月"
"4111","売上高","3,140,126","3,782,259","6,593,069","7,947,462","8,192,181","8,235,455","11,413,443","10,847,880","11,378,632","9,018,515","7,603,030","10,664,145"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","3,140,126","3,782,259","6,593,069","7,947,462","8,192,181","8,235,455","11,413,443","10,847,880","11,378,632","9,018,515","7,603,030","10,664,145"
"5111","期首たな卸高","969,947","768,464","662,665","851,495","777,071","872,811","898,449","909,785","748,375","1,220,096","698,100","659,268"
"5211","商品仕入高","1,042,058","1,405,223","2,551,118","2,920,528","2,876,052","3,053,914","4,040,536","3,625,167","4,534,222","2,825,768","2,773,825","3,922,430"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","768,464","662,665","851,495","777,071","872,811","898,449","909,785","748,375","1,220,096","698,100","659,268","813,498"
,"当期売上原価","1,243,541","1,511,022","2,362,288","2,994,952","2,780,312","3,028,276","4,029,200","3,786,577","4,062,501","3,347,764","2,812,657","3,768,200"
,"売上総利益","1,896,585","2,271,237","4,230,781","4,952,510","5,411,869","5,207,179","7,384,243","7,061,303","7,316,131","5,670,751","4,790,373","6,895,945"
"6111","給与手当","945,755","979,975","994,809","1,003,182","1,011,516","978,180","1,055,168","1,371,500","1,271,500","1,239,000","1,279,000","984,000"
"6311","雑給","1,641,975","1,400,875","1,524,782","1,573,572","1,443,442","1,609,938","1,735,361","1,467,938","1,729,253","1,413,540","1,304,332","1,410,538"
"6112","旅費交通費","43,224","28,518","52,317","73,597","67,950","71,723","75,587","75,176","89,189","82,183","75,360","79,822"
"6113","広告宣伝費","300,236","293,581","501,520","360,471","489,218","382,407","754,740","869,841","660,207","525,210","571,769","767,265"
"6114","販売促進費","18,963","21,105","22,367","22,468","25,637","29,322","31,026","57,838","72,742","76,425","83,927","66,386"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","3,854","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","152,321","144,660","146,236","173,796","173,172","162,377","188,631","213,923","177,916","205,038","167,654","168,939"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","0","0","0","0","0","275,000","0","0","0"
"6312","法定福利費","147,341","147,341","143,912","138,469","141,735","163,778","171,637","171,637","222,034","183,466","189,180","169,509"
"6226","厚生費","-4,182","0","0","9,873","5,000","2,163","3,436","24,727","-11,000","-11,336","-7,190","31,565"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","169,132","169,132","169,132","169,132","169,132","184,553","145,361","145,361","145,361","145,361","145,361","145,361"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","370,992","370,992","370,992","463,740","463,740","463,740","463,740","463,740","463,740","463,740","463,740","463,740"
"6216","修繕／車両関係費","0","0","193,000","0","15,500","38,000","0","44,000","0","20,000","16,900","12,000"
"6217","事務用消耗品費","545","0","0","7,044","16,425","2,260","0","0","0","0","0","0"
"6218","通信交通費","2,703","2,703","2,703","2,779","3,281","2,703","3,337","2,703","2,779","2,703","2,703","2,703"
"6219","水道光熱費","439,501","242,733","253,678","212,828","357,718","614,043","455,559","307,325","384,785","256,101","385,677","264,020"
"6221","租税公課","0","0","0","1,000","0","1,000","0","0","0","0","0","0"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","20,000","0","3,200","0","0","0"
"6224","保険料","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000"
"6225","備品消耗品費","256,188","180,121","464,718","409,786","617,315","377,954","442,792","569,378","615,066","452,973","387,530","429,384"
"6227","管理諸費","56,001","21,674","135,249","23,634","44,489","33,534","84,422","37,349","58,049","24,434","31,394","24,434"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","0","0","0","0","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","4,213","9,910","0","0","0","0","0"
,"販売費及び一般管理費計","4,565,695","4,028,410","5,000,415","4,670,371","5,070,270","5,146,888","5,665,707","5,847,436","6,184,821","5,107,692","5,122,337","5,044,666"
,"営業利益（損失）","-2,669,110","-1,757,173","-769,634","282,139","341,599","60,291","1,718,536","1,213,867","1,131,310","563,059","-331,964","1,851,279"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外収益計","0","0","0","0","0","0","0","0","0","0","0","0"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","0","0","200","0","0","-10","-533","0","0"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","183,333","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","0","0","0","183,533","0","0","-10","-533","0","0"
,"経常利益（損失）","-2,669,110","-1,757,173","-769,634","282,139","341,599","-123,242","1,718,536","1,213,867","1,131,320","563,592","-331,964","1,851,279"
