"ｺｰﾄﾞ","勘定科目名"," 2年  9月"," 2年 10月"," 2年 11月"," 2年 12月"," 3年  1月"," 3年  2月"," 3年  3月"," 3年  4月"," 3年  5月"," 3年  6月"," 3年  7月"," 3年  8月"
"4111","売上高","8,235,455","11,413,443","10,847,880","11,378,632","9,018,515","7,603,030","10,664,145","6,946,752","8,221,037","6,590,796","6,717,747","4,059,507"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","8,235,455","11,413,443","10,847,880","11,378,632","9,018,515","7,603,030","10,664,145","6,946,752","8,221,037","6,590,796","6,717,747","4,059,507"
"5111","期首棚卸高","872,811","898,449","909,785","748,375","1,220,096","698,100","659,268","813,498","931,233","853,436","733,952","890,513"
"5211","商品仕入高","3,053,914","4,040,536","3,625,167","4,534,222","2,825,768","2,773,825","3,922,430","2,761,578","3,213,677","2,258,160","2,918,159","10,498,661"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","898,449","909,785","748,375","1,220,096","698,100","659,268","813,498","931,233","853,436","733,952","890,513","9,662,458"
,"当期売上原価","3,028,276","4,029,200","3,786,577","4,062,501","3,347,764","2,812,657","3,768,200","2,643,843","3,291,474","2,377,644","2,761,598","1,726,716"
,"売上総利益","5,207,179","7,384,243","7,061,303","7,316,131","5,670,751","4,790,373","6,895,945","4,302,909","4,929,563","4,213,152","3,956,149","2,332,791"
"6111","給与手当","978,180","1,055,168","1,371,500","1,271,500","1,239,000","1,279,000","984,000","986,000","1,017,000","1,019,415","894,000","731,000"
"6311","雑給","1,609,938","1,735,361","1,467,938","1,729,253","1,413,540","1,304,332","1,410,538","1,012,799","1,153,756","995,526","969,669","1,054,363"
"6112","旅費交通費","71,723","75,587","75,176","89,189","82,183","75,360","79,822","88,805","72,401","71,414","62,596","50,249"
"6113","広告宣伝費","382,407","754,740","869,841","660,207","525,210","571,769","767,265","533,919","494,026","300,839","527,978","272,205"
"6114","販売促進費","29,322","31,026","57,838","72,742","76,425","83,927","66,386","63,593","70,588","68,014","57,368","59,648"
"6115","荷造発送費","0","0","0","0","3,854","0","0","0","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","162,377","188,631","213,923","177,916","205,038","167,654","168,939","172,354","181,573","195,664","236,119","151,125"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","275,000","0","0","0","0","0","50,000","0","0"
"6312","法定福利費","163,778","171,637","171,637","222,034","183,466","189,180","169,509","161,100","161,100","129,877","124,674","124,674"
"6226","厚生費","2,163","3,436","24,727","-11,000","-11,336","-7,190","31,565","5,000","-22,337","31,655","-15,273","-7,655"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","184,553","145,361","145,361","145,361","145,361","145,361","145,361","145,361","145,361","145,361","145,361","145,361"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","463,740","463,740","463,740","463,740","463,740","463,740","463,740","463,740","463,740","463,740","463,740","463,740"
"6216","修繕／車両関係費","38,000","0","44,000","0","20,000","16,900","12,000","40,750","0","88,000","6,500","33,000"
"6217","事務用消耗品費","2,260","0","0","0","0","0","0","432","4,134","3,845","0","1,016"
"6218","通信交通費","2,703","3,337","2,703","2,779","2,703","2,703","2,703","2,703","2,703","3,227","2,703","2,703"
"6219","水道光熱費","614,043","455,559","307,325","384,785","256,101","385,677","264,020","349,970","246,029","356,678","281,478","435,244"
"6221","租税公課","1,000","0","0","0","0","0","0","0","0","0","0","0"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","20,000","0","3,200","0","0","0","0","0","0","0","0"
"6224","保険料","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000"
"6225","備品消耗品費","377,954","442,792","569,378","615,066","452,973","387,530","429,384","516,824","446,461","359,763","371,143","240,648"
"6227","管理諸費","33,534","84,422","37,349","58,049","24,434","31,394","24,434","34,654","184,434","125,194","23,634","97,709"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","0","0","0","0","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","4,213","9,910","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","5,146,888","5,665,707","5,847,436","6,184,821","5,107,692","5,122,337","5,044,666","4,603,004","4,645,969","4,433,212","4,176,690","3,880,030"
,"営業利益（損失）","60,291","1,718,536","1,213,867","1,131,310","563,059","-331,964","1,851,279","-300,095","283,594","-220,060","-220,541","-1,547,239"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外収益計","0","0","0","0","0","0","0","0","0","0","0","0"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","200","0","0","-10","-533","0","0","0","0","0","-1","0"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","183,333","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","183,533","0","0","-10","-533","0","0","0","0","0","-1","0"
,"経常利益（損失）","-123,242","1,718,536","1,213,867","1,131,320","563,592","-331,964","1,851,279","-300,095","283,594","-220,060","-220,540","-1,547,239"
