"ｺｰﾄﾞ","勘定科目名","30年  2月","30年  3月","30年  4月","30年  5月","30年  6月","30年  7月","30年  8月","30年  9月","30年 10月","30年 11月","30年 12月","31年  1月"
"4111","売上高","14,136,873","19,814,863","13,988,812","13,731,343","14,546,654","14,579,176","14,677,657","13,913,192","12,658,633","14,136,222","21,656,974","16,175,120"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","14,136,873","19,814,863","13,988,812","13,731,343","14,546,654","14,579,176","14,677,657","13,913,192","12,658,633","14,136,222","21,656,974","16,175,120"
"5111","期首たな卸高","1,129,729","1,107,718","1,162,340","1,036,547","1,101,461","938,667","995,968","1,029,949","812,709","923,456","1,015,128","1,677,764"
"5211","商品仕入高","5,262,388","6,581,446","4,712,221","5,233,719","4,714,398","5,130,352","5,125,324","4,532,219","4,876,863","5,200,477","8,001,442","5,080,210"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","1,107,718","1,162,340","1,036,547","1,101,461","938,667","995,968","1,029,949","812,709","923,456","1,015,128","1,677,764","1,231,757"
,"当期売上原価","5,284,399","6,526,824","4,838,014","5,168,805","4,877,192","5,073,051","5,091,343","4,749,459","4,766,116","5,108,805","7,338,806","5,526,217"
,"売上総利益","8,852,474","13,288,039","9,150,798","8,562,538","9,669,462","9,506,125","9,586,314","9,163,733","7,892,517","9,027,417","14,318,168","10,648,903"
"6111","給与手当","1,216,160","1,216,230","1,246,300","1,516,000","1,357,500","1,245,500","1,285,500","1,091,000","1,083,250","1,034,500","1,108,213","1,058,350"
"6311","雑給","2,237,587","2,957,705","2,475,055","2,183,178","2,030,154","2,216,823","2,524,496","2,261,702","2,129,030","1,972,900","2,862,501","2,236,209"
"6112","旅費交通費","51,273","76,400","58,667","60,299","61,900","67,369","62,279","75,202","62,430","65,132","88,333","78,214"
"6113","広告宣伝費","1,248,502","1,387,464","1,000,636","887,147","857,172","1,000,567","805,530","1,048,857","719,340","1,102,673","1,260,135","1,179,684"
"6114","販売促進費","61,789","93,897","20,427","28,020","73,106","43,201","26,598","23,357","71,569","61,491","59,782","52,399"
"6115","荷造発送費","1,900","800","700","700","740","4,400","2,700","2,602","0","152","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","253,950","319,947","268,771","254,136","265,743","262,639","208,674","272,372","232,395","229,754","248,807","229,261"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","50,000","50,000","50,000","50,000","94,141","50,000","50,000","50,000","0","0","198,892","48,000"
"6312","法定福利費","126,622","157,543","170,969","170,969","208,021","135,087","135,087","126,666","126,666","126,666","192,770","154,736"
"6226","厚生費","224,082","369,113","52,608","30,401","69,632","175,674","184,711","189,126","120,771","115,518","110,453","202,964"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","208,643","208,643","208,643","208,643","208,643","208,643","208,643","81,539","160,764","160,764","160,764","160,764"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","463,741","463,741","463,741","463,741","463,741","463,741","463,741","463,741","463,741","463,741","463,741","463,741"
"6216","修繕／車両関係費","50,926","249,841","-30,258","106,296","64,556","62,527","86,481","117,130","86,204","116,111","228,655","109,936"
"6217","事務用消耗品費","0","0","0","0","76","0","0","0","476","7,034","0","1,114"
"6218","通信交通費","3,178","3,177","3,492","4,180","3,177","3,177","3,446","3,177","3,177","3,417","4,127","4,721"
"6219","水道光熱費","279,775","318,321","421,942","342,285","400,634","365,173","405,312","457,800","578,386","411,336","538,867","398,564"
"6221","租税公課","4,000","4,000","4,000","2,000","4,000","3,000","2,000","3,000","2,000","2,000","8,400","4,000"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","26,050","26,050","26,050","26,050","26,050","26,050","26,050","26,050","28,512","26,050","26,050","26,050"
"6225","備品消耗品費","412,161","434,075","340,554","505,468","379,362","366,708","349,428","678,461","590,657","581,585","787,609","580,430"
"6227","管理諸費","218,175","224,504","178,416","563,028","259,565","455,250","168,717","198,798","126,708","112,570","121,360","105,969"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","16,800","0","0","0","0","0","0","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","9,000","5,102","0"
,"販売費及び一般管理費計","7,138,514","8,578,251","6,960,713","7,402,541","6,827,913","7,155,529","6,999,393","7,170,580","6,586,076","6,602,394","8,474,561","7,095,106"
,"営業利益（損失）","1,713,960","4,709,788","2,190,085","1,159,997","2,841,549","2,350,596","2,586,921","1,993,153","1,306,441","2,425,023","5,843,607","3,553,797"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外収益計","0","0","0","0","0","0","0","0","0","0","0","0"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","0","0","0","0","0","0","250","0","0"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","200,000","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","0","0","0","0","0","200,000","0","250","0","0"
