"ｺｰﾄﾞ","勘定科目名"," 2年 10月"," 2年 11月"," 2年 12月"," 3年  1月"," 3年  2月"," 3年  3月"," 3年  4月"," 3年  5月"," 3年  6月"," 3年  7月"," 3年  8月"," 3年  9月"
"4111","売上高","134,840,958","103,410,852","264,555,764","109,035,904","238,770,950","220,172,652","186,620,650","162,029,062","138,301,281","146,692,403","142,560,603","157,828,396"
"4112","賃貸料収入","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","75,992,598","-75,992,598","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","135,090,958","179,653,450","188,813,166","109,285,904","239,020,950","220,422,652","186,870,650","162,279,062","138,551,281","146,942,403","142,810,603","158,078,396"
"5111","期首棚卸高","11,377,876","13,379,834","12,619,769","11,881,749","11,207,657","11,366,735","11,737,169","12,537,268","11,062,348","12,198,212","12,104,660","10,792,836"
"5211","商品仕入高","184,100","47,047","12,278","150,000","16,000","92,462,295","0","5","0","0","0","122,234"
"5212","通信商品仕入高","119,044,749","157,090,083","159,500,457","81,874,977","212,019,974","98,927,952","154,598,338","135,860,412","115,156,369","120,219,791","116,452,921","141,448,942"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","13,379,834","12,619,769","11,881,749","11,207,657","11,366,735","11,737,169","12,537,268","11,062,348","12,198,212","12,104,660","10,792,836","22,965,573"
,"当期売上原価","117,226,891","157,897,195","160,250,755","82,699,069","211,876,896","191,019,813","153,798,239","137,335,337","114,020,505","120,313,343","117,764,745","129,398,439"
,"売上総利益","17,864,067","21,756,255","28,562,411","26,586,835","27,144,054","29,402,839","33,072,411","24,943,725","24,530,776","26,629,060","25,045,858","28,679,957"
"6111","給与手当","11,147,115","11,162,423","11,163,743","11,225,843","10,939,133","11,623,495","10,835,779","10,558,098","10,222,437","10,194,865","10,614,887","10,370,531"
"6311","雑給","1,097,928","954,210","728,825","638,925","654,325","741,525","832,660","876,950","925,675","819,350","759,900","694,500"
"6112","旅費交通費","348,574","315,479","353,129","317,824","278,360","302,485","266,907","320,803","310,096","271,185","238,313","217,483"
"6113","広告宣伝費","497,074","305,229","217,342","232,505","435,016","702,709","145,426","204,843","374,550","242,472","153,944","299,487"
"6114","販売促進費","241,400","129,935","129,022","130,000","80,409","747,111","573,131","40,200","69,004","495,064","256,550","127,522"
"6115","荷造発送費","5,064","3,050","2,000","4,315","1,900","11,785","2,158","3,413","0","1,367","2,270","2,580"
"6116","外注費","3,871,162","3,932,973","4,922,664","3,910,166","3,319,897","4,339,263","2,818,826","3,745,514","3,205,552","3,942,945","926,400","1,851,718"
"6117","支払手数料","522,166","710,094","744,657","493,931","1,294,901","815,150","555,817","948,913","609,559","530,507","572,241","676,087"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","6,716,329","0","0","0","1,302,083","1,302,083","1,302,083","1,302,083","0","-3,438,332"
"6312","法定福利費","1,976,742","1,976,742","2,946,078","1,998,321","2,015,741","2,090,660","1,973,268","1,925,634","1,821,882","1,906,946","1,906,946","1,846,297"
"6226","厚生費","48,852","122,324","111,425","45,854","51,053","49,706","50,295","122,084","282,907","95,705","55,321","37,309"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","1,037,582","1,186,461","1,186,461","1,186,461","1,186,461","1,186,461","1,186,461","1,186,461","1,186,461","1,186,461","1,186,461","-1,541,569"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","3,821,636","3,773,636","3,821,636","3,821,636","3,823,454","3,828,908","3,821,636","3,821,636","3,821,636","3,821,636","3,773,636","3,821,636"
"6216","修繕／車両関係費","28,707","9,900","0","40,500","0","0","0","108,000","0","0","12,941","0"
"6217","事務用消耗品費","0","85,595","0","0","71,340","6,181","0","0","0","0","6,440","0"
"6218","通信交通費","45,947","356,333","44,143","208,754","186,254","323,154","213,161","222,930","322,551","49,627","382,757","212,195"
"6219","水道光熱費","426,722","346,036","244,805","270,004","311,778","306,143","275,661","246,069","237,541","260,083","288,475","354,781"
"6221","租税公課","8,000","12,000","13,000","173,600","10,600","2,000","13,600","12,000","6,000","11,000","21,000","19,000"
"6222","寄付金","20,000","0","0","12,000","0","0","0","0","0","0","0","20,000"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","2,162","0"
"6224","保険料","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","60,000"
"6225","備品消耗品費","318,878","204,911","356,582","367,464","137,901","507,962","315,647","307,875","244,651","223,430","285,207","225,839"
"6227","管理諸費","253,981","260,990","251,481","253,981","860,379","189,088","257,963","411,645","321,330","256,481","62,690","53,091"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","40,000","0","0","10,000","0","10,000","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","1,336","0","0","0"
,"販売費及び一般管理費計","25,747,530","25,878,321","34,023,322","25,362,084","25,688,902","27,813,786","25,470,479","26,405,151","25,295,251","25,641,207","21,538,541","15,910,155"
,"営業利益（損失）","-7,883,463","-4,122,066","-5,460,911","1,224,751","1,455,152","1,589,053","7,601,932","-1,461,426","-764,475","987,853","3,507,317","12,769,802"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","6,922","1,046,953","10,166","5,325","8,013","3,712","9,027","4,469","3,799","4,224","3,231","7,326"
,"営業外収益計","6,922","1,046,953","10,166","5,325","8,013","3,712","9,027","4,469","3,799","4,224","3,231","7,326"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","671","0","0","0","0","0","0","0","0","0","25"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","1,167,429"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","6,556,804"
,"営業外費用計","0","671","0","0","0","0","0","0","0","0","0","7,724,258"
,"経常利益（損失）","-7,876,541","-3,075,784","-5,450,745","1,230,076","1,463,165","1,592,765","7,610,959","-1,456,957","-760,676","992,077","3,510,548","5,052,870"
