"ｺｰﾄﾞ","勘定科目名","31年  1月","31年  2月","31年  3月","31年  4月"," 1年  5月"," 1年  6月"," 1年  7月"," 1年  8月"," 1年  9月"," 1年 10月"," 1年 11月"," 1年 12月"
"4111","売上高","76,067,493","63,929,523","139,519,911","96,436,692","8,372,712","178,403,078","86,979,667","52,881,748","134,037,175","148,293,871","104,909,921","107,638,979"
"4112","賃貸料収入","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","254,630","250,000","250,000","250,000"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","113,144,877","96,663,553","159,499,086","106,547,866","110,355,585","103,668,135","95,416,349","109,263,909","84,906,032","72,470,719","114,971,182","113,781,392"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","189,462,370","160,843,076","299,268,997","203,234,558","118,978,297","282,321,213","182,646,016","162,395,657","219,197,837","221,014,590","220,131,103","221,670,371"
"5111","期首たな卸高","15,147,388","13,134,081","13,511,528","16,324,119","15,998,958","16,562,462","15,169,426","14,396,333","14,358,408","15,612,200","16,354,757","15,026,774"
"5211","商品仕入高","68,718,429","56,036,412","131,391,955","89,389,853","20,066","170,945,306","79,739,745","44,120,939","92,839,824","93,896,124","93,080,962","91,920,092"
"5212","通信商品仕入高","93,250,487","77,405,173","131,032,918","89,893,390","93,375,083","83,845,730","79,811,036","91,739,398","100,628,994","99,874,918","97,844,602","98,211,466"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","13,134,081","13,511,528","16,324,119","15,998,958","16,562,462","15,169,426","14,396,333","14,358,408","15,612,200","16,354,757","15,026,774","14,651,556"
,"当期売上原価","163,982,223","133,064,138","259,612,282","179,608,404","92,831,645","256,184,072","160,323,874","135,898,262","192,215,026","193,028,485","192,253,547","190,506,776"
