"ｺｰﾄﾞ","勘定科目名"," 1年 10月"," 1年 11月"," 1年 12月"," 2年  1月"," 2年  2月"," 2年  3月"," 2年  4月"," 2年  5月"," 2年  6月"," 2年  7月"," 2年  8月"," 2年  9月"
"4111","売上高","148,293,871","104,909,921","107,638,979","186,937,639","48,106,706","103,851,806","123,390,518","110,299,084","100,860,366","162,101,141","171,463,671","144,634,185"
"4112","賃貸料収入","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","72,470,719","114,971,182","113,781,392","74,355,264","99,822,367","120,048,759","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","221,014,590","220,131,103","221,670,371","261,542,903","148,179,073","224,150,565","123,640,518","110,549,084","101,110,366","162,351,141","171,713,671","144,884,185"
"5111","期首たな卸高","15,612,200","16,354,757","15,026,774","14,651,556","13,861,594","15,559,028","13,312,933","13,199,650","12,430,668","11,620,172","12,452,703","11,521,568"
"5211","商品仕入高","93,896,124","93,080,962","91,920,092","132,548,281","36,062,175","96,311,216","47,256,942","32,485,365","152,296","34,000","3,379","150,000"
"5212","通信商品仕入高","99,874,918","97,844,602","98,211,466","96,094,691","83,413,788","101,044,427","47,419,460","50,820,474","68,762,638","134,180,793","142,088,597","120,466,857"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","16,354,757","15,026,774","14,651,556","13,861,594","15,559,028","13,312,933","13,199,650","12,430,668","11,620,172","12,452,703","11,521,568","11,377,876"
,"当期売上原価","193,028,485","192,253,547","190,506,776","229,432,934","117,778,529","199,601,738","94,789,685","84,074,821","69,725,430","133,382,262","143,023,111","120,760,549"
,"売上総利益","27,986,105","27,877,556","31,163,595","32,109,969","30,400,544","24,548,827","28,850,833","26,474,263","31,384,936","28,968,879","28,690,560","24,123,636"
"6111","給与手当","13,069,769","12,857,878","12,928,619","10,779,809","10,654,669","10,431,696","8,908,697","8,322,573","9,477,987","9,787,316","10,279,082","10,522,488"
"6311","雑給","0","0","0","966,741","912,269","844,632","903,907","823,367","886,981","1,056,600","1,144,665","1,240,612"
"6112","旅費交通費","312,938","388,627","370,240","376,871","314,688","236,009","216,144","193,420","206,350","307,824","256,646","310,354"
"6113","広告宣伝費","641,344","929,062","2,083,751","758,834","1,266,375","1,270,535","228,471","119,751","450,236","355,722","168,842","449,651"
"6114","販売促進費","925,116","706,091","178,791","55,933","240,732","713,159","76,119","45,405","51,000","142,236","87,211","92,363"
"6115","荷造発送費","4,975","15,045","20,017","17,439","10,952","8,518","6,167","9,280","9,420","1,258","6,740","7,660"
"6116","外注費","4,739,055","5,317,988","6,669,002","3,087,843","3,073,889","4,004,624","1,140,962","890,773","4,052,124","4,608,120","3,901,186","3,869,186"
"6117","支払手数料","902,863","565,883","923,221","1,194,600","839,941","734,781","506,338","493,516","1,428,124","1,360,778","551,511","652,968"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","-2,218,453","995,882","995,882","995,882","995,882","995,882","-5,786,961","0","0","0","0","0"
"6312","法定福利費","1,990,209","1,987,540","1,990,345","1,901,988","1,739,041","1,772,388","1,779,223","1,781,878","1,567,019","1,573,437","1,627,835","1,933,484"
"6226","厚生費","86,334","204,681","231,515","164,967","182,665","326,598","34,833","0","79,854","209,310","66,288","358,584"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","963,085","963,085","963,085","963,085","963,085","963,085","963,085","963,085","963,085","963,085","963,085","963,085"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","4,468,936","4,590,818","4,253,545","4,253,545","4,253,545","4,253,545","3,786,273","1,986,022","4,242,636","4,242,636","5,421,341","4,218,636"
"6216","修繕／車両関係費","40,000","39,600","762,327","867,000","-39,600","4,706,868","11,140","0","50,341","4,545","0","60,000"
"6217","事務用消耗品費","100,598","107,875","28,275","0","23,757","87,023","83,150","21,670","49,540","5,000","5,822","5,804"
"6218","通信交通費","223,701","93,834","188,371","393,281","49,135","370,635","191,128","49,246","269,671","188,237","183,223","181,495"
"6219","水道光熱費","650,234","518,988","462,980","530,077","454,177","423,972","561,375","79,522","280,690","338,980","347,888","456,368"
"6221","租税公課","5,000","21,600","1,600","20,600","3,200","1,600","17,000","2,000","600","0","0","600"
"6222","寄付金","10,000","0","30,000","15,000","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","4,344","2,000","0","0","909","0","0","0","0","0","0"
"6224","保険料","27,560","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","30,000"
"6225","備品消耗品費","705,634","2,994,155","491,992","288,771","223,084","1,228,088","-13,876,333","192,276","190,836","270,127","266,905","346,720"
"6227","管理諸費","610,111","632,263","573,664","110,201","575,673","614,513","77,867","56,857","62,328","251,164","264,662","295,400"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","40,000","0","0","160,000","9,600","0","0","0","10,000","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","182","182","0"
,"販売費及び一般管理費計","28,259,009","33,960,239","34,214,222","27,767,467","26,762,159","34,174,060","-136,815","16,055,641","24,343,822","25,691,557","25,578,114","25,995,458"
,"営業利益（損失）","-272,904","-6,082,683","-3,050,627","4,342,502","3,638,385","-9,625,233","28,987,648","10,418,622","7,041,114","3,277,322","3,112,446","-1,871,822"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","4,989","2,370","5,473","6,172","3,249","3,924","6,904","1,385","6,191","2,809","6,722","7,107"
,"営業外収益計","4,989","2,370","5,473","6,172","3,249","3,924","6,904","1,385","6,191","2,809","6,722","7,107"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","104","0","0","5","-5","0","0","0","0","0","0"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","1,167,429"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","104","0","0","5","-5","0","0","0","0","0","1,167,429"
,"経常利益（損失）","-267,915","-6,080,417","-3,045,154","4,348,674","3,641,629","-9,621,304","28,994,552","10,420,007","7,047,305","3,280,131","3,119,168","-3,032,144"
