"ｺｰﾄﾞ","勘定科目名"," 2年  8月"," 2年  9月"," 2年 10月"," 2年 11月"," 2年 12月"," 3年  1月"," 3年  2月"," 3年  3月"," 3年  4月"," 3年  5月"," 3年  6月"," 3年  7月"
"4111","売上高","171,463,671","740,083,868","134,840,958","103,410,852","264,555,764","109,035,904","238,770,950","220,172,652","186,620,650","162,029,062","138,301,281","146,693,312"
"4112","賃貸料収入","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","-595,449,683","0","75,992,598","-75,992,598","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","171,713,671","144,884,185","135,090,958","179,653,450","188,813,166","109,285,904","239,020,950","220,422,652","186,870,650","162,279,062","138,551,281","146,943,312"
"5111","期首たな卸高","12,452,703","11,521,568","11,377,876","13,379,834","12,619,769","11,881,749","11,207,657","11,366,735","11,737,169","12,537,268","11,062,348","12,198,212"
"5211","商品仕入高","3,379","150,000","184,100","47,047","12,278","150,000","16,000","92,462,295","0","5","0","0"
"5212","通信商品仕入高","142,088,597","120,466,857","119,044,749","157,090,083","159,500,457","81,874,977","212,019,974","98,927,952","154,598,338","135,860,412","115,156,369","120,219,791"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","11,521,568","11,377,876","13,379,834","12,619,769","11,881,749","11,207,657","11,366,735","11,737,169","12,537,268","11,062,348","12,198,212","12,104,660"
,"当期売上原価","143,023,111","120,760,549","117,226,891","157,897,195","160,250,755","82,699,069","211,876,896","191,019,813","153,798,239","137,335,337","114,020,505","120,313,343"
,"売上総利益","28,690,560","24,123,636","17,864,067","21,756,255","28,562,411","26,586,835","27,144,054","29,402,839","33,072,411","24,943,725","24,530,776","26,629,969"
"6111","給与手当","10,279,082","10,522,488","11,147,115","11,162,423","11,163,743","11,225,843","10,939,133","11,623,495","10,835,779","10,558,098","10,222,437","10,194,865"
"6311","雑給","1,144,665","1,240,612","1,097,928","954,210","728,825","638,925","654,325","741,525","832,660","876,950","925,675","819,350"
"6112","旅費交通費","256,646","310,354","348,574","315,479","353,129","317,824","278,360","302,485","266,907","320,803","310,096","271,367"
"6113","広告宣伝費","168,842","449,651","497,074","305,229","217,342","232,505","435,016","702,709","145,426","204,843","374,550","242,472"
"6114","販売促進費","87,211","92,363","241,400","129,935","129,022","130,000","80,409","747,111","573,131","40,200","69,004","494,939"
"6115","荷造発送費","6,740","7,660","5,064","3,050","2,000","4,315","1,900","11,785","2,158","3,413","0","1,367"
"6116","外注費","3,901,186","3,869,186","3,871,162","3,932,973","4,922,664","3,910,166","3,319,897","4,339,263","2,818,826","3,745,514","3,205,552","3,942,945"
"6117","支払手数料","551,511","652,968","522,166","710,094","744,657","493,931","1,294,901","815,150","555,817","948,913","609,559","530,507"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","0","6,716,329","0","0","0","1,302,083","1,302,083","1,302,083","1,302,083"
"6312","法定福利費","1,627,835","1,933,484","1,976,742","1,976,742","2,946,078","1,998,321","2,015,741","2,090,660","1,973,268","1,925,634","1,821,882","1,906,946"
"6226","厚生費","66,288","358,584","48,852","122,324","111,425","45,854","51,053","49,706","50,295","122,084","282,907","95,705"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","963,085","2,231,338","1,037,582","1,186,461","1,186,461","1,186,461","1,186,461","1,186,461","1,186,461","1,186,461","1,186,461","1,186,461"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","5,421,341","4,218,636","3,821,636","3,773,636","3,821,636","3,821,636","3,823,454","3,828,908","3,821,636","3,821,636","3,821,636","3,821,636"
"6216","修繕／車両関係費","0","362,400","28,707","9,900","0","40,500","0","0","0","108,000","0","0"
"6217","事務用消耗品費","5,822","5,804","0","85,595","0","0","71,340","6,181","0","0","0","0"
"6218","通信交通費","183,223","181,495","45,947","356,333","44,143","208,754","186,254","323,154","213,161","222,930","322,551","49,627"
"6219","水道光熱費","347,888","527,571","426,722","346,036","244,805","270,004","311,778","306,143","275,661","246,069","237,541","260,083"
"6221","租税公課","0","600","8,000","12,000","13,000","173,600","10,600","2,000","13,600","12,000","6,000","11,000"
"6222","寄付金","0","0","20,000","0","0","12,000","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","25,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000"
"6225","備品消耗品費","266,905","810,520","318,878","204,911","356,582","367,464","137,901","507,962","315,647","307,875","244,651","223,430"
"6227","管理諸費","264,662","295,400","253,981","260,990","251,481","253,981","860,379","189,088","257,963","411,645","321,330","256,481"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","10,000","0","0","0","40,000","0","0","10,000","0","10,000","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","182","0","0","0","0","0","0","0","0","0","1,336","0"
,"販売費及び一般管理費計","25,578,114","28,101,114","25,747,530","25,878,321","34,023,322","25,362,084","25,688,902","27,813,786","25,470,479","26,405,151","25,295,251","25,641,264"
