"ｺｰﾄﾞ","勘定科目名"," 2年  9月"," 2年 10月"," 2年 11月"," 2年 12月"," 3年  1月"," 3年  2月"," 3年  3月"," 3年  4月"," 3年  5月"," 3年  6月"," 3年  7月"," 3年  8月"
"4111","売上高","740,083,868","134,840,958","103,410,852","264,555,764","109,035,904","238,770,950","220,172,652","186,620,650","162,029,062","138,301,281","146,692,403","142,564,330"
"4112","賃貸料収入","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","-595,449,683","0","75,992,598","-75,992,598","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","144,884,185","135,090,958","179,653,450","188,813,166","109,285,904","239,020,950","220,422,652","186,870,650","162,279,062","138,551,281","146,942,403","142,814,330"
"5111","期首棚卸高","11,521,568","11,377,876","13,379,834","12,619,769","11,881,749","11,207,657","11,366,735","11,737,169","12,537,268","11,062,348","12,198,212","12,104,660"
"5211","商品仕入高","150,000","184,100","47,047","12,278","150,000","16,000","92,462,295","0","5","0","0","0"
"5212","通信商品仕入高","120,466,857","119,044,749","157,090,083","159,500,457","81,874,977","212,019,974","98,927,952","154,598,338","135,860,412","115,156,369","120,219,791","116,452,921"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","11,377,876","13,379,834","12,619,769","11,881,749","11,207,657","11,366,735","11,737,169","12,537,268","11,062,348","12,198,212","12,104,660","10,792,836"
,"当期売上原価","120,760,549","117,226,891","157,897,195","160,250,755","82,699,069","211,876,896","191,019,813","153,798,239","137,335,337","114,020,505","120,313,343","117,764,745"
,"売上総利益","24,123,636","17,864,067","21,756,255","28,562,411","26,586,835","27,144,054","29,402,839","33,072,411","24,943,725","24,530,776","26,629,060","25,049,585"
"6111","給与手当","10,522,488","11,147,115","11,162,423","11,163,743","11,225,843","10,939,133","11,623,495","10,835,779","10,558,098","10,222,437","10,194,865","10,614,887"
"6311","雑給","1,240,612","1,097,928","954,210","728,825","638,925","654,325","741,525","832,660","876,950","925,675","819,350","759,900"
"6112","旅費交通費","310,354","348,574","315,479","353,129","317,824","278,360","302,485","266,907","320,803","310,096","271,185","238,313"
"6113","広告宣伝費","449,651","497,074","305,229","217,342","232,505","435,016","702,709","145,426","204,843","374,550","242,472","153,944"
"6114","販売促進費","92,363","241,400","129,935","129,022","130,000","80,409","747,111","573,131","40,200","69,004","495,064","256,550"
"6115","荷造発送費","7,660","5,064","3,050","2,000","4,315","1,900","11,785","2,158","3,413","0","1,367","2,270"
"6116","外注費","3,869,186","3,871,162","3,932,973","4,922,664","3,910,166","3,319,897","4,339,263","2,818,826","3,745,514","3,205,552","3,942,945","926,400"
"6117","支払手数料","652,968","522,166","710,094","744,657","493,931","1,294,901","815,150","555,817","948,913","609,559","530,507","572,241"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","6,716,329","0","0","0","1,302,083","1,302,083","1,302,083","1,302,083","0"
"6312","法定福利費","1,933,484","1,976,742","1,976,742","2,946,078","1,998,321","2,015,741","2,090,660","1,973,268","1,925,634","1,821,882","1,906,946","1,906,946"
"6226","厚生費","358,584","48,852","122,324","111,425","45,854","51,053","49,706","50,295","122,084","282,907","95,705","55,321"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","2,231,338","1,037,582","1,186,461","1,186,461","1,186,461","1,186,461","1,186,461","1,186,461","1,186,461","1,186,461","1,186,461","1,186,461"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
