"ｺｰﾄﾞ","勘定科目名"," 2年 12月"," 3年  1月"," 3年  2月"," 3年  3月"," 3年  4月"," 3年  5月"," 3年  6月"," 3年  7月"," 3年  8月"," 3年  9月"," 3年 10月"," 3年 11月"
"4111","売上高","264,555,764","109,035,904","238,770,950","220,172,652","186,620,650","162,029,062","138,301,281","146,692,403","142,560,603","157,828,396","98,813,238","86,947,801"
"4112","賃貸料収入","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","-75,992,598","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","188,813,166","109,285,904","239,020,950","220,422,652","186,870,650","162,279,062","138,551,281","146,942,403","142,810,603","158,078,396","99,063,238","87,197,801"
"5111","期首棚卸高","12,619,769","11,881,749","11,207,657","11,366,735","11,737,169","12,537,268","11,062,348","12,198,212","12,104,660","10,792,836","22,965,573","32,777,311"
"5211","商品仕入高","12,278","150,000","16,000","92,462,295","0","5","0","0","0","122,234","228,615","0"
"5212","通信商品仕入高","159,500,457","81,874,977","212,019,974","98,927,952","154,598,338","135,860,412","115,156,369","120,219,791","116,452,921","141,448,942","82,468,501","59,831,390"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","11,881,749","11,207,657","11,366,735","11,737,169","12,537,268","11,062,348","12,198,212","12,104,660","10,792,836","22,965,573","32,777,311","29,903,979"
,"当期売上原価","160,250,755","82,699,069","211,876,896","191,019,813","153,798,239","137,335,337","114,020,505","120,313,343","117,764,745","129,398,439","72,885,378","62,704,722"
,"売上総利益","28,562,411","26,586,835","27,144,054","29,402,839","33,072,411","24,943,725","24,530,776","26,629,060","25,045,858","28,679,957","26,177,860","24,493,079"
"6111","給与手当","11,163,743","11,225,843","10,939,133","11,623,495","10,835,779","10,558,098","10,222,437","10,194,865","10,614,887","10,370,531","10,294,919","11,576,583"
"6311","雑給","728,825","638,925","654,325","741,525","832,660","876,950","925,675","819,350","759,900","694,500","710,150","679,225"
"6112","旅費交通費","353,129","317,824","278,360","302,485","266,907","320,803","310,096","271,185","238,313","217,483","224,126","212,674"
"6113","広告宣伝費","217,342","232,505","435,016","702,709","145,426","204,843","374,550","242,472","153,944","299,487","325,577","303,649"
"6114","販売促進費","129,022","130,000","80,409","747,111","573,131","40,200","69,004","495,064","256,550","127,522","216,481","667,675"
"6115","荷造発送費","2,000","4,315","1,900","11,785","2,158","3,413","0","1,367","2,270","2,580","840","2,449"
"6116","外注費","4,922,664","3,910,166","3,319,897","4,339,263","2,818,826","3,745,514","3,205,552","3,942,945","926,400","1,851,718","4,099,661","3,094,124"
