"ｺｰﾄﾞ","勘定科目名"," 3年  6月"," 3年  7月"," 3年  8月"," 3年  9月"," 3年 10月"," 3年 11月"," 3年 12月"," 4年  1月"," 4年  2月"," 4年  3月"," 4年  4月"," 4年  5月"
"4111","売上高","138,301,281","146,692,403","142,560,603","157,828,396","98,813,238","86,947,801","102,418,908","90,988,885","85,218,073","114,403,115","87,390,157","86,387,315"
"4112","賃貸料収入","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","138,551,281","146,942,403","142,810,603","158,078,396","99,063,238","87,197,801","102,668,908","91,238,885","85,468,073","114,653,115","87,640,157","86,637,315"
"5111","期首棚卸高","11,062,348","12,198,212","12,104,660","10,792,836","22,965,573","32,777,311","29,903,979","35,048,002","39,659,620","39,647,117","30,896,638","40,978,267"
"5211","商品仕入高","0","0","0","122,234","228,615","0","5","209,498","0","58,821","1,875","182,000"
"5212","通信商品仕入高","115,156,369","120,219,791","116,452,921","141,448,942","82,468,501","59,831,390","80,770,218","72,229,512","60,574,790","76,842,950","70,830,860","54,062,884"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","12,198,212","12,104,660","10,792,836","22,965,573","32,777,311","29,903,979","35,048,002","39,659,620","39,647,117","30,896,638","40,978,267","30,479,774"
,"当期売上原価","114,020,505","120,313,343","117,764,745","129,398,439","72,885,378","62,704,722","75,626,200","67,827,392","60,587,293","85,652,250","60,751,106","64,743,377"
,"売上総利益","24,530,776","26,629,060","25,045,858","28,679,957","26,177,860","24,493,079","27,042,708","23,411,493","24,880,780","29,000,865","26,889,051","21,893,938"
